Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front brakes,Diameter,Rear brakes,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Compression,Ignition,Fuel consumption,Greenhouse gases,Emission details,Rake (fork angle),Trail,Front tire,Rear tire,Wheels,Reserve fuel capacity,Torque,Lubrication system,Driveline,Overall height,Overall length,Overall width,Factory warranty,Carrying capacity,Top speed,Instruments,Light,Electrical,Seat,Exhaust system,Oil capacity,Alternate seat height,Max RPM,Modifications compared to previous model,0-100 km/h (0-62 mph),Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Pulley teeth,1/4 mile (0.4 km),Belt teeth,Belt width
Linhai Aeolus Denali 125 FX,2017,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.7 ccm (7.55 cubic inches),"Single cylinder, two-stroke",,8.5 HP (6.2  kW)) @ 8500 RPM,54.0 x 54.0 mm (2.1 x 2.1 inches),,Carburettor,,Air,4-speed,,,,Reverse suspension,,Gas ajustable suspension,,Single disc,,Single disc,98.9 kg (218.0 pounds),,0.0860 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",231 mm (9.1 inches),1199 mm (47.2 inches),7.95 litres (2.10 US gallons),"Red, blue, black",Electric,Chinese bike. Sold in the US.,,CDI,,,,,,100/90-12 ,100/90-12 ,,,6.3 Nm (0.6 kgf-m or 4.6 ft.lbs) @ 6500 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 790 Duke Prototype,2017,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,790.0 ccm (48.21 cubic inches),"Twin, four-stroke",,,,,Injection,,Liquid,6-speed,Chain   (final drive),"APTC slipper clutch, hydraulically actuated","Chromium-Molybdenum steel trellis frame, powder coated",WP upside-down,,WP shock absorber with Pro-Lever linkage,,Single disc,,Single disc,,,,,,1466 mm (57.7 inches),,Orange/black/white,Electric,,,,,,,,,,,,,,,,,,,,,,,LED headlight,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX85-II,2017,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,84.0 ccm (5.13 cubic inches),"Single cylinder, two-stroke",Piston Reed Valve,,48.5 x 45.8 mm (1.9 x 1.8 inches),,Carburettor. Keihin,,Liquid,6-speed,Chain   (final drive),"Wet Multi Disc, manual","Perimeter, high-tensile steel",36 mm inverted telescopic fork with 20-way compression damping,275 mm (10.8 inches),"Uni-Trak with adjustable preload, 24-way compression and 21-way rebound damping",275 mm (10.8 inches),Single disc. Dual-piston calipers. ,184 mm (7.2 inches),Single disc. Single-piston caliper. ,,77.0 kg (169.8 pounds),,"870 mm (34.3 inches) If adjustable, lowest setting.",330 mm (13.0 inches),1310 mm (51.6 inches),5.00 litres (1.32 US gallons),Lime Green,Kick,,10.9:1,Digital CDI,,,,29.0°,97 mm (3.8 inches),70/100-19 ,90/100-16 ,Wire spoked,,,Petrol mix,,1150 mm (45.3 inches),1920 mm (75.6 inches),765 mm (30.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Symphony ST 200,2017,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",169.0 ccm (10.31 cubic inches),"Single cylinder, four-stroke",,,,2,Injection. Electronic Fuel Injection,,,Automatic,Belt   (final drive),,,Telescopic Fork,,Unit Swing Arm,,Single disc,,Single disc,125.0 kg (275.6 pounds),,,"792 mm (31.2 inches) If adjustable, lowest setting.",,,7.50 litres (1.98 US gallons),"White, black",Electric,,,,,,,,,110/70-16 ,110/70-16 ,,,,Wet Sump,,1195 mm (47.0 inches),1995 mm (78.5 inches),725 mm (28.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Hayate EP,2017,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",113.0 ccm (6.90 cubic inches),"Single cylinder, four-stroke",,8.7 HP (6.4  kW)) @ 7500 RPM,51.0 x 55.2 mm (2.0 x 2.2 inches),2,Carburettor. Mikuni VM 17SH,Single Overhead Cams (SOHC),Air,4-speed,Chain   (final drive),,"Diamond, steel",Telescopic fork,,"Dual shocks, 5-step adjustable",,Expanding brake (drum brake),,Expanding brake (drum brake),,107.0 kg (235.9 pounds),,"795 mm (31.3 inches) If adjustable, lowest setting.",165 mm (6.5 inches),1305 mm (51.4 inches),10.00 litres (2.64 US gallons),"Grey, red, black",Electric & kick,Sold in Asia and Latin-America.,9.5:1,CDI,,,,,,70/100-17 ,80/100-17 ,,,9.3 Nm (0.9 kgf-m or 6.9 ft.lbs) @ 5000 RPM,Wet sump,,1060 mm (41.7 inches),2025 mm (79.7 inches),740 mm (29.1 inches),,17 litre underseat compartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta Turismo Veloce 800 Lusso,2017,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",798.0 ccm (48.69 cubic inches),"In-line three, four-stroke",Counter-rotating crankshaft,110.0 HP (80.3  kW)) @ 11600 RPM,79.0 x 54.3 mm (3.1 x 2.1 inches),4,Injection. MVICS 2.0 (Motor  and  Vehicle Integrated Control System) with three injectors.,Double Overhead Cams/Twin Cam (DOHC),Oil & air,6-speed,Chain   (final drive),"Hydraulic clutch, wet multi-disc with slipper clutch",ALS Steel tubular trellis (MAG welded,Marzocchi “UPSIDE DOWN” telescopic hydraulic fork with rebound-compression damping and spring preload external and separate adjustment.,,"Progressive Sachs, single shock absorber with rebound and compression damping and spring preload adjustment",,Double disc. ABS,220 mm (8.7 inches),Single disc. ABS,192.0 kg (423.3 pounds),,0.5729 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,1420 mm (55.9 inches),22.00 litres (5.81 US gallons),"White/grey, Red/silver",Electric,Immobilizer. Heated Grips. Bluetooth.   Cruise control. Integrated GPS sensor. Central stand. Adjustable windshield.,13.3:1,Motor and Vehicle Integrated Control System,,,,,95 mm (3.7 inches),120/70-ZR17 ,190/55-ZR17 ,Aluminium alloy,,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 8000 RPM,,,,2137 mm (84.1 inches),900 mm (35.4 inches),,Saddle bags,230.0 km/h (142.9 mph),,LED headlight,12V 11 Ah battery.,,,,,,,,,,,,,,,,,,,,,,,,
Lexmoto Viper 125,2017,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,11.4 HP (8.3  kW)) @ 9000 RPM,56.5 x 49.6 mm (2.2 x 2.0 inches),,Injection. EFI,,Air,5-speed,Chain   (final drive),,,Upside-down telescopic,,Single shock absorber,,Single disc. Hydraulic,,Single disc. Hydraulic,134.0 kg (295.4 pounds),,0.0851 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,1380 mm (54.3 inches),14.00 litres (3.70 US gallons),"Red, blue, green",Electric,Chinese brand.,9.5:1,CDI,,,Euro 3,,,110/70-17 ,130/70-17 ,,,9.5 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 7000 RPM,,,1180 mm (46.5 inches),2140 mm (84.3 inches),780 mm (30.7 inches),,,105.0 km/h (65.2 mph),Digital,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS EC 300 Racing,2017,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",299.3 ccm (18.26 cubic inches),"Single cylinder, two-stroke",Direct reed valve VForce 4,,72.0 x 72.0 mm (2.8 x 2.8 inches),,Carburettor. Keihin PKWS 38 mm,,Liquid,6-speed,Chain   (final drive),Multidisc in oil bath,Perimeter frame in chrome-molybdenum,"Marzocchi Shiver invertid  Ø48 mm, closed cartridge.",305 mm (12.0 inches),"Aluminium swingarm. Reiger Mono shock. Spring preload, rebound and compression high/low speed.",298 mm (11.7 inches),Single disc. Wave disc. Two-piston calipers. ,220 mm (8.7 inches),Single disc. Wave disc. Single-piston caliper. ,107.0 kg (235.9 pounds),,,"950 mm (37.4 inches) If adjustable, lowest setting.",,1480 mm (58.3 inches),9.50 litres (2.51 US gallons),Red/white,Electric & kick,Spanish made bike. ,,Hidria DC ignition,,,,,,90/90-21 ,140/80-18 ,Excel Aluminium spoke rim,,,2-stroke-oil/fuel mixed 1:50,,1260 mm (49.6 inches),2200 mm (86.6 inches),830 mm (32.7 inches),,,,,,,,FMF silencer,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Street Bob,2017,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1690.0 ccm (103.12 cubic inches),"V2, four-stroke","Air-cooled, Twin Cam 103™",77.5 HP (56.6  kW)) @ 5250 RPM,98.4 x 111.1 mm (3.9 x 4.4 inches),,Injection. ESPFI,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,,Telescopic fork,,Twin shocks,,Single disc. 4-piston fixed ,,Single disc. 2-piston torque-free floating,291.0 kg (641.5 pounds),304.8 kg (672.0 pounds),0.2663 HP/kg,"680 mm (26.8 inches) If adjustable, lowest setting.",119 mm (4.7 inches),1631 mm (64.2 inches),17.80 litres (4.70 US gallons),"Olive Gold, Charcoal Denim/Black Denim, Black Denim, Vivid Black,
Hard Candy Hot Rod Red Flake


Hard Candy Hot Rod Red Flake,
Charcoal Pearl,
",Electric,,9.7:1,,5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,29.0°,119 mm (4.7 inches),100/90-B19 ,160/70-V17 ,"Black, Laced Steel",,130.0 Nm (13.3 kgf-m or 95.9 ft.lbs) @ 3000 RPM,Dry sump,"Primary chain, 57/38 ratio",,2395 mm (94.3 inches),,,,,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/Gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light","High beam, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system(optional), 6-speed, low fuel warnings",,,"Chrome, staggered, straight-cut shorty exhaust with dual mufflers",2.80 litres (2.96 US quarts),,,,,,,,,,,,,,,,,,,,,
Yamaha XV950 Yard Built Speed Iron by Moto di Ferro,2017,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,942.0 ccm (57.48 cubic inches),"V2, four-stroke",,51.4 HP (37.5  kW)) @ 5500 RPM,85.0 x 83.0 mm (3.3 x 3.3 inches),4,Injection,Single Overhead Cams (SOHC),Air,5-speed,Belt   (final drive),"Wet, Multiple Disc",Double cradle,VMAX forks,135 mm (5.3 inches),Swingarm. Piggyback-style gas shocks.,110 mm (4.3 inches),Single disc. Wave disc. ABS.,298 mm (11.7 inches),Single disc. Wave disc. ABS.,,,,"690 mm (27.2 inches) If adjustable, lowest setting.",,1570 mm (61.8 inches),12.00 litres (3.17 US gallons),Aluminium/black,Electric,,9.0:1,TCI,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,29.0°,130 mm (5.1 inches),100/90-19 ,150/80-16 ,Borrani rims,4.00 litres (1.06 US gallons),79.5 Nm (8.1 kgf-m or 58.6 ft.lbs) @ 8100 RPM,Wet sump,Constant Mesh,,,,,,,Acewell odometer,,,Single seat,Arrow 2-into-1 exhaust pipe,4.30 litres (4.54 US quarts),,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 350 Military,2017,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,343.5 ccm (20.96 cubic inches),"Twin, two-stroke",,22.8 HP (16.6  kW)) @ 5250 RPM,58.0 x 65.0 mm (2.3 x 2.6 inches),,Carburettor,,Air,4-speed,Chain   (final drive),,,Telescopic forks,150 mm (5.9 inches),Telescopic units,80 mm (3.1 inches),Single disc,160 mm (6.3 inches),Expanding brake (drum brake),154.0 kg (339.5 pounds),,0.1480 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,1350 mm (53.1 inches),17.00 litres (4.49 US gallons),Dark green,Kick,,9.8:1,,,,,,,3.25-18 ,3.50-18 ,Wire spoked,2.80 litres (0.74 US gallons),32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,,,,,24 months,,120.0 km/h (74.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ25,2017,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,20.9 HP (15.3  kW)) @ 8000 RPM,74.0 x 58.0 mm (2.9 x 2.3 inches),,Injection,Single Overhead Cams (SOHC),Air,5-speed,Chain   (final drive),"Wet,multiple disc",,Coil spring/Hydraulic Damper,,Coil spring/Hydraulic Damper,,Single disc,220 mm (8.7 inches),Single disc,148.0 kg (326.3 pounds),,0.1412 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,1360 mm (53.5 inches),14.00 litres (3.70 US gallons),"Blue, black, white",Electric,,9.8:1,,,,,,,100/80-17 ,140/70-17 ,,,20.0 Nm (2.0 kgf-m or 14.8 ft.lbs) @ 6000 RPM,,,1075 mm (42.3 inches),2015 mm (79.3 inches),770 mm (30.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung ST7,2017,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",678.2 ccm (41.38 cubic inches),"V2, four-stroke",,79.0 HP (57.7  kW)) @ 9000 RPM,81.5 x 65.0 mm (3.2 x 2.6 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Belt   (final drive),"Wet, Multiplate",,Telescopic fork,,Swing arm with Hydraulic Double shock absorber (Preload adjustable),,Single disc,,Single disc,244.0 kg (538.0 pounds),,0.3237 HP/kg,"675 mm (26.6 inches) If adjustable, lowest setting.",,1690 mm (66.5 inches),17.03 litres (4.50 US gallons),"Black, red, white, blue",Electric,,11.5:1,,,,,,,120/80-16 ,170/80-15 ,,,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 7250 RPM,Wet sump,,1135 mm (44.7 inches),2470 mm (97.2 inches),960 mm (37.8 inches),"1st year parts  and  labor, 2nd year parts",,,"Analog speedometer, multi-functional LCD display",,,2-person seat,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan  900 Classic,2017,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",903.0 ccm (55.10 cubic inches),"V2, four-stroke",52° V-twin,48.0 HP (35.0  kW)) @ 5700 RPM,88.0 x 74.2 mm (3.5 x 2.9 inches),4,Injection. DFI   with dual 34mm Keihin throttle bodies,Single Overhead Cams (SOHC),Liquid,5-speed,Belt   (final drive),Wet multi-disc,"Double-cradle, steel",41mm hydraulic telescopic fork ,150 mm (5.9 inches),"Uni-Trak   swingarm, 7 way adjustable spring preload",103 mm (4.1 inches),Single disc. Hydraulic. Two-piston calipers. ,300 mm (11.8 inches),Single disc. Hydraulic. Two-piston calipers. ,,281.1 kg (619.6 pounds),,"680 mm (26.8 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1646 mm (64.8 inches),20.00 litres (5.28 US gallons),Metallic Carbon Gray,Electric,,9.5:1,,,,,32.0°,160 mm (6.3 inches),130/90-16 ,180/70-15 ,,,77.0 Nm (7.9 kgf-m or 56.8 ft.lbs) @ 3500 RPM,"Forced lubrication, wet sump",Kevlar-reinforced belt,1064 mm (41.9 inches),2465 mm (97.0 inches),1006 mm (39.6 inches),12 Month Limited Warranty,Saddle bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Low Rider,2017,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1690.0 ccm (103.12 cubic inches),"V2, four-stroke",High Output Twin Cam 103™,77.0 HP (56.2  kW)) @ 5020 RPM,98.3 x 111.1 mm (3.9 x 4.4 inches),,Injection. ESPFI,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,,Telescopic fork,,Twin shocks,,Single disc. 4-piston fixed.,,Single disc. 2-piston torque-free floating,298.0 kg (657.0 pounds),311.0 kg (685.6 pounds),0.2584 HP/kg,"680 mm (26.8 inches) If adjustable, lowest setting.",120 mm (4.7 inches),1630 mm (64.2 inches),17.79 litres (4.70 US gallons),"Vivid Black, Bonneville Blue/Phatom Blue, Billet Silver/Vivid Black, Velocity Red Sunglo",Electric,,9.6:1,,5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,29.0°,119 mm (4.7 inches),100/90-B19 ,160/70-B17 ,"Black, Split 5-Spoke Cast Aluminium",,125.0 Nm (12.7 kgf-m or 92.2 ft.lbs) @ 3500 RPM,Dry sump,"Primary chain, 57/38 ratio",,2395 mm (94.3 inches),,,,,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/Gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light","High beam, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system(optional), 6-speed, low fuel warnings",,,"Chrome, staggered, shorty exhaust with dual tapered mufflers",2.80 litres (2.96 US quarts),,,,,,,,,,,,,,,,,,,,,
Vento Ant 150,2017,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",,7.8 HP (5.7  kW)),,,Carburettor,,Air,Automatic,Shaft drive (cardan)   (final drive),,Steel,Hydraulic telescopic fork,,Dual shocks,,Expanding brake (drum brake),,Expanding brake (drum brake),,90.0 kg (198.4 pounds),,,,,5.40 litres (1.43 US gallons),Black/grey/red,Electric,,,CDI,,,,,,3.50-10 ,3.50-10 ,,,,,,,1670 mm (65.7 inches),,,,,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,,,
KTM 150 SX,2017,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,143.9 ccm (8.78 cubic inches),"Single cylinder, two-stroke",Reed intake. ,,58.0 x 54.5 mm (2.3 x 2.1 inches),,Carburettor. Mikuni TMX,,Liquid,6-speed,Chain   (final drive),"Multi-plate clutch, Brembo hydraulics",Central tube frame made of chrome molybdenum steel tubing,"WP-USD, AER 48, Ø 48 mm",310 mm (12.2 inches),WP shock absorber with linkage,300 mm (11.8 inches),Single disc. Four-piston calipers. ,220 mm (8.7 inches),Single disc. Two-piston calipers. ,87.2 kg (192.2 pounds),,,"960 mm (37.8 inches) If adjustable, lowest setting.",375 mm (14.8 inches),1485 mm (58.5 inches),7.00 litres (1.85 US gallons),Orange/white/black,Kick,,,Kokusan EMS,,,,26.1°,,,,CNC machined hubs. Excel rims. Wire spoked.,,,,14:50. Primary drive: 23:73.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF250RE                                              ,2017,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,39.4 HP (28.8  kW)) @ 11500 RPM,76.8 x 53.8 mm (3.0 x 2.1 inches),,,Single Overhead Cams (SOHC),Liquid,5-speed,Chain   (final drive),"Wet, multiplate",Aluminium twin tube,Showa 49mm inverted SFF-TAC air fork,310 mm (12.2 inches),Showa monoshock using Honda Pro-Link system,317 mm (12.5 inches),Single disc. Wave disc. Hydraulic. ,240 mm (9.4 inches),Single disc. Hydraulic. ,,105.6 kg (232.8 pounds),,"951 mm (37.4 inches) If adjustable, lowest setting.",322 mm (12.7 inches),1489 mm (58.6 inches),6.30 litres (1.66 US gallons),Red/blue/white,Kick,Model ID: CRF250REL,13.8:1,Full Transistor,,,,27.0°,117 mm (4.6 inches),80/100-21 ,100/90-19 ,Aluminium spoke,,27.1 Nm (2.8 kgf-m or 20.0 ft.lbs) @ 9000 RPM,,Constant mesh,,2181 mm (85.9 inches),827 mm (32.6 inches),,,,,,12V 6Ah (10HR) battery.,,,1.80 litres (1.9 US quarts),,,,,,,,,,,,,,,,,,,,,
Yamaha Bolt C-Spec,2017,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",950.5 ccm (58.00 cubic inches),"V2, four-stroke",,,85.0 x 83.0 mm (3.3 x 3.3 inches),4,Injection,Single Overhead Cams (SOHC),Air,5-speed,Belt   (final drive),Multiplate wet clutch,Aluminum double-cradle,Telescopic fork,119 mm (4.7 inches),Dual shocks,71 mm (2.8 inches),Single disc. Wave-type disc,298 mm (11.7 inches),Single disc. Wave-type disc,,245.9 kg (542.0 pounds),,"765 mm (30.1 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1570 mm (61.8 inches),12.11 litres (3.20 US gallons),Desert Bronze,Electric,,9.0:1,Transistor Controlled,4.61 litres/100 km (21.7 km/l or 51.02 mpg),107.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,100/90-19 ,150/80-16 ,,,,,,1161 mm (45.7 inches),2296 mm (90.4 inches),775 mm (30.5 inches),1 Year Limited Factory Warranty,,,,,,,2-into-1 exhaust pipe,,,,,,,,,,,,,,,,,,,,,,
Yamaha Raider,2017,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1851.9 ccm (113.00 cubic inches),"V2, four-stroke",,,100.0 x 118.0 mm (3.9 x 4.6 inches),4,Injection. Twin-Bore electronic fuel injection; throttle position sensor,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),Wet multi-disc,"Double cradle, aluminium",Telescopic fork,130 mm (5.1 inches),Swingarm,89 mm (3.5 inches),Double disc. Hydraulic. ,310 mm (12.2 inches),Single disc. Hydraulic. ,,331.0 kg (729.7 pounds),,"696 mm (27.4 inches) If adjustable, lowest setting.",145 mm (5.7 inches),1801 mm (70.9 inches),16.00 litres (4.23 US gallons),Candy Red,Electric,Model also called 2017 Star Raider.,9.5:1,Transistor Controlled Ignition,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,120/70-21 ,210/40-18 ,5-spoke aluminum wheels,,,,,1166 mm (45.9 inches),2570 mm (101.2 inches),925 mm (36.4 inches),1 Year Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 1400 GTR,2017,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1352.0 ccm (82.50 cubic inches),"In-line four, four-stroke",,155.0 HP (113.1  kW)) @ 8800 RPM,84.0 x 61.0 mm (3.3 x 2.4 inches),4,Injection. 40 mm x 4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),"Wet multi-disc, manual","Monocoque, pressed-aluminium",43 mm inverted fork with adjustable rebound damping and spring preload,113 mm (4.4 inches),"Bottom-Link Uni-Trak with gas-charged shock, Tetra-Lever.",136 mm (5.4 inches),"Double disc. Floating discs. Dual radial-mount, opposed 4-piston, 4-pad caliper.",270 mm (10.6 inches),Single disc. Opposed 2-piston caliper,,312.0 kg (687.8 pounds),,"815 mm (32.1 inches) If adjustable, lowest setting.",125 mm (4.9 inches),1520 mm (59.8 inches),22.00 litres (5.81 US gallons),"Metallic Moondust Gray/Metallic Carbon Gray, Metallic Slate Blue",Electric,"Maximum power with RAM Air is 117.6 kW (160 PS)/8,800 rpm. Windscreen.",10.7:1,Digital,,,,26.1°,112 mm (4.4 inches),120/70-ZR17 ,190/50-ZR17 ,,,136.0 Nm (13.9 kgf-m or 100.3 ft.lbs) @ 6200 RPM,"Forced lubrication, wet sump",,1345 mm (53.0 inches),2230 mm (87.8 inches),790 mm (31.1 inches),,Saddle bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YFZ450R,2017,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,41.0 HP (29.9  kW)) @ 8600 RPM,95.0 x 63.4 mm (3.7 x 2.5 inches),5,Injection. Fuel Injection 42 mm EHS with ISC,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),Slipper clutch,Aluminum and steel,"Independent double wishbone, threaded preload adjustable dual-rate coil-over springs, 3-way adjustable damper",250 mm (9.8 inches),"Cast aluminium swingarm, threaded preload adjustable coil-over springs, 3-way adjustable damper",280 mm (11.0 inches),Double disc. Hydraulic. Two-piston calipers. ,,Single disc. Two-piston calipers. ,,184.0 kg (405.7 pounds),,"810 mm (31.9 inches) If adjustable, lowest setting.",115 mm (4.5 inches),1270 mm (50.0 inches),10.00 litres (2.64 US gallons),Blue/White,Electric,,11.8:1,TCI,,,,,,21/7-10 ,20/10-9 ,Maxxis tyres,,,Dry sump,,1065 mm (41.9 inches),1795 mm (70.7 inches),1240 mm (48.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikilon KIDS 110,2017,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,110.0 ccm (6.71 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,Air,Automatic,Chain   (final drive),,,Springs,,Springs,,Expanding brake (drum brake),,Single disc,,,,"610 mm (24.0 inches) If adjustable, lowest setting.",,930 mm (36.6 inches),,Blue,Electric,Intended for children.,,,,,,,,16/8-7 ,16/8-7 ,Front,,6.5 Nm (0.7 kgf-m or 4.8 ft.lbs),,,870 mm (34.3 inches),1340 mm (52.8 inches),860 mm (33.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oset 20.0 Lite,2017,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,Oset neodymium magnet DC motor,1.2 HP (0.9  kW)),,,,,Air,,Chain   (final drive),,Steel,"Front telescopic, air/spring fork.",,"Rear shock, preload adjustable  and  oil dampened. ",,Single disc,160 mm (6.3 inches),Single disc,,,,"530 mm (20.9 inches) If adjustable, lowest setting.",290 mm (11.4 inches),960 mm (37.8 inches),,Black/red/white,Electric,3 x 10ah AGM SLA batteries. Intended for children 6-9 years. Max rider weight 41 kg.,,,,,,,,2.50-20 ,2.70-20 ,Alloy rims/hubs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
