Model,Year,Category,Rating,Displacement,Engine type,Power,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Rake (fork angle),Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Torque,Compression,Valves per cylinder,Trail,Front tire,Rear tire,"Weight incl. oil, gas, etc",Overall length,Overall width,Factory warranty,Engine details,Fuel consumption,Greenhouse gases,Exhaust system,Wheels,Seat,Overall height,Oil capacity,Instruments,Reserve fuel capacity,Electrical,Light,Carrying capacity,Emission details,Top speed,Alternate seat height,Modifications compared to previous model,Max RPM,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Oil filter,Battery,Belt teeth,Belt width,Pulley teeth,Fork tube size,Coolant
Harley-Davidson CVO Limited,2015,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1801.0 ccm (109.90 cubic inches),"V2, four-stroke",96.6 HP (70.5  kW)) @ 5000 RPM,101.6 x 111.1 mm (4.0 x 4.4 inches),Injection. Electronic Sequential Port Fuel Injection,,,Dry sump,Oil & air,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,"Chain, 34/46 ratio primary drive",,26.0°,,,,,"Double disc. ABS, 4-piston",,"Single disc. ABS, 2-piston",412.0 kg (908.3 pounds),0.2343 HP/kg,"693 mm (27.3 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1613 mm (63.5 inches),22.71 litres (6.00 US gallons),"Palladiuum Silver/Typhon Maroon, Carbon Dust/Charcol Slate, Gold Rush/Carbon Dust",Electric,Windshield. Cruise control. Alarm.,156.0 Nm (15.9 kgf-m or 115.1 ft.lbs) @ 3750 RPM,9.2:1,,170 mm (6.7 inches),130/80-17 ,180/65-16 ,428.0 kg (943.6 pounds),2504 mm (98.6 inches),,,Twin-Cooled™ Twin Cam 110™,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Chrome dual exhaust with 4 in. touring mufflers and touring muffler shields,Mirror Chrome Chisel Custom Wheels,,,3.80 litres (4.02 US quarts),,,,"High beam, running lights, front fender running lights, directional light bar, low oil pressure, engine diagnostics, cruise control, speakers, accessory, security system, 6-speed, low fuel warning, ABS","Saddle bags, top box",,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 675,2015,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",675.0 ccm (41.19 cubic inches),"In-line three, four-stroke",128.0 HP (93.4  kW)) @ 12500 RPM,76.0 x 49.6 mm (3.0 x 2.0 inches),Injection. Multipoint sequential electronic fuel injection with forced air induction and SAI,Double Overhead Cams/Twin Cam (DOHC),Digital-inductive type via engine management system,,Liquid,6-speed,Chain   (final drive),Wet. multi-plate,O ring chain,"Aluminium beam twin spar. Braced, twin-sided, aluminium alloy with adjustable pivot position swing arm.",22.9°,"Kayaba 41mm upside down forks with adjustable preload, rebound and high/low speed compression damping.",110 mm (4.3 inches),"Kayaba monoshock with piggy back reservoir adjustable for preload, rebound and high/low speed compression damping.",130 mm (5.1 inches),Double disc. Nissin 4-piston radial mono-block calipers. Switchable ABS.,220 mm (8.7 inches),Single disc. Nissin single piston caliper. Switchable ABS.,167.0 kg (368.2 pounds),0.7665 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",,1395 mm (54.9 inches),17.40 litres (4.60 US gallons),Diablo Red/Jet Black,Electric,,74.0 Nm (7.5 kgf-m or 54.6 ft.lbs) @ 11900 RPM,12.7:1,4,88 mm (3.5 inches),120/70-ZR17 ,180/55-ZR17 ,187.0 kg (412.3 pounds),2020 mm (79.5 inches),710 mm (28.0 inches),2 year warranty unlimited mileage,,,,Stainless steel 3 into 1 system with valve in secondary and under seat silencer,Cast aluminium alloy 5-spoke,,1105 mm (43.5 inches),3.60 litres (3.8 US quarts),"LCD multi-functional instrument pack with digital speedometer, trip computer, analogue tachometer, lap timer, gear position indicator and programmable gear change lights and clock, coded key immobiliser, TPMS ready and switchable ABS (where fitted).",,,,,,,,,,,,,,,,,,,,,,,,,,,
Linhai ATV Goon 300,2015,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,275.0 ccm (16.78 cubic inches),"Single cylinder, four-stroke",,72.5 x 66.8 mm (2.9 x 2.6 inches),Carburettor,Single Overhead Cams (SOHC),Electronic T.C.I:,Pressure lubrication wet sump,Liquid,Automatic,Shaft drive (cardan)   (final drive),,CVT,,,Macpherson structure,,Cocket centring structure,,Single disc,,Single disc,270.0 kg (595.2 pounds),,"865 mm (34.1 inches) If adjustable, lowest setting.",183 mm (7.2 inches),1200 mm (47.2 inches),,"Red, Yellow, Black",Electric,Chinese made ATV. Sold in Europe.,,9.0:1,,,24/8-12 ,24/11-10 ,,1829 mm (72.0 inches),1090 mm (42.9 inches),,,,,,,,1116 mm (43.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Cat TRV 550 XT EPS,2015,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,543.0 ccm (33.13 cubic inches),"Single cylinder, four-stroke",,92.0 x 82.0 mm (3.6 x 3.2 inches),Injection,Single Overhead Cams (SOHC),,,Liquid,Automatic,Belt   (final drive),,"2/4 WD + Electric Front Differential Lock. Automatic CVT with EBS, Hi/Lo Range  and  Reverse.",,,Double A-Arm,254 mm (10.0 inches),Double A-Arm,254 mm (10.0 inches),Single disc. Hydraulic. ,,Single disc. Hydraulic. ,353.4 kg (779.0 pounds),,,279 mm (11.0 inches),1473 mm (58.0 inches),20.06 litres (5.30 US gallons),"Orange, dark grey",Electric,"Power Steering (EPS), Automotive-Style Paint, Sway Bar, Front SpeedRack, 3-in-1 System, Rear 2-Inch Receiver.",,,4,,25/8-12 ,25/10-12 ,,2565 mm (101.0 inches),1207 mm (47.5 inches),,,,,,Duro 3 Star Kaden Tires.  Aluminum wheels.,Passenger Seat with Heated Grips,1397 mm (55.0 inches),,Analog/digital,,,,Front rack,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV950 Boltage by Benders,2015,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,942.0 ccm (57.48 cubic inches),"V2, four-stroke",51.4 HP (37.5  kW)) @ 5500 RPM,85.0 x 83.0 mm (3.3 x 3.3 inches),Injection,Single Overhead Cams (SOHC),TCI,Wet sump,Air,5-speed,Belt   (final drive),,,Double cradle,32.0°,"Telescopic forks,   41  mm",135 mm (5.3 inches),Swingarm,110 mm (4.3 inches),Single disc. Hydraulic. ,298 mm (11.7 inches),Single disc. Hydraulic. ,,,"690 mm (27.2 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1570 mm (61.8 inches),12.00 litres (3.17 US gallons),Red/white,Electric,Yard Built by Yamaha.,79.5 Nm (8.1 kgf-m or 58.6 ft.lbs) @ 8100 RPM,9.0:1,4,130 mm (5.1 inches),100/90-19 ,150/80-16 ,247.0 kg (544.5 pounds),2290 mm (90.2 inches),830 mm (32.7 inches),,,,,2-into-1 exhaust pipe,12-spoke cast wheels,,,4.30 litres (4.54 US quarts),,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 800 R,2015,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",798.0 ccm (48.69 cubic inches),"Twin, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,82.0 x 75.6 mm (3.2 x 3.0 inches),Injection. Electronic intake pipe injection / digital engine management (BMS-KP),Double Overhead Cams/Twin Cam (DOHC),,Dry sump,Liquid,6-speed,Chain   (final drive),Gearbox,O-ring chain with shock damping in rear wheel hub,"Bridge-type aluminium frame, load-bearing engine",25.0°,"Telescopic fork, 43 mm",125 mm (4.9 inches),"Cast aluminium double sided swing arm, central spring strut, spring pre-load hydraulically adjustable (continuously variable) at handwheel, rebound damping adjustable",125 mm (4.9 inches),Double disc. ABS. Floating discs. Four-piston calipers. ,265 mm (10.4 inches),Single disc. ABS. Floating disc. Single-piston caliper. ,177.0 kg (390.2 pounds),0.5085 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,1520 mm (59.8 inches),16.00 litres (4.23 US gallons),"Blue/white, White, Black/white, Blue",Electric,,86.0 Nm (8.8 kgf-m or 63.4 ft.lbs) @ 6000 RPM,12.0:1,4,91 mm (3.6 inches),120/70-ZR17 ,180/55-ZR17 ,202.0 kg (445.3 pounds),2145 mm (84.4 inches),860 mm (33.9 inches),,,3.60 litres/100 km (27.8 km/l or 65.34 mpg),83.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Cast aluminium,,1235 mm (48.6 inches),,,4.00 litres (1.06 US gallons),"12 V / 14 Ah, maintenance-free battery.",,,"Closed-loop 3-way catalytic converter, emission standard EU-3",,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ8,2015,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",779.0 ccm (47.53 cubic inches),"In-line four, four-stroke",104.7 HP (76.4  kW)) @ 10000 RPM,68.0 x 53.6 mm (2.7 x 2.1 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Digital TCI: Transistor Controlled Ignition with 32-bit ECU,,Liquid,6-speed,Chain   (final drive),,O-ring chain,Cast aluminum frame and Controlled-Fill aluminum die-cast swingarm,25.0°,"Telescopic fork, adjustable compression and rebound, 5.1-in travel",130 mm (5.1 inches),"Single shock, adjustable preload and rebound damping, 5.1-in travel",130 mm (5.1 inches),Double disc. Hydraulic. ,267 mm (10.5 inches),Single disc,,,"815 mm (32.1 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1461 mm (57.5 inches),17.03 litres (4.50 US gallons),Matte Gray/Matte Black ,Electric,ABS adds 5 kg.,82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 8000 RPM,12.0:1,4,109 mm (4.3 inches),120/70-ZR17 ,180/55-ZR17 ,211.8 kg (467.0 pounds),2141 mm (84.3 inches),770 mm (30.3 inches),1 Year Limited Factory Warranty,Ceramic-composite-coated cylinders and forged aluminum pistons,6.03 litres/100 km (16.6 km/l or 39.01 mpg),139.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,1064 mm (41.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Grom 125,2015,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.9 ccm (7.62 cubic inches),"Single cylinder, four-stroke",,52.4 x 57.9 mm (2.1 x 2.3 inches),Injection. PGM-FI with automatic enrichment,Single Overhead Cams (SOHC),Electronic,,Air,4-speed,Chain   (final drive),,,,25.0°,31mm inverted fork,118 mm (4.6 inches),Single shock with steel box-section swingarm,70 mm (2.8 inches),Single disc. Hydraulic. Two-piston calipers. ,190 mm (7.5 inches),Single disc. Hydraulic. Single-piston caliper. ,,,"754 mm (29.7 inches) If adjustable, lowest setting.",,1199 mm (47.2 inches),5.49 litres (1.45 US gallons),"Black, Red, Yellow, Pearl White",Electric,Model ID: Grom125,,9.3:1,2,81 mm (3.2 inches),120/70-12 ,130/70-12 ,102.1 kg (225.0 pounds),,,One year. Unlimited milage. Transferable.,,,,,,,,,,,,,,Meets current EPA standards. Models sold in California meet current CARB standards and may differ slightly due to emissions equipment.,,,,,,,,,,,,,,,,,,,,,,
Suzuki Address V125S Limited,2015,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.9 HP (7.2  kW)) @ 7500 RPM,53.5 x 55.2 mm (2.1 x 2.2 inches),Injection,Single Overhead Cams (SOHC),,Wet sump,Air,Automatic,Belt   (final drive),,2.428. Primary drive: 3.409.,Underbone,26.0°,Telescopic,,Swing-arm. Twin shocks.,,Single disc,,Expanding brake (drum brake),104.0 kg (229.3 pounds),0.0952 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1220 mm (48.0 inches),4.30 litres (1.14 US gallons),Black,Electric & kick,Limited edition model sold in Japan.,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 6000 RPM,9.6:1,,82 mm (3.2 inches),90/90-10 ,100/90-10 ,,1885 mm (74.2 inches),715 mm (28.1 inches),,,1.92 litres/100 km (52.1 km/l or 122.51 mpg),44.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,Dual. Seat heater unit under the seat. ,1075 mm (42.3 inches),1.00 litres (1.06 US quarts),"Speedometer, fuel gauge and a gear-position indicator",,12V 5Ah battery,,"Underseat storage, rear rack.",,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS950A Midnight Star,2015,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",942.0 ccm (57.48 cubic inches),"V2, four-stroke",54.0 HP (39.4  kW)) @ 6000 RPM,85.0 x 83.0 mm (3.3 x 3.3 inches),Injection,Single Overhead Cams (SOHC),TCI,Wet sump,Air,5-speed,Belt   (final drive),"Wet, Multiple Disc",Constant Mesh,Steel Double Cradle,32.0°,Telescopic forks,135 mm (5.3 inches),Swingarm,110 mm (4.3 inches),Single disc. Hydralic,298 mm (11.7 inches),Single disc. Hydralic,,,"675 mm (26.6 inches) If adjustable, lowest setting.",145 mm (5.7 inches),1685 mm (66.3 inches),17.00 litres (4.49 US gallons),"Black, Red, White",Electric,,76.8 Nm (7.8 kgf-m or 56.6 ft.lbs) @ 3000 RPM,9.0:1,4,145 mm (5.7 inches),130/70-18 ,170/70-16 ,278.0 kg (612.9 pounds),2435 mm (95.9 inches),1000 mm (39.4 inches),,,,,,Black 8-spoke aluminium,,1080 mm (42.5 inches),4.00 litres (4.23 US quarts),,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
Borile Bastard,2015,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,90.0 x 78.0 mm (3.5 x 3.1 inches),Injection,,Electronic,Wet sump,Air,5-speed,Chain   (final drive),"Wet, multiplate",,7020 light alloy frames,,Marzocchi fork,130 mm (5.1 inches),Monoshock,116 mm (4.6 inches),Single disc,,Single disc,,,,,1405 mm (55.3 inches),,Black/metal,Electric & kick,Italian custom made bike with various engine options up to 500 ccm.,,12.0:1,,,120/70-21 ,150/70-18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF-R25,2015,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",30.0 HP (21.9  kW)) @ 12000 RPM,60.0 x 44.1 mm (2.4 x 1.7 inches),Injection. EFI,Double Overhead Cams/Twin Cam (DOHC),TC,Wet sump,Liquid,6-speed,Chain   (final drive),"Wet, multiple-disc coil spring",Constant Mesh,Diamond,25.0°,Telescopic forks,130 mm (5.1 inches),Linked monoshock with spring preload adjustment,114 mm (4.5 inches),Single disc,220 mm (8.7 inches),Single disc,,,"780 mm (30.7 inches) If adjustable, lowest setting.",160 mm (6.3 inches),1380 mm (54.3 inches),14.00 litres (3.70 US gallons),"Matte grey, blue",Electric,,22.6 Nm (2.3 kgf-m or 16.7 ft.lbs) @ 10000 RPM,11.2:1,4,95 mm (3.7 inches),100/80-17 ,130/70-17 ,144.0 kg (317.5 pounds),2090 mm (82.3 inches),720 mm (28.3 inches),,,,,,,,1135 mm (44.7 inches),2.40 litres (2.54 US quarts),Multi function LCD instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja 250 Beet,2015,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, four-stroke",32.0 HP (23.4  kW)) @ 11000 RPM,62.0 x 41.2 mm (2.4 x 1.6 inches),Carburettor. Keihin CVK30 x 2,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,O-ring chain,"Semi-double cradle, high-tensile steel",26.0°,Hydraulic telescopic fork,,Bottom-link Uni-Trak ,,Single disc. Hydraulic. Two-piston calipers. ,220 mm (8.7 inches),Single disc. Two-piston calipers. ,,,"785 mm (30.9 inches) If adjustable, lowest setting.",,1400 mm (55.1 inches),17.00 litres (4.49 US gallons),Red/black,Electric,Small windscreen. Sold in some asian countries.,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 10000 RPM,11.6:1,,,110/70-17 ,140/70-17 ,172.0 kg (379.2 pounds),2010 mm (79.1 inches),715 mm (28.1 inches),12 months,,,,,,,1110 mm (43.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespa Primavera ABS 150,2015,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,155.0 ccm (9.46 cubic inches),"Single cylinder, four-stroke",12.7 HP (9.3  kW)) @ 7750 RPM,58.0 x 58.6 mm (2.3 x 2.3 inches),Carburettor,Single Overhead Cams (SOHC),,,Air,Automatic,Belt   (final drive),Automatic dry centrifugal clutch with vibration dampers,,Sheet metal body with welded reinforcements,,Single arm with coil spring and dual action monoshock absorber - axial stroke 78 mm,,Hydraulic monoshock - axial stroke 70 mm,,Single disc. ABS,140 mm (5.5 inches),Expanding brake (drum brake). ABS,,,"780 mm (30.7 inches) If adjustable, lowest setting.",,1339 mm (52.7 inches),8.00 litres (2.11 US gallons),"Rosso Dragon, Midnight Blue, Montebianco White, Azzurro Marechiaro, Marrone Creta Senese",Electric,,12.8 Nm (1.3 kgf-m or 9.4 ft.lbs) @ 6500 RPM,,3,,110/70-11 ,120/70-11 ,,1859 mm (73.2 inches),734 mm (28.9 inches),2-year unlimited-mileage warranty. ,,2.01 litres/100 km (49.8 km/l or 117.03 mpg),46.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Die-cast aluminium alloy,,,,,,,,,Catalytic converter. Euro 3.,95.0 km/h (59.0 mph),,,,,,,,,,,,,,,,,,,,,
Suzuki Bandit 1250S ABS,2015,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1255.0 ccm (76.58 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 7500 RPM,79.0 x 64.0 mm (3.1 x 2.5 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (transistorised),Wet sump,Liquid,6-speed,Chain   (final drive),,,,25.6°,"Telescopic, coil spring, oil damped",130 mm (5.1 inches),"Link type, coil spring, oil damped",136 mm (5.4 inches),Double disc. ABS,240 mm (9.4 inches),Single disc. ABS,,,"810 mm (31.9 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1485 mm (58.5 inches),19.00 litres (5.02 US gallons),"Candy Daring Red, Glass Sparkle Black, Pearl Glacier White  


",Electric,Small windscreen,108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 3700 RPM,10.5:1,4,104 mm (4.1 inches),120/70-ZR17 ,180/55-ZR17 ,254.0 kg (560.0 pounds),2130 mm (83.9 inches),790 mm (31.1 inches),,,,,,,,1235 mm (48.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Ozark 250,2015,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor. Mikuni BS29 single,Single Overhead Cams (SOHC),,,Air,5-speed,Shaft drive (cardan)   (final drive),,5-forward and 1-reverse,,,"Independent, double wishbone, coil spring, oil damped",,"Swingarm type, coil spring, oil damped",,Double disc,,Expanding brake (drum brake),,,"785 mm (30.9 inches) If adjustable, lowest setting.",210 mm (8.3 inches),1140 mm (44.9 inches),10.60 litres (2.80 US gallons),"Red, Green",Electric,,,9.2:1,,,22/7-11 ,22/10-9 ,199.0 kg (438.7 pounds),1870 mm (73.6 inches),,1 year limited warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cectek Quadrift T5,2015,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,496.5 ccm (30.30 cubic inches),"Single cylinder, four-stroke",40.2 HP (29.4  kW)) @ 7000 RPM,,Injection. EFI,,,,Liquid,Automatic,Belt   (final drive),Non-centrifugal clutch CVT system with engine braking function,Electronic Locking + Limited Slip Differential rear,,,"Independent, double A-arm, continuous preload seetings,",122 mm (4.8 inches),"Independent, double A-arm, oil-damped, continuous preload settings, sway-bar",111 mm (4.4 inches),Double disc,250 mm (9.8 inches),Single disc,,,"776 mm (30.6 inches) If adjustable, lowest setting.",105 mm (4.1 inches),1295 mm (51.0 inches),19.00 litres (5.02 US gallons),,Electric,"Integrated gearbox inside the engine with Park, Neuter, Hi-Lo dual range and Reverse Gears. ",44.0 Nm (4.5 kgf-m or 32.5 ft.lbs) @ 4500 RPM,,,,195/45-R15 ,215/40-R16 ,330.0 kg (727.5 pounds),2180 mm (85.8 inches),1240 mm (48.8 inches),,,,,,Aluminum wheels and low-profile highway tire,,1080 mm (42.5 inches),,Multifunction LCD display. RPM/Speed/ODO/Trip/Time/Fuel Water Temp/Oil pressure/Back Light:Orange Indicator/Shift Position/High beam/Flash/Engine over speed/Diff. locked. ,,,,Rear rack,,,,,,,,,,,,,,,,,,,,,,,
Honda VT750C Shadow,2015,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"V2, four-stroke",44.9 HP (32.8  kW)) @ 5500 RPM,79.0 x 79.0 mm (3.1 x 3.1 inches),Injection,Single Overhead Cams (SOHC),Fully transistorised electronic,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,Enclosed Shaft,,,"41mm telescopic fork, 116mm axle travel ",,"Dual conventional dampers with 5-step adjustable spring preload, 90mm axle travel",,"Single disc. Hydraulic disc with combined three-piston caliper, ABS and sintered metal pads ",276 mm (10.9 inches),"Single disc. Hydraulic disc with combined three-piston caliper, ABS and sintered metal pads ",,,"650 mm (25.6 inches) If adjustable, lowest setting.",,1640 mm (64.6 inches),14.60 litres (3.86 US gallons),Black,Electric,,65.0 Nm (6.6 kgf-m or 47.9 ft.lbs) @ 3500 RPM,9.6:1,3,,120/90-17 ,160/80-15 ,251.0 kg (553.4 pounds),2395 mm (94.3 inches),834 mm (32.8 inches),,52° V-twin ,3.57 litres/100 km (28.0 km/l or 65.89 mpg),82.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,1089 mm (42.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF Moto CForce 800S,2015,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,800.0 ccm (48.82 cubic inches),"V2, four-stroke",61.7 HP (45.0  kW)) @ 6000 RPM,91.0 x 65.1 mm (3.6 x 2.6 inches),Injection. Electronic Fuel Injection ,Overhead Cams (OHC),CDI,Pressure and  Splash,Liquid,Automatic,Belt   (final drive),,CVT. Switchable 2WD/4WD.,,,Dual A-arm,,Dual A-arm,,Double disc,150 mm (5.9 inches),Single disc,"592.0 kg (1,305.1 pounds)",0.1042 HP/kg,"550 mm (21.7 inches) If adjustable, lowest setting.",280 mm (11.0 inches),1830 mm (72.0 inches),26.00 litres (6.87 US gallons),"Titanium Grey, Crystal Orange, Pearl Black, New Camo Maple",Electric,,72.0 Nm (7.3 kgf-m or 53.1 ft.lbs) @ 6700 RPM,10.3:1,,,26/9-14 ,26/11-14 ,,1973 mm (77.7 inches),1430 mm (56.3 inches),,,,,,Aluminum Alloy,,,,,,,,"35kg front rack, 70kg rear rack.",,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson V-Rod Muscle,2015,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1247.0 ccm (76.09 cubic inches),"V2, four-stroke",119.4 HP (87.1  kW)) @ 8000 RPM,105.0 x 72.0 mm (4.1 x 2.8 inches),Injection. Electronic Sequential Port Fuel Injection,,,Dry sump,Liquid,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,"Gear, 117/64 ratio primary drive",,34.0°,,,,,Double disc. ABS. 4-piston,,Single disc. 2-piston,292.1 kg (644.0 pounds),0.4086 HP/kg,"650 mm (25.6 inches) If adjustable, lowest setting.",122 mm (4.8 inches),1702 mm (67.0 inches),18.93 litres (5.00 US gallons),"Black Quartz, Mysterious Red Sunglo, Sand Cammo Denim, Vivid Black
",Electric,,116.6 Nm (11.9 kgf-m or 86.0 ft.lbs) @ 6500 RPM,11.5:1,,142 mm (5.6 inches),120/70-ZR19 ,240/40-R18 ,307.1 kg (677.0 pounds),2357 mm (92.8 inches),,,"Liquid-cooled, Revolution®, 60° V-Twin",6.30 litres/100 km (15.9 km/l or 37.34 mpg),146.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Satin chrome, dual side exhaust system with turnouts","Black, 5-Spoke Cast Aluminum",,,4.70 litres (4.97 US quarts),"Electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, tachometer",,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, security system (optional), coolant temperature, low fuel warnings",,,,,,,,,,,,,,,,,,,,,,,,
Derbi Terra Adventure 125,2015,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.2 ccm (7.58 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 9250 RPM,58.0 x 47.0 mm (2.3 x 1.9 inches),Carburettor. 30 mm,Double Overhead Cams/Twin Cam (DOHC),,Dry sump,Liquid,6-speed,Chain   (final drive),"Multi-plate, wet",,Double steel beam,,41 mm hydraulic fork,150 mm (5.9 inches),Mono-shock with adjustable spring pre-load.,150 mm (5.9 inches),Single disc,220 mm (8.7 inches),Single disc,117.0 kg (257.9 pounds),0.1282 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,1451 mm (57.1 inches),11.00 litres (2.91 US gallons),White,Electric,Made in Spain.,,12.0:1,4,,90/90-21 ,130/90-17 ,130.0 kg (286.6 pounds),2195 mm (86.4 inches),793 mm (31.2 inches),,,,,,,Dual,1408 mm (55.4 inches),,,2.50 litres (0.66 US gallons),Battery 12V 6Ah,,,Euro III,,,,,,,,,,,,,,,,,,,,,,
