Model,Year,Category,Rating,Displacement,Engine type,Torque,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Rake (fork angle),Trail,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Overall length,Ground clearance,Wheelbase,Fuel capacity,Color options,Comments,Power,Valves per cylinder,Fuel control,Transmission type,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Power/weight ratio,Overall width,Reserve fuel capacity,Top speed,Fuel consumption,Greenhouse gases,Modifications compared to previous model,Overall height,Max RPM,Ignition,Lubrication system,Clutch,Exhaust system,Starter,"Weight incl. oil, gas, etc",Alternate seat height,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Fork tube size,0-100 km/h (0-62 mph),Driveline,Electrical,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Coolant,Chain size,Engine details,Wheels
Sherco Supermotard 50 cc,2004,Super motard," 1.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,39.0 x 40.3 mm (1.5 x 1.6 inches),Carburettor,Liquid,6-speed,,,100/80-17 ,130/70-17 ,Single disc,220 mm (8.7 inches),Single disc,,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,,Blue,,,,,Chain   (final drive),Mono tube,Paioli racing 41 mm front fork,,Paioli shock absorber with progressive system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE 570,2004,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",576.3 ccm (35.16 cubic inches),"Single cylinder, four-stroke",,10.0:1,98.0 x 76.4 mm (3.9 x 3.0 inches),,Liquid,6-speed,,,90/90-18 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,,"980 mm (38.6 inches) If adjustable, lowest setting.",2170 mm (85.4 inches),340 mm (13.4 inches),1495 mm (58.9 inches),9.00 litres (2.38 US gallons),Red/yellow/blue,,,4,Single Overhead Cams (SOHC),Chain   (final drive),Steel singel tube cradle. Rear frame in light alloy.,Marzocchi upside-down telescopic hydraulic adjustable fork,300 mm (11.8 inches),Sachs progressive soft-dump with single hydraulic,320 mm (12.6 inches),,810 mm (31.9 inches),,,,,,1260 mm (49.6 inches),,,,,,,118.9 kg (262.1 pounds),,,,,,,,,,,,,,,,,,,,,,,
Honda CRF 250 F,2004,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,12.9:1,78.0 x 52.2 mm (3.1 x 2.1 inches),Carburettor,Liquid,5-speed,26.5°,107 mm (4.2 inches),80/90-21 ,100/90-19 ,Single disc,240 mm (9.4 inches),Single disc,,"963 mm (37.9 inches) If adjustable, lowest setting.",,,1478 mm (58.2 inches),7.57 litres (2.00 US gallons),Red,Model id CRF250R.,,4,,Chain   (final drive),Aluminium,47mm inverted Showa cartridge fork with 16-position rebound- and 16-position compression-damping adjustability,315 mm (12.4 inches),"Pro-Link Showa single shock with spring-preload, 17-position rebound-damping adjustability, and compression-damping adjustment separated into low speed (13 positions) and high-speed (3.5 turns.",315 mm (12.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna SM 570 R,2004,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",576.3 ccm (35.16 cubic inches),"Single cylinder, four-stroke",,10.0:1,98.0 x 76.4 mm (3.9 x 3.0 inches),,Liquid,6-speed,,,120/70-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,125.3 kg (276.2 pounds),"920 mm (36.2 inches) If adjustable, lowest setting.",2170 mm (85.4 inches),265 mm (10.4 inches),1495 mm (58.9 inches),9.00 litres (2.38 US gallons),Red/yellow/blue,,,4,,Chain   (final drive),Steel singel tube cradle. Rear frame in light alloy.,Marzocchi upside-down telescopic hydraulic adjustable fork,300 mm (11.8 inches),Sachs progressive soft-dump with single hydraulic,320 mm (12.6 inches),,810 mm (31.9 inches),,,,,,1260 mm (49.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Dream 50 R,2004,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,11.7:1,40.0 x 39.6 mm (1.6 x 1.6 inches),,,6-speed,,95 mm (3.7 inches),,,Single disc,,Single disc,,,1791 mm (70.5 inches),,1194 mm (47.0 inches),6.05 litres (1.60 US gallons),Silver,Not street legal in the US.,,2,,Chain   (final drive),,,,,,,615 mm (24.2 inches),,,,,,945 mm (37.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSTI Softail Standard,2004,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 3500 RPM,8.8:1,95.3 x 101.6 mm (3.8 x 4.0 inches),Injection,Air,5-speed,32.0°,130 mm (5.1 inches),90/90-21 ,150/80-16 ,Single disc,292 mm (11.5 inches),Single disc,292.0 kg (643.7 pounds),"663 mm (26.1 inches) If adjustable, lowest setting.",2412 mm (95.0 inches),142 mm (5.6 inches),1695 mm (66.7 inches),18.90 litres (4.99 US gallons),"Vivid black, brilliant silver, sierra red, impact blue
",Silver powder-coated engine and covers; hardtail styling with hidden horizontal rear shocks; black horseshoe oil tank; bobtail fender; raked front forks,,2,Double Overhead Cams/Twin Cam (DOHC),Belt   (final drive),,,,,,,,,,,,,,,,,,,Electric,305.0 kg (672.4 pounds),,3.30 litres (3.49 US quarts),SAE 20W-50,,,,"NGK DCPR7E, NGK DCPR7EIX",1000  RPM,,,,41 mm (1.6 inches),,,,,,29 PSI (2 Bar or 200 kPa),36 PSI (2.5 Bar or 250 kPa),,,,
Linhai Monarch LH 150 T,2004,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",151.1 ccm (9.22 cubic inches),"Single cylinder, four-stroke",,,57.7 x 57.8 mm (2.3 x 2.3 inches),,,,,,110/90-12 ,130/90-12 ,Single disc,,Single disc,135.0 kg (297.6 pounds),,2110 mm (83.1 inches),,,11.00 litres (2.91 US gallons),,,,,Overhead Cams (OHC),,Steel pipe,Hydraulic forks,,2 idraul. sho. abs.,,,765 mm (30.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Volusia 800 Limited,2004,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",,9.4:1,83.0 x 74.4 mm (3.3 x 2.9 inches),Carburettor,Liquid,5-speed,,,130/90-16 ,170/80-15 ,Single disc,,Single disc,241.0 kg (531.3 pounds),"700 mm (27.6 inches) If adjustable, lowest setting.",2510 mm (98.8 inches),,1655 mm (65.2 inches),17.00 litres (4.49 US gallons),Limited Edition Black,,,4,Single Overhead Cams (SOHC),Shaft drive (cardan)   (final drive),,"Telescopic, coil spring, oil damped",,"Link-type, oil damped, 7-way adjustable spring preload",,,985 mm (38.8 inches),,,,,,1100 mm (43.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4 S 1+1,2004,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 10500 RPM,12.0:1,73.8 x 43.8 mm (2.9 x 1.7 inches),,,6-speed,,,120/65-ZR17 ,190/50-ZR17 ,Double disc,,Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",,,1408 mm (55.4 inches),21.00 litres (5.55 US gallons),,,137.0 HP (100.0  kW)) @ 12500 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,120 mm (4.7 inches),,118 mm (4.6 inches),,,4.00 litres (1.06 US gallons),,,,,,,,,,,,207.0 kg (456.4 pounds),,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 650 A DragStar Classic,2004,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",50.1 Nm (5.1 kgf-m or 37.0 ft.lbs) @ 3000 RPM,9.0:1,81.0 x 63.0 mm (3.2 x 2.5 inches),,Air,,,,130/90-16 ,170/80-15 ,Single disc,200 mm (7.9 inches),Expanding brake (drum brake),229.0 kg (504.9 pounds),"710 mm (28.0 inches) If adjustable, lowest setting.",2450 mm (96.5 inches),145 mm (5.7 inches),1610 mm (63.4 inches),,Yamaha black,,39.4 HP (28.8  kW)) @ 6500 RPM,1,Single Overhead Cams (SOHC),,,Telescopic fork,140 mm (5.5 inches),Swingarm Monocross,98 mm (3.9 inches),0.1721 HP/kg,930 mm (36.6 inches),,,,,,1105 mm (43.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z 250,2004,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,10.4:1,73.0 x 59.6 mm (2.9 x 2.3 inches),Carburettor,Oil & air,6-speed,,,80/90-21 ,100/90-18 ,Single disc,,Single disc,115.0 kg (253.5 pounds),"890 mm (35.0 inches) If adjustable, lowest setting.",2150 mm (84.6 inches),300 mm (11.8 inches),1455 mm (57.3 inches),10.50 litres (2.77 US gallons),Champion Yellow,,,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,"Telescopic, oil-damped, 12-way adjustable compression and 17-way rebound damping",,"Link-type, gas/oil-damped, fully-adjustable compression/rebound damping and preload",,,880 mm (34.6 inches),,,,,,1206 mm (47.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factory Bike Desert YR 50,2004,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,12.0:1,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor,Liquid,6-speed,,,90/90-21 ,110/80-18 ,Single disc,220 mm (8.7 inches),Single disc,,,2070 mm (81.5 inches),,1495 mm (58.9 inches),7.50 litres (1.98 US gallons),"Red, Blue",,,,,Chain   (final drive),Hardened steel CrMo.,PAIOLI Fork 36 mm,,Shock-Absorber PAIOLI,,,810 mm (31.9 inches),,,,,,1220 mm (48.0 inches),,,,,,,81.5 kg (179.7 pounds),,,,,,,,,,,,,,,,,,,,,,,
IZH Planeta 5 (IZH 7.107),2004,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",346.6 ccm (21.15 cubic inches),"Single cylinder, two-stroke",28.4 Nm (2.9 kgf-m or 20.9 ft.lbs),,,,Air,,,,,,,,,,,2200 mm (86.6 inches),135 mm (5.3 inches),1450 mm (57.1 inches),,,,21.7 HP (15.9  kW)),,,,Road motorcycle,,,,,,810 mm (31.9 inches),,120.0 km/h (74.6 mph),,,,1300 mm (51.2 inches),,,,,,,180.0 kg (396.8 pounds),,,,,,,,,,,,,,,,,,,,,,,
Derbi Senda SM Racer,2004,Super motard," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,13.0:1,39.9 x 40.0 mm (1.6 x 1.6 inches),Carburettor,Liquid,6-speed,,,100/80-17 ,130/80-17 ,Single disc,220 mm (8.7 inches),Single disc,,,2050 mm (80.7 inches),,,5.50 litres (1.45 US gallons),"Blue, Black",,,,,Chain   (final drive),,"Hydraulic fork, 36 mm",170 mm (6.7 inches),Lineal gas single absorber,50 mm (2.0 inches),,695 mm (27.4 inches),,,,,,1125 mm (44.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZRX 1200 S,2004,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1164.0 ccm (71.03 cubic inches),"In-line four, four-stroke",112.0 Nm (11.4 kgf-m or 82.6 ft.lbs),,,Injection,Liquid,5-speed,,,120/70-ZR17 ,180/55-ZR17 ,Double disc,,Single disc,228.0 kg (502.7 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",,,1460 mm (57.5 inches),19.00 litres (5.02 US gallons),Red,,122.0 HP (89.1  kW)) @ 10000 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,,,,0.5351 HP/kg,,,239.0 km/h (148.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vetter Torpedo,2004,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1638.0 ccm (99.95 cubic inches),"V2, four-stroke",,,,Carburettor,Air,Automatic,,,,,Single disc,,Single disc,270.0 kg (595.2 pounds),,,,2000 mm (78.7 inches),,Red/cream,Craig Vetter designed scooter. ,,,,,,Telescopic fork,,Dual shocks,,,,,,,,,,,,,Centrifugal clutch,,Electric,,,,,,,,,,,,,,,,,,,,,,,Harley Davidson Sportster engine,12-spoke cast alloy
CPI Popcorn 50,2004,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",3.8 Nm (0.4 kgf-m or 2.8 ft.lbs) @ 8000 RPM,,40.0 x 39.2 mm (1.6 x 1.5 inches),,Air,Automatic,,,120/70-12 ,130/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,1830 mm (72.0 inches),,,5.20 litres (1.37 US gallons),"Blue, Violet, Yellow, Grey, Red",,4.4 HP (3.2  kW)),,,,,,,,,,653 mm (25.7 inches),,,,,,1097 mm (43.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 1.25 Trial,2004,Trial," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",,14.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),Carburettor,Liquid,5-speed,,,,,Single disc,,Single disc,69.5 kg (153.2 pounds),"635 mm (25.0 inches) If adjustable, lowest setting.",,,,,,,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZR 1200,2004,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1164.0 ccm (71.03 cubic inches),"In-line four, four-stroke",164.0 Nm (16.7 kgf-m or 121.0 ft.lbs),,,Carburettor,Liquid,6-speed,,,120/70-ZR17 ,180/55-ZR17 ,Double disc,,Single disc,236.0 kg (520.3 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",,,1500 mm (59.1 inches),23.00 litres (6.08 US gallons),"Silver, Blue",,160.0 HP (116.8  kW)) @ 9800 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,,,,0.6780 HP/kg,,,270.0 km/h (167.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SL 1000 Falco,2004,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.6 ccm (60.87 cubic inches),"Twin, four-stroke",95.5 Nm (9.7 kgf-m or 70.4 ft.lbs) @ 7000 RPM,10.8:1,97.0 x 67.5 mm (3.8 x 2.7 inches),Injection,Liquid,6-speed,24.5°,100 mm (3.9 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc,220 mm (8.7 inches),Single disc,185.0 kg (407.9 pounds),,2050 mm (80.7 inches),,1415 mm (55.7 inches),21.00 litres (5.55 US gallons),"Mercury grey/diablo black, Speed blue/diablo black, Flashy yellow/diablo black",,,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),Sloping parallel Double Twin Beam frame in aluminium-magnesium alloy.,Showa 43 mm upside-down fork,120 mm (4.7 inches),Aluminium alloy swing-arm,130 mm (5.1 inches),,736 mm (29.0 inches),4.00 litres (1.06 US gallons),,,,,1210 mm (47.6 inches),,,,,,,,"815 mm (32.1 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZR-X,2004,Prototype / concept model," 3.7  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",1164.0 ccm (71.03 cubic inches),"In-line four, four-stroke",,,,,,,,,,,,,,,,,,,,,This concept model appeared at the 2003 Milan fair and might just be Kawasaki's Hayabusa killer if it ever is set into production.,,,,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Dink 125,2004,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,,,,120/70-12 ,130/70-12 ,Single disc,200 mm (7.9 inches),Single disc,143.0 kg (315.3 pounds),,1935 mm (76.2 inches),,1395 mm (54.9 inches),,,,10.8 HP (7.8  kW)),,,,,,,,,0.0752 HP/kg,750 mm (29.5 inches),,,,,,1167 mm (45.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 300 MXC USA,2004,Enduro / offroad," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",293.0 ccm (17.88 cubic inches),"Single cylinder, four-stroke",,11.0:1,72.0 x 72.0 mm (2.8 x 2.8 inches),Carburettor,Liquid,5-speed,24.0°,,,,Single disc,260 mm (10.2 inches),Single disc,96.3 kg (212.3 pounds),"925 mm (36.4 inches) If adjustable, lowest setting.",,385 mm (15.2 inches),1475 mm (58.1 inches),9.00 litres (2.38 US gallons),,Available in the US only.,,,,Chain   (final drive),Chromium molybdenum,WP-USD 48 MA,,WP-PDS-shock absorber,,,,,,,,,,,,,,,,,"675 mm (26.6 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Breva V 1100,2004,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",86.5 Nm (8.8 kgf-m or 63.8 ft.lbs) @ 6000 RPM,9.8:1,92.0 x 80.0 mm (3.6 x 3.1 inches),Injection,Air,6-speed,25.3°,120 mm (4.7 inches),120/70-17 ,180/55-17 ,Double disc,282 mm (11.1 inches),Single disc,233.0 kg (513.7 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",2130 mm (83.9 inches),185 mm (7.3 inches),1490 mm (58.7 inches),24.00 litres (6.34 US gallons),,"Breva 1100 -- A new generation of touring bikes is here from Moto Guzzi. The Breva V 1100 is a completely redesigned 90º V-Twin with a new, larger alternator positioned between the cylinder heads, new oil sump design, and lighter pistons to reduce crankcase inertia and reduce vibration.

With its modern Italian design, technological innovations, and the prestige of owning one of motorcycling histories most treasured marquees, the Breva V 1100 is the perfect motorcycle for the rider that hopes the road will never end.

",82.9 HP (60.5  kW)) @ 7800 RPM,2,Overhead Cams (OHC),Shaft drive (cardan)   (final drive),Detachable tubular  cradle,"43 mm fork, preload adjustable",120 mm (4.7 inches),"Single sided swing arm suspension with progressive linkage; rear mono shock, hydraulic adjustable rebound and pre-load",140 mm (5.5 inches),0.3557 HP/kg,810 mm (31.9 inches),4.00 litres (1.06 US gallons),,,,,1310 mm (51.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 600,2004,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 11000 RPM,12.5:1,68.0 x 41.3 mm (2.7 x 1.6 inches),Injection,Liquid,6-speed,,,120/70-ZR17 ,180/55-ZR17 ,Double disc,220 mm (8.7 inches),Single disc,165.0 kg (363.8 pounds),"815 mm (32.1 inches) If adjustable, lowest setting.",2050 mm (80.7 inches),,1390 mm (54.7 inches),18.00 litres (4.76 US gallons),,,110.0 HP (80.3  kW)) @ 12750 RPM,,Double Overhead Cams/Twin Cam (DOHC),,,,,,,0.6667 HP/kg,660 mm (26.0 inches),,,,,,1135 mm (44.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Bet and Win 125,2004,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,,,,120/70-12 ,130/70-12 ,Single disc,200 mm (7.9 inches),Single disc,138.0 kg (304.2 pounds),,1950 mm (76.8 inches),,1390 mm (54.7 inches),,,,10.9 HP (7.9  kW)),,,,,,,,,0.0787 HP/kg,750 mm (29.5 inches),,,,,,1150 mm (45.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Multistrada 1000 DS,2004,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",84.0 Nm (8.6 kgf-m or 62.0 ft.lbs) @ 5000 RPM,10.0:1,94.0 x 71.5 mm (3.7 x 2.8 inches),Injection,Air,6-speed,24.0°,,120/70-ZR17 ,180/55-ZR17 ,Double disc,245 mm (9.6 inches),Single disc,,"850 mm (33.5 inches) If adjustable, lowest setting.",2130 mm (83.9 inches),,1462 mm (57.6 inches),20.00 litres (5.28 US gallons),"Tank: Red, two tone grey.
Frame: red/black. Wheels: light grey.
","The Multistrada is a new generation sport bike that delivers Superbike performance without compromise. Whether your journey takes you up twisty mountain roads, to busy city centers or on your daily commute, the Multistrada excels wherever there is asphalt.
Delivering performance without sacrificing practicality, versatility without compromising road-manners and advanced design without forfeiting function, the Multistrada is a real-world motorcycle for real-world riders. ",84.0 HP (61.3  kW)) @ 8000 RPM,2,Desmodromic valve control,Chain   (final drive),Tubular steel trellis,Showa 43 mm upside-down fully adjustable fork,165 mm (6.5 inches),Progressive linkage with fully adjustable Showa monoshock; hydraulic remote pre-load control. Single-sided aluminium swingarm,141 mm (5.6 inches),,,,,,,,1286 mm (50.6 inches),,,,,,Electric,200.0 kg (440.9 pounds),,,,,,,,,,,,,,,,,,,,,,,
Sym HD 125,2004,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,10.5:1,57.0 x 48.8 mm (2.2 x 1.9 inches),,Liquid,,,,100/80-16 ,120/80-16 ,Single disc,130 mm (5.1 inches),Single disc,125.0 kg (275.6 pounds),,2064 mm (81.3 inches),,1385 mm (54.5 inches),8.30 litres (2.19 US gallons),Red,,11.4 HP (8.3  kW)),4,,,Pipe under bone,,,,,0.0912 HP/kg,706 mm (27.8 inches),,108.0 km/h (67.1 mph),,,,1165 mm (45.9 inches),,,,,,,,"807 mm (31.8 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
TM Racing SMM 530 F Black Dream,2004,Super motard," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",527.7 ccm (32.20 cubic inches),"Single cylinder, four-stroke",,,98.0 x 70.0 mm (3.9 x 2.8 inches),Carburettor,Liquid,5-speed,,,120/70-ZR17 ,150/60-ZR17 ,Single disc,240 mm (9.4 inches),Single disc,,,,,,9.00 litres (2.38 US gallons),Black,Kick start,,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),Cr-Mo steel,Paioli USD 46 (optional Ohlins),,Ohlins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Atlantis,2004,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,10.5:1,40.0 x 39.3 mm (1.6 x 1.5 inches),Carburettor,Air,,,,120/70-17 ,120/70-17 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,1810 mm (71.3 inches),,1265 mm (49.8 inches),7.00 litres (1.85 US gallons),"Yellow,Black, Grey, Light blue, Dark blue",,,,,,,"Hydraulic fork, 25 mm",65 mm (2.6 inches),Linear single absorber,60 mm (2.4 inches),,675 mm (26.6 inches),,,,,,1115 mm (43.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1300 R Hayabusa,2004,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1299.0 ccm (79.26 cubic inches),"In-line four, four-stroke",,11.0:1,81.0 x 63.0 mm (3.2 x 2.5 inches),Injection,Liquid,6-speed,,,120/70-ZR17 ,190/50-ZR17 ,Double disc,,Single disc,217.0 kg (478.4 pounds),"805 mm (31.7 inches) If adjustable, lowest setting.",2140 mm (84.3 inches),,1485 mm (58.5 inches),21.00 litres (5.55 US gallons),"Blue/Silver, Black/Purple",,,4,,Chain   (final drive),,"Inverted telescopic, coil spring, fully adjustable spring preload, 14-way adjustable rebound damping and 13-way adjustable compression damping",,"Link-type, gas/oil damped, fully adjustable spring preload, 22-way adjustable compression  and  rebound damping",,,740 mm (29.1 inches),,,,,,1155 mm (45.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTX 1800 Retro Spoke,2004,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1795.0 ccm (109.53 cubic inches),"V2, four-stroke",,9.0:1,101.0 x 112.0 mm (4.0 x 4.4 inches),Injection,Liquid,5-speed,32.0°,,150/80-17 ,170/80-15 ,Double disc,316 mm (12.4 inches),Single disc,,"693 mm (27.3 inches) If adjustable, lowest setting.",,,1715 mm (67.5 inches),20.06 litres (5.30 US gallons),"Black, Metallic Silver, Candy Orange, Candy Red, Illusion Blue",,,3,Single Overhead Cams (SOHC),Shaft drive (cardan)   (final drive),,45mm inverted fork,130 mm (5.1 inches),Dual shocks with five-position spring-preload adjustability,99 mm (3.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 600,2004,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",,12.5:1,67.0 x 42.5 mm (2.6 x 1.7 inches),Injection,Liquid,6-speed,,,120/70-ZR17 ,180/55-ZR17 ,Double disc,,Single disc,161.0 kg (354.9 pounds),"825 mm (32.5 inches) If adjustable, lowest setting.",2075 mm (81.7 inches),,1390 mm (54.7 inches),17.00 litres (4.49 US gallons),"Blue/White, Yellow, Black",,,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,"Cartridge-type, coil spring, fully adjustable spring preload, rebound and compression damping",,"Link-type, gas/oil damped, fully adjustable spring preload, compression and rebound damping",,,715 mm (28.1 inches),,,,,,1145 mm (45.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
