Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Gearbox,Transmission type,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Oil capacity,Color options,Starter,Cooling system,Dry weight,Electrical,Top speed,Light,Factory warranty,Comments,Engine details,Valves per cylinder,Exhaust system,Power/weight ratio,Seat,Instruments,Carrying capacity,Alternate seat height,Engine oil,Brake fluid,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Modifications compared to previous model,Max RPM,Coolant,Chain size,Chain links,Sprockets,"60-140 km/h (37-87 mph), highest gear",1/4 mile (0.4 km),Battery,Oil filter,Belt teeth,Belt width,Pulley teeth
Suzuki Burgman 125 Street,2020,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",8.7 HP (6.4  kW)) @ 7000 RPM,10.2 Nm (1.0 kgf-m or 7.5 ft.lbs) @ 5000 RPM,11.6:1,52.5 x 57.4 mm (2.1 x 2.3 inches),Injection,Single Overhead Cams (SOHC),CDI,Wet Sump,Automatic,Belt   (final drive),"Dry shoe, automatic, centrifugal type",V-belt,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,"Telescopic, coil sprung, oil damped",92 mm (3.6 inches),"Swingarm type, coilspring, oildamped",83 mm (3.3 inches),90/90-12 ,90/100-10 ,Single disc,,Expanding brake (drum brake),,,"780 mm (30.7 inches) If adjustable, lowest setting.",1140 mm (44.9 inches),1880 mm (74.0 inches),675 mm (26.6 inches),160 mm (6.3 inches),1265 mm (49.8 inches),5.60 litres (1.48 US gallons),,,"Black, White, Gray",Electric & kick,Liquid,108.0 kg (238.1 pounds),,,,,,,,,0.0806 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Fosti F31,2020,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",12.1 HP (8.8  kW)) @ 9000 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 7500 RPM,,,Carburettor,,,,,Chain   (final drive),,,2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Telescopic fork,,Dual shocks,,2.75-18 ,3.25-18 ,Single disc,,Expanding brake (drum brake),,125.0 kg (275.6 pounds),,1090 mm (42.9 inches),2025 mm (79.7 inches),770 mm (30.3 inches),,1180 mm (46.5 inches),15.00 litres (3.96 US gallons),,,Green/black,,,110.0 kg (242.5 pounds),,90.0 km/h (55.9 mph),,,Chinese brand.,,,,0.1097 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Sinnis Terrain 125,2020,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.2 HP (8.2  kW)) @ 9500 RPM,,,,Injection. EFI,,,,5-speed,Chain   (final drive),,,,,,,,,Telescopic forks,,Adjustable Single Monoshock,,100/80-17 ,120/80-17 ,Single disc. Hydraulic. ,,Single disc. Hydraulic. ,,,"780 mm (30.7 inches) If adjustable, lowest setting.",1280 mm (50.4 inches),2090 mm (82.3 inches),865 mm (34.1 inches),,1370 mm (53.9 inches),,,,"Satin Silver, Red",Electric,Air,,,,,,Windscreen,,,,,,Semi-digital,"Saddlebags, top box",,,,,,,,,,,,,,,,,,,,,,
Beta Alp 200,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",,,9.4:1,66.0 x 58.2 mm (2.6 x 2.3 inches),Carburettor. Mikuni BST 31 42AD,Single Overhead Cams (SOHC),Electronic ignition,Forced oil lubrication with oil pumps,,,Wet multi-disc,,,,,Seel Double Cradle,,,Hydraulic Telescopic 37mm,,"Monocross single shock, adjustable preload",,2.75-21 ,4-18 ,Single disc,220 mm (8.7 inches),Single disc,,,"830 mm (32.7 inches) If adjustable, lowest setting.",1107 mm (43.6 inches),2100 mm (82.7 inches),800 mm (31.5 inches),300 mm (11.8 inches),1355 mm (53.3 inches),6.00 litres (1.59 US gallons),,,"Red/Black, White/Red/White",Electric & kick,Air,108.0 kg (238.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Panigale V2,2020,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",955.0 ccm (58.27 cubic inches),"V2, four-stroke",155.0 HP (113.1  kW)) @ 10750 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 9000 RPM,12.5:1,100.0 x 60.8 mm (3.9 x 2.4 inches),Injection. Twin injectors per cylinder. Full ride-by-wire elliptical throttle bodies.,Desmodromic valve control,,,6-speed,Chain   (final drive),Oil bathed,"Chain 525; Front sprocket 15; Rear sprocket 39. Primary drive: Straight cut gears, Ratio 1.77.",5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,Monocoque Aluminium,24.0°,95 mm (3.7 inches),43 mm Showa BPF fork,120 mm (4.7 inches),Fully adjustable Sachs unit. Remote spring preload adjustment. Aluminium single-sided swingarm,130 mm (5.1 inches),120/70-ZR17 ,180/60-ZR17 ,Double disc. ABS. Brembo.,245 mm (9.6 inches),Single disc. ABS. Brembo.,3 spoke W shape forged light alloy. Pirelli Diablo Rosso Corsa II tires.,,"830 mm (32.7 inches) If adjustable, lowest setting.",1105 mm (43.5 inches),2070 mm (81.5 inches),745 mm (29.3 inches),,1436 mm (56.5 inches),17.00 litres (4.49 US gallons),,,"Ducati Red, Artic White Silk",Electric,Liquid,176.0 kg (388.0 pounds),,,LED,24 months unlimited mileage,"Traction control.  Three Riding Modes (Race, Sport, Street).",Superquadro L-Twin,4,2-1-2 system with catalytic converter and 2 lambda probes. Twin stainless steel mufflers with alumimum outer sleeves,0.8807 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Pulsar 150,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.5 ccm (9.12 cubic inches),"Single cylinder, four-stroke",13.8 HP (10.1  kW)) @ 8500 RPM,13.3 Nm (1.4 kgf-m or 9.8 ft.lbs) @ 6500 RPM,,,,,CDI,,,,,,,,,,,,"Telescopic, with anti-friction bush ",130 mm (5.1 inches),Twin shocks,,80/100-17 ,100/90-17 ,Single disc. ABS. ,130 mm (5.1 inches),Expanding brake (drum brake),,148.0 kg (326.3 pounds),,1060 mm (41.7 inches),2056 mm (80.9 inches),765 mm (30.1 inches),165 mm (6.5 inches),1320 mm (52.0 inches),15.00 litres (3.96 US gallons),,,"Black/Red, Black/Grey",Electric,Air,,,,,,Sold in India.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZ450F,2020,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,,13.0:1,97.0 x 60.9 mm (3.8 x 2.4 inches),"Injection. Mikuni® fuel injection, 44mm",Double Overhead Cams/Twin Cam (DOHC),TCI: Transistor Controlled Ignition,Wet sump,5-speed,Chain   (final drive),Multiplate wet clutch,,,,,Bilateral beam frame,27.3°,119 mm (4.7 inches),"KYB Speed-Sensitive System, inverted fork: fully adjustable",310 mm (12.2 inches),KYB® single shock; fully adjustable,318 mm (12.5 inches),80/100-21 ,120/80-19 ,Single disc. Hydraulic. ,240 mm (9.4 inches),Single disc. Hydraulic. ,Dunlop® MX33® tyres,111.1 kg (245.0 pounds),"965 mm (38.0 inches) If adjustable, lowest setting.",1275 mm (50.2 inches),2184 mm (86.0 inches),826 mm (32.5 inches),330 mm (13.0 inches),1486 mm (58.5 inches),6.06 litres (1.60 US gallons),,,"Team Yamaha Blue, Gray",Electric,Liquid,,,,,30 Day (Limited Factory Warranty),,Titanium-valves,4,,,"Long, two-tone, motocross-style seat",,,,,,,,,,,,,,,,,,,,,,,,
KTM 150 EXC TPI,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,143.7 ccm (8.77 cubic inches),"Single cylinder, two-stroke",,,,58.0 x 54.5 mm (2.3 x 2.1 inches),Injection,,,,6-speed,Chain   (final drive),"Multi-plate clutch, Brembo hydraulics",14:50. Primary drive: 23:73.,2.62 litres/100 km (38.2 km/l or 89.78 mpg),60.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Central double-cradle-type 25CrMo4 steel,26.5°,,WP XPlor 48 upside-down fork,300 mm (11.8 inches),WP Xplor PDS shock absorber,310 mm (12.2 inches),,,Single disc. Brembo twin-piston floating calliper,220 mm (8.7 inches),Single disc. Brembo single-piston floating calliper,,,"960 mm (37.8 inches) If adjustable, lowest setting.",,,,370 mm (14.6 inches),1471 mm (57.9 inches),9.00 litres (2.38 US gallons),,,Orange/white,Electric,Liquid,96.8 kg (213.4 pounds),,,,,,Reed intake. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yadea G5,2020,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",,Electric,3.1 HP (2.2  kW)),,,,,,,,Automatic,,,,,,,Cold-rolled steeless frame,,,Telescopic fork,,Dual spring aluminium shocks,,90/90-12 ,100/80-12 ,"Single disc. Hydraulic, 220 mm",,"Single disc. Hydraulic, 220 mm",,,,1150 mm (45.3 inches),1810 mm (71.3 inches),700 mm (27.6 inches),,1270 mm (50.0 inches),,,,"White, grey, black, blue, red",Electric,Air,85.0 kg (187.4 pounds),,55.0 km/h (34.2 mph),,,60V 26AH Panasonic Lithium battery. Range 55-65 km. Made in China.,Hub motor,,,0.0362 HP/kg,,LED screen,,,,,,,,,,,,,,,,,,,,,,,
Yamaha MT-10,2020,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",160.4 HP (117.1  kW)) @ 11500 RPM,111.0 Nm (11.3 kgf-m or 81.9 ft.lbs) @ 9000 RPM,12.0:1,79.0 x 50.9 mm (3.1 x 2.0 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),TCI,Wet sump,6-speed,Chain   (final drive),Multiplate assist and slipper clutch,,8.00 litres/100 km (12.5 km/l or 29.40 mpg),185.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Aluminium Deltabox,24.0°,102 mm (4.0 inches),"43mm KYB® inverted fork, fully adjustable",119 mm (4.7 inches),"KYB® piggyback shock, fully adjustable",119 mm (4.7 inches),120/70-ZR17 ,190/55-ZR17 ,Double disc. ABS. Hydraulic. ,220 mm (8.7 inches),Single disc. ABS. Hydraulic. ,,210.0 kg (463.0 pounds),"815 mm (32.1 inches) If adjustable, lowest setting.",1110 mm (43.7 inches),2095 mm (82.5 inches),800 mm (31.5 inches),130 mm (5.1 inches),1400 mm (55.1 inches),17.00 litres (4.49 US gallons),,3.90 litres (4.12 US quarts),"Ice Fluo, Matte Raven Black",Electric,Liquid,,,,,1 Year Limited Factory Warranty,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niu MQi,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,1.6 HP (1.2  kW)),,,,,,,,1-speed,,,,,,,Underbone,,,Hydraulic telescopic fork,,Dual hydraulic shocks. Titanium-Aluminum Alloy Swing-Arm.,,,,Double disc. Dual-Piston Hydraulic. CBS.,180 mm (7.1 inches),Single disc,,,,,,,,,,,,"White, red, black, blue, grey",Electric,Air,,,25.0 km/h (15.5 mph),LED headlight,,42Ah lithium-ion battery.  Range 100 km. Two Driving Modes. Cruise Control. Chinese brand.,Bosch motor,,,,,LCD Dashboard,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja ZX-10R SE,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",200.0 HP (146.0  kW)) @ 13000 RPM,113.5 Nm (11.6 kgf-m or 83.7 ft.lbs) @ 11600 RPM,13.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),"Injection. DFI® with 47mm Mikuni throttle bodies (4) with oval sub-throttles, two injectors per cylinder",Double Overhead Cams/Twin Cam (DOHC),TCBI with digital advance and Sport-Kawasaki Traction Control (S-KTRC),"Forced lubrication, wet sump with oil cooler",6-speed,Chain   (final drive),"Wet multi-disc, manual",Sealed chain,5.90 litres/100 km (16.9 km/l or 39.87 mpg),136.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Aluminum perimeter,25.0°,107 mm (4.2 inches),"43mm inverted Balance Free Fork, adjustable stepless rebound and compression damping, spring preload adjustability",119 mm (4.7 inches),Horizontal Back-link with gas-charged shock and top-out spring. Compression damping,114 mm (4.5 inches),120/70-ZR17 ,190/55-ZR17 ,Double disc. Floating discs. Optional ABS.,220 mm (8.7 inches),Single disc. Optional ABS.,,206.0 kg (454.2 pounds),"835 mm (32.9 inches) If adjustable, lowest setting.",1145 mm (45.1 inches),2090 mm (82.3 inches),740 mm (29.1 inches),145 mm (5.7 inches),1440 mm (56.7 inches),17.00 litres (4.49 US gallons),,,Lime Green/Ebony/Yellow/Orange,Electric,Liquid,,,,,,"Special edition. Kawasaki Launch Control Mode (KLCM), Kawasaki Intelligent anti-lock Brake System (KIBS), Kawasaki Sport Traction Control (S-KTRC), Kawasaki Engine Braking Control, Kawasaki Quick Shifter (KQS) (upshift only), Kawasaki Corner Management Function (KCMF).",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 250 ST Factory,2020,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.7 ccm (15.24 cubic inches),"Single cylinder, two-stroke",,,,72.8 x 60.0 mm (2.9 x 2.4 inches),Carburettor,,Digital,,,Chain   (final drive),,,,,,Tubular section Chrome-moly,,,"Aluminum Tech fork Ø 39 mm (1.54 in), 165 mm (6.50 in) travel with 2 settings",165 mm (6.5 inches),Progressive link system with single adjustable shock absorber ,175 mm (6.9 inches),,,Single disc,145 mm (5.7 inches),Single disc,,,"685 mm (27.0 inches) If adjustable, lowest setting.",,,,310 mm (12.2 inches),1322 mm (52.0 inches),2.40 litres (0.63 US gallons),,,Blue/White/Green,Electric,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Dorsoduro 900,2020,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,896.1 ccm (54.68 cubic inches),"V2, four-stroke",95.2 HP (69.5  kW)) @ 8750 RPM,90.0 Nm (9.2 kgf-m or 66.4 ft.lbs) @ 6500 RPM,11.0:1,92.0 x 67.4 mm (3.6 x 2.7 inches),Injection. Integrated engine management system. Electronic fuel injection with ride-by-wire electronic throttle control.,Double Overhead Cams/Twin Cam (DOHC),"Digital electronic, integrated in the fuel injection system.",Wet sump,6-speed,Chain   (final drive),Hydraulically operated multi-plate wet clutch.,Primary drive: Spur gears. Transmission ratio 38/71 (1.87).  Final drive: Chain. Transmission ratio 16/46. ,,,,Modular tubular steel frame fastened to aluminium side plates by high strength bolts. Removable rear subframe. ,26.0°,108 mm (4.3 inches),Upside-down fork. Spring preload and hydraulic  rebound adjustable. ,160 mm (6.3 inches),Aluminium alloy swingarm. Hydraulic Sachs monoshock  absorber. Spring preload and hydraulic rebound adjustable. ,160 mm (6.3 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. ABS.Stainless steel wave floating wave disc. 4-piston.,240 mm (9.4 inches),Single disc. ABS. Four-piston radial calipers..,Aluminium alloy rims.,,"870 mm (34.3 inches) If adjustable, lowest setting.",1185 mm (46.7 inches),2210 mm (87.0 inches),905 mm (35.6 inches),108 mm (4.3 inches),1515 mm (59.6 inches),12.00 litres (3.17 US gallons),,,"Adrenalinoc Silver, Exciting dark",Electric,Liquid,186.0 kg (410.1 pounds),,,,1-year unlimited-mileage warranty.,,V90 longitudinal 90° V twin.,4,Stainless steel 2-in-1 exhaust system with three-way catalytic converter and oxygen sensor,0.5118 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Horex VR6 Classic,2020,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1218.0 ccm (74.32 cubic inches),"V6, four-stroke",161.0 HP (117.5  kW)),128.0 Nm (13.1 kgf-m or 94.4 ft.lbs),12.5:1,68.0 x 55.0 mm (2.7 x 2.2 inches),Turbo,,,,6-speed,Chain   (final drive),"Multi-disc oil bath clutch, operated hydraulically. 1:2.47 ratio.",Chain with permanent solid lubrication,,,,Aluminum bridge frame with steel steering head,24.0°,95 mm (3.7 inches),"Öhlins upside-down fork (Ø 43 mm) with adjustable spring preload, compression and rebound damping",120 mm (4.7 inches),"Öhlins TTX36 GP suspension struts with adjustable spring base, rebound and compression damping and built-in hydraulic spring preload adjustment",120 mm (4.7 inches),120/70-ZR17 ,190/55-ZR17 ,Double disc. Bosch ABS. Brembo radial 4-piston calipers.,264 mm (10.4 inches),Single disc. Bosch ABS. Brembo 2-piston caliper,Alluminium spoke wheels,,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,1475 mm (58.1 inches),17.00 litres (4.49 US gallons),4.00 litres (1.06 US gallons),,"Red, black",Electric,Liquid,224.0 kg (493.8 pounds),Lithium-ion battery,,"LED front headlamp, tail lights and indicators",,German brand. ,VR6 with only 15 degree V-angle mirrored cylinder offset. Triple overhead cam.,3,Performance stainless steel exhaust system with CAT box centre silencer unit and two stainless steel rear silencers,0.7188 HP/kg,"Two-person seat, genuine leather",,,"840 mm (33.1 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,
Indian Scout Sixty ABS,2020,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.0 ccm (60.96 cubic inches),"V2, four-stroke",78.0 HP (56.9  kW)),88.8 Nm (9.1 kgf-m or 65.5 ft.lbs) @ 5800 RPM,11.0:1,93.0 x 73.0 mm (3.7 x 2.9 inches),Injection. Closed Loop Sequential Port Fuel Injection,,,,6-speed,Belt   (final drive),Wet,,,,,,29.0°,120 mm (4.7 inches),Telescopic fork,120 mm (4.7 inches),Dual shock,76 mm (3.0 inches),130/90-16 ,150/80-16 ,Single disc. ABS. Two-piston calipers. ,298 mm (11.7 inches),Single disc. Optional ABS. Single-piston caliper. ,,254.0 kg (560.0 pounds),"650 mm (25.6 inches) If adjustable, lowest setting.",1068 mm (42.0 inches),2321 mm (91.4 inches),916 mm (36.1 inches),145 mm (5.7 inches),1576 mm (62.0 inches),12.50 litres (3.30 US gallons),,,"Thunder Black, Burgundy Metallic, Pearl White/Titanium Metallic",Electric,Liquid,245.0 kg (540.1 pounds),,,"Headlight, tail/brake light, turn signals, license plate light, and speedometer and indicator lights",2 year unlimited milage,,,,Split dual exhaust with crossover,0.3184 HP/kg,Leather,"Digital tachometer, odometer, trip meter, engine temp, and low fuel lamp",,,,,,,,,,,,,,,,,,,,,,,
Italika Vitala 150,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",8.4 HP (6.1  kW)) @ 7500 RPM,8.6 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 5500 RPM,,,,,CDI,,,Belt   (final drive),,,,,,,,,Telescopic ,,Swingarm with single shock absorber ,,120/70-12 ,120/70-12 ,Single disc,,Expanding brake (drum brake),,,"780 mm (30.7 inches) If adjustable, lowest setting.",1160 mm (45.7 inches),1919 mm (75.6 inches),655 mm (25.8 inches),,,5.00 litres (1.32 US gallons),,,Turcise/White,Electric & kick,Air,97.0 kg (213.8 pounds),,86.0 km/h (53.4 mph),,,,,,,0.0866 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z1000R Edition,2020,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1043.0 ccm (63.64 cubic inches),"In-line four, four-stroke",142.0 HP (103.6  kW)) @ 10000 RPM,111.0 Nm (11.3 kgf-m or 81.9 ft.lbs) @ 7300 RPM,11.8:1,77.0 x 56.0 mm (3.0 x 2.2 inches),Injection. Ø38 mm x 4 (Keihin) with oval sub-throttles,Double Overhead Cams/Twin Cam (DOHC),Digital,"Forced lubrication, wet sump",6-speed,Chain   (final drive),"Wet multi-disc, manual",Sealed chain,5.80 litres/100 km (17.2 km/l or 40.56 mpg),134.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Twin-tube, aluminium",24.5°,104 mm (4.1 inches),"41 mm inverted fork with top-out springs, stepless compression and rebound damping and spring preload adjustability",120 mm (4.7 inches),"Horizontal Back-link, Öhlins S46DR1S gas-charged shock with rebound damping and remote preload adjustability.",131 mm (5.2 inches),120/70-ZR17 ,190/50-ZR17 ,Double disc. Dual semi-floating 310mm petal discs ,250 mm (9.8 inches),"Single disc. Single 250mm petal disc, Caliper:Single-piston",,221.0 kg (487.2 pounds),"815 mm (32.1 inches) If adjustable, lowest setting.",1055 mm (41.5 inches),2045 mm (80.5 inches),790 mm (31.1 inches),125 mm (4.9 inches),1435 mm (56.5 inches),17.00 litres (4.49 US gallons),,,Metallic Spark Black/Pearl Storm Grey/Emerald Blazing Green,Electric,Liquid,,,,LED headlight,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brixton Crossfire 125 XS,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.8 ccm (7.62 cubic inches),"Single cylinder, four-stroke",11.1 HP (8.1  kW)) @ 9000 RPM,,,,Injection,,ECU,,,Chain   (final drive),,,2.70 litres/100 km (37.0 km/l or 87.12 mpg),62.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Telescopic fork,,Dual shocks,,,,Single disc,,Single disc,,,,,2020 mm (79.5 inches),,,,,,,"Green, orange, grey",Electric,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veloci Argent X4 125,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,120.0 ccm (7.32 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 8000 RPM,,,,,,CDI,,,,Wet Multiplate,,,,,,,,,,,,2.50-17 ,2.75-17 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,1140 mm (44.9 inches),1980 mm (78.0 inches),710 mm (28.0 inches),,,3.80 litres (1.00 US gallons),,,Silver,Electric & kick,Air,,,95.0 km/h (59.0 mph),,,Mexican brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XSR900,2020,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",847.0 ccm (51.68 cubic inches),"In-line three, four-stroke",113.5 HP (82.8  kW)) @ 10000 RPM,87.5 Nm (8.9 kgf-m or 64.5 ft.lbs) @ 8500 RPM,11.5:1,78.0 x 59.1 mm (3.1 x 2.3 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),TCI,Wet sump,6-speed,Chain   (final drive),Multiplate assist-and-slipper wet clutch,,5.20 litres/100 km (19.2 km/l or 45.23 mpg),120.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,EU4 compliant,Diamond,25.0°,103 mm (4.1 inches),Telescopic forks,137 mm (5.4 inches),"Single shock, adjustable preload and rebound damping",130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. ABS. Hydraulic. ,245 mm (9.6 inches),Single disc. ABS. Hydraulic. ,,195.0 kg (430.0 pounds),"830 mm (32.7 inches) If adjustable, lowest setting.",1135 mm (44.7 inches),2075 mm (81.7 inches),815 mm (32.1 inches),135 mm (5.3 inches),1440 mm (56.7 inches),14.00 litres (3.70 US gallons),,3.40 litres (3.59 US quarts),"Dynamic White, Grange Metal, Black",Electric,Liquid,,,,,,Traction Control.,Crossplane crankshaft,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJP PR4 Enduro Pro 125,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.6 HP (9.2  kW)) @ 9000 RPM,8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 8000 RPM,,56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor. 30mm,Single Overhead Cams (SOHC),,,5-speed,Chain   (final drive),"Oil bath, multidisc",,,,,Composite aluminum/steel,,,"Marzocchi 40mm, multi-adjustable",260 mm (10.2 inches),ZF Sachs progressive system,300 mm (11.8 inches),90/90-21 ,120/80-18 ,Single disc. 2-piston caliper,220 mm (8.7 inches),Single disc. Single-piston caliper,,112.0 kg (246.9 pounds),"920 mm (36.2 inches) If adjustable, lowest setting.",,,,365 mm (14.4 inches),1360 mm (53.5 inches),7.00 litres (1.85 US gallons),,,White/red/black,Electric,Air,,,,,,Portuguese brand.,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda SH150i,2020,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",153.0 ccm (9.34 cubic inches),"Single cylinder, four-stroke",14.7 HP (10.7  kW)) @ 7750 RPM,14.0 Nm (1.4 kgf-m or 10.3 ft.lbs) @ 6250 RPM,10.6:1,57.3 x 57.9 mm (2.3 x 2.3 inches),Injection. Programmed Fuel Injection (PGM-FI) ,Overhead Cams (OHC),,,Automatic,Belt   (final drive),,,2.58 litres/100 km (38.8 km/l or 91.17 mpg),59.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Underbone, steel tube",26.0°,85 mm (3.3 inches),Telescopic fork,100 mm (3.9 inches),Swingarm with dual hydraulic shocks,95 mm (3.7 inches),100/80-16 ,120/80-16 ,Single disc,240 mm (9.4 inches),Single disc,,137.3 kg (302.7 pounds),"799 mm (31.5 inches) If adjustable, lowest setting.",1158 mm (45.6 inches),2026 mm (79.8 inches),740 mm (29.1 inches),144 mm (5.7 inches),1340 mm (52.8 inches),7.50 litres (1.98 US gallons),,0.90 litres (0.95 US quarts),"Pearl Red, Dark Blue",Electric,Liquid,129.0 kg (284.4 pounds),,,LED,,,,,,0.1140 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Herald Brat 125,2020,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.9 HP (7.2  kW)),,,,Carburettor,,,,6-speed,Chain   (final drive),,,,,,Steel,,,USD telescopic fork,,Monoshock,,,,Single disc,,Single disc,Wire spoked,,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,10.00 litres (2.64 US gallons),,,"Green, grey, yellow",Electric,Air,147.0 kg (324.1 pounds),,112.0 km/h (69.6 mph),LED headlight,,UK brand.,,,Stainless steel,0.0673 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
