Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Max RPM,Fuel system,Ignition,Lubrication system,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Dry weight,Seat height,Overall height,Overall length,Overall width,Ground clearance,Color options,Starter,Torque,Clutch,Rake (fork angle),Trail,Power/weight ratio,Fuel consumption,Greenhouse gases,Exhaust system,Comments,Wheelbase,Seat,Instruments,Reserve fuel capacity,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Modifications compared to previous model,Oil capacity,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size
Yamaha XT 600 Z Ténéré,1989,Trial," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,148.0 km/h (92.0 mph),8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-18 ,Single disc,Single disc,186.0 kg (410.1 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXRT 1340 Sport Glide (reduced effect),1989,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 5000 RPM,,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MM 90-19 ,MT 90-16 ,Dual disc,Single disc,310.0 kg (683.4 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XRV 650 Africa Twin Marathon,1989,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",51.0 HP (37.2  kW)) @ 8000 RPM,163.0 km/h (101.3 mph),9.0:1,79.0 x 66.0 mm (3.1 x 2.6 inches),,,,5-speed,Chain   (final drive),90/90-21 ,130/90-17 ,Single disc,Single disc,255.0 kg (562.2 pounds),25.00 litres (6.61 US gallons),,Carburettor. Keihin Seiki VDF8A,,,,,,,,,,,,2335 mm (91.9 inches),,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 600 F (reduced effect),1989,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 10000 RPM,180.0 km/h (111.8 mph),11.3:1,62.6 x 48.7 mm (2.5 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/80-17 ,140/80-17 ,Dual disc,Single disc,223.0 kg (491.6 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet Superstar,1989,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5620 RPM,120.0 km/h (74.6 mph),6.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.50-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TDR 250,1989,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Twin, two-stroke",50.0 HP (36.5  kW)) @ 10000 RPM,161.0 km/h (100.0 mph),5.9:1,56.4 x 50.0 mm (2.2 x 2.0 inches),,Membrane & power valve,Liquid,6-speed,Chain   (final drive),100/90-18 ,120/80-17 ,Single disc,Single disc,153.0 kg (337.3 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 250 Virago (reduced effect),1989,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,111.0 km/h (69.0 mph),10.0:1,49.0 x 66.0 mm (1.9 x 2.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,130/90-15 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Enduro 600 Rallye,1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,553.0 ccm (33.74 cubic inches),"Single cylinder, four-stroke",49.0 HP (35.8  kW)) @ 7000 RPM,162.0 km/h (100.7 mph),10.0:1,95.0 x 78.0 mm (3.7 x 3.1 inches),4,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Single disc,Single disc,148.0 kg (326.3 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 1100 (reduced effect),1989,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1127.0 ccm (68.77 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8500 RPM,235.0 km/h (146.0 mph),10.0:1,78.0 x 59.0 mm (3.1 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/70-17 ,160/60-17 ,Dual disc,Single disc,243.0 kg (535.7 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX 250 (reduced effect),1989,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,118.0 km/h (73.3 mph),11.0:1,70.0 x 64.8 mm (2.8 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-19 ,120/90-16 ,Single disc,Expanding brake,133.0 kg (293.2 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN-15 SE (reduced effect #2),1989,Super motard," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 3300 RPM,120.0 km/h (74.6 mph),9.0:1,102.0 x 90.0 mm (4.0 x 3.5 inches),4,Overhead Cams (OHC),Liquid,4-speed,Shaft drive (cardan)   (final drive),100/90-19 ,150/90-15 ,Single disc,Single disc,281.0 kg (619.5 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500 S,1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6200 RPM,134.0 km/h (83.3 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Single disc,Expanding brake,167.0 kg (368.2 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTC 1340 Heritage Softail Classic (reduced effect),1989,Touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 5000 RPM,,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT 90-16 ,MT 90-16 ,Single disc,Single disc,298.0 kg (657.0 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RGV 250 Gamma,1989,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, two-stroke",58.0 HP (42.3  kW)) @ 11000 RPM,194.0 km/h (120.5 mph),7.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),110/70-17 ,140/60-18 ,Dual disc,Single disc,159.0 kg (350.5 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 350 (reduced effect),1989,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,116.0 km/h (72.1 mph),9.0:1,86.0 x 59.6 mm (3.4 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-21 ,110/80-18 ,Single disc,Expanding brake,150.0 kg (330.7 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 305 Belt Drive (reduced effect),1989,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,306.0 ccm (18.67 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 10000 RPM,140.0 km/h (87.0 mph),9.7:1,61.0 x 52.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Belt   (final drive),90/90-18 ,110/80-18 ,Dual disc,Expanding brake,164.0 kg (361.6 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 600 R Dakar,1989,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",590.0 ccm (36.00 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 6800 RPM,156.0 km/h (96.9 mph),9.5:1,94.0 x 85.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,161.0 kg (354.9 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Climber,1989,Trial," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",276.0 ccm (16.84 cubic inches),"Single cylinder, two-stroke",,,,,,,Liquid,6-speed,Chain   (final drive),,,Single disc,Single disc,,,,Carburettor,,,,Upside Down Forks,,Monoshock,,,,,,,,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 600 E (reduced effect),1989,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",564.0 ccm (34.42 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,122.0 km/h (75.8 mph),9.6:1,96.0 x 78.0 mm (3.8 x 3.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,163.0 kg (359.4 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Tuareg 6.35 Wind,1989,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,129.0 km/h (80.2 mph),9.6:1,79.5 x 70.4 mm (3.1 x 2.8 inches),4,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,191.0 kg (421.1 pounds),30.00 litres (7.93 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 F (reduced effect),1989,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1127.0 ccm (68.77 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,233.0 km/h (144.8 mph),10.0:1,78.0 x 59.0 mm (3.1 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/80-16 ,150/80-16 ,Dual disc,Single disc,273.0 kg (601.9 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 600 F (reduced effect #2),1989,Speedway," 2.4  See the detailed rating of engine performance, racing track capabilities, maintenance costs, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 8200 RPM,150.0 km/h (93.2 mph),11.3:1,62.6 x 48.7 mm (2.5 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/80-17 ,140/80-17 ,Dual disc,Single disc,223.0 kg (491.6 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KV 175 AG,1989,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,,,,,,Air,5-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,10.00 litres (2.64 US gallons),,Carburettor,Electric,,,,,,,,,,,,,,Red,Kick,,,,,,,,,,,Single,"Speedo, Turn, High Beam, Neutral, Oil",,,,,,,,,,,,,,
Honda NTV 650 Revere,1989,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 7500 RPM,,9.2:1,79.0 x 66.0 mm (3.1 x 2.6 inches),3,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/80-17 ,150/70-17 ,Single disc,Single disc,208.0 kg (458.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-10 (reduced effect),1989,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8800 RPM,231.0 km/h (143.5 mph),11.0:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,261.0 kg (575.4 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXR 1340 Super Glide (reduced effect),1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1337.0 ccm (81.58 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 5000 RPM,,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,276.0 kg (608.5 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 250 Virago,1989,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",22.0 HP (16.1  kW)) @ 8000 RPM,121.0 km/h (75.2 mph),10.0:1,49.0 x 66.0 mm (1.9 x 2.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,130/90-15 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 450 LTD,1989,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",454.0 ccm (27.70 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 9500 RPM,162.0 km/h (100.7 mph),10.7:1,72.5 x 55.0 mm (2.9 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Belt   (final drive),100/90-19 ,140/90-15 ,Single disc,Expanding brake,199.0 kg (438.7 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 900 R,1989,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",908.0 ccm (55.41 cubic inches),"In-line four, four-stroke",115.0 HP (83.9  kW)) @ 9500 RPM,,11.0:1,72.5 x 55.0 mm (2.9 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,257.0 kg (566.6 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha LB 70 Chappy,1989,Scooter," 2.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",65.0 ccm (3.97 cubic inches),"Single cylinder, two-stroke",4.8 HP (3.5  kW)) @ 6000 RPM,72.4 km/h (45.0 mph),5.8:1,47.0 x 42.0 mm (1.9 x 1.7 inches),2,Membrane,Air,Automatic,Chain   (final drive),4.00-8-4PR ,4.00-8-4PR ,Expanding brake (drum brake),Expanding brake (drum brake),,3.50 litres (0.92 US gallons),6000,Carburettor. Mikuni,mechanical,Autolube,CrMo steel,standard forks,,monoshock,,,73.0 kg (160.9 pounds),"710 mm (28.0 inches) If adjustable, lowest setting.",925 mm (36.4 inches),1565 mm (61.6 inches),665 mm (26.2 inches),135 mm (5.3 inches),yellow,Kick,5.9 Nm (0.6 kgf-m or 4.4 ft.lbs) @ 4000 RPM,automatic constant mesh,,,0.0658 HP/kg,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,single pipe with catalyzer,Real nice mini chopper,1050 mm (41.3 inches),,,1.00 litres (0.26 US gallons),,,,,,,,,,,,,
Yamaha XV 750 WC Virago,1989,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,185.0 km/h (115.0 mph),9.0:1,,2,,Air,5-speed,Shaft drive (cardan)   (final drive),,,Double disc,Expanding brake (drum brake),,13.00 litres (3.43 US gallons),7000,Carburettor. Mikuni 40mm,TCI,Wet sump,CrMo steel,,,,,,211.0 kg (465.2 pounds),,,,,,,Electric,58.8 Nm (6.0 kgf-m or 43.4 ft.lbs) @ 6000 RPM,Wet plate,,,0.2607 HP/kg,6.00 litres/100 km (16.7 km/l or 39.20 mpg),139.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Muffler with double stainless steel pipes,,,,,3.00 litres (0.79 US gallons),,,,,,,,,,,,,
Enfield 350 Bullet,1989,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5620 RPM,110.0 km/h (68.4 mph),6.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.25-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 750 R,1989,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",120.0 HP (87.6  kW)) @ 11000 RPM,,10.9:1,70.0 x 48.7 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),130/60-17 ,170/60-17 ,Dual disc,Single disc,224.0 kg (493.8 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia AF1 125 Sintesi Replica,1989,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 10000 RPM,153.0 km/h (95.1 mph),15.0:1,54.0 x 54.5 mm (2.1 x 2.1 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),100/80-17 ,120/80-17 ,Single disc,Single disc,141.0 kg (310.9 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 750 R - RC 30,1989,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",112.0 HP (81.8  kW)) @ 11000 RPM,,11.0:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,170/60-18 ,Dual disc,Single disc,210.0 kg (463.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHTC 1340 Electra Glide Classic,1989,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 5000 RPM,150.0 km/h (93.2 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,350.0 kg (771.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN-15 SE (reduced effect),1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1470.0 ccm (89.70 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 4000 RPM,155.0 km/h (96.3 mph),9.0:1,102.0 x 90.0 mm (4.0 x 3.5 inches),4,Overhead Cams (OHC),Liquid,4-speed,Shaft drive (cardan)   (final drive),100/90-19 ,150/90-15 ,Single disc,Single disc,281.0 kg (619.5 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 600 SFC,1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,571.0 ccm (34.84 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,185.0 km/h (115.0 mph),10.4:1,76.0 x 63.0 mm (3.0 x 2.5 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/90-18 ,150/70-18 ,Dual disc,Single disc,160.0 kg (352.7 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 305 Belt Drive (reduced effect #2),1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,306.0 ccm (18.67 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,125.0 km/h (77.7 mph),9.7:1,61.0 x 52.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Belt   (final drive),90/90-18 ,110/80-18 ,Dual disc,Expanding brake,164.0 kg (361.6 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPX 600 (ZX600C2),1989,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",85.0 HP (62.0  kW)) @ 11000 RPM,,11.0:1,,4,Double Overhead Cams/Twin Cam (DOHC),,6-speed,Chain   (final drive),110/80-16 ,130/90-16 ,Double disc. 2-piston calipers,Single disc. 2-piston calipers,,16.00 litres (4.23 US gallons),11000,Carburettor. Keihin CVK 32,Digital,,,38mm forks with ESCS,,,,240 mm (9.4 inches),180.0 kg (396.8 pounds),"755 mm (29.7 inches) If adjustable, lowest setting.",,,,,,Electric,58.0 Nm (5.9 kgf-m or 42.8 ft.lbs) @ 9000 RPM,Wet plate,23.0°,91 mm (3.6 inches),0.4722 HP/kg,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double pipes,,1425 mm (56.1 inches),,,4.00 litres (1.06 US gallons),3.00 seconds,11.00 seconds,,,,,,,,,,,
Honda XRV 650 Africa Twin,1989,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 7000 RPM,168.0 km/h (104.4 mph),9.4:1,79.0 x 66.0 mm (3.1 x 2.6 inches),3,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/90-17 ,Single disc,Single disc,220.0 kg (485.0 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75,1989,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,200.0 km/h (124.3 mph),11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Expanding brake,236.0 kg (520.3 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
