Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Torque,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Compression,Bore x stroke,Fuel consumption,Greenhouse gases,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Front percentage of weight,Seat height,Starter,Comments,Valves per cylinder,Fuel system,Alternate seat height,Fuel control,Ignition,Rake (fork angle),Trail,Front suspension,Rear suspension,Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Frame type,Color options,Lubrication system,Clutch,Driveline,Overall length,Ground clearance,Electrical,Chain links,Sprockets,Max RPM,Overall height,Overall width,Reserve fuel capacity,Exhaust system,Modifications compared to previous model,1/4 mile (0.4 km),Engine details,Emission details,Carrying capacity,Rear percentage of weight,Wheels,Oil filter,Battery,Belt teeth,Belt width,Pulley teeth
Aprilia ETX 125,1999,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",12.2 HP (8.9  kW)) @ 6750 RPM,98.0 km/h (60.9 mph),Liquid,6-speed,Chain   (final drive),Single disc,Single disc,,,1465 mm (57.7 inches),10.00 litres (2.64 US gallons),,,,,54.0 x 54.5 mm (2.1 x 2.1 inches),6.10 litres/100 km (16.4 km/l or 38.56 mpg),141.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,267 mm (10.5 inches),290 mm (11.4 inches),,,220 mm (8.7 inches),130.0 kg (286.6 pounds),44.6,"890 mm (35.0 inches) If adjustable, lowest setting.",Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Standard,1999,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1340.0 ccm (81.77 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 5000 RPM,150.0 km/h (93.2 mph),Air,5-speed,Belt   (final drive),,,271.0 kg (597.5 pounds),0.2066 HP/kg,1690 mm (66.5 inches),19.70 litres (5.20 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-7R Ninja,1999,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",122.0 HP (89.1  kW)) @ 11800 RPM,255.0 km/h (158.4 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1420 mm (55.9 inches),18.00 litres (4.76 US gallons),78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 9300 RPM,3.20 seconds,9.20 seconds,11.5:1,73.0 x 44.7 mm (2.9 x 1.8 inches),6.90 litres/100 km (14.5 km/l or 34.09 mpg),160.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),130 mm (5.1 inches),120/70-ZR17 ,190/50-ZR17 ,230 mm (9.1 inches),234.0 kg (515.9 pounds),50.9,"820 mm (32.3 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZR 1100,1999,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",148.0 HP (108.0  kW)) @ 11500 RPM,278.0 km/h (172.7 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1500 mm (59.1 inches),24.00 litres (6.34 US gallons),110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 8500 RPM,3.00 seconds,8.90 seconds,11.0:1,76.0 x 58.0 mm (3.0 x 2.3 inches),6.80 litres/100 km (14.7 km/l or 34.59 mpg),157.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),117 mm (4.6 inches),120/70-ZR17 ,180/55-ZR17 ,250 mm (9.8 inches),270.0 kg (595.2 pounds),48.0,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHTCUI Electra Glide Ultra Classic,1999,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 4900 RPM,152.0 km/h (94.4 mph),Air,5-speed,Belt   (final drive),Dual disc,Single disc,,,1592 mm (62.7 inches),18.90 litres (4.99 US gallons),95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 3000 RPM,9.20 seconds,35.00 seconds,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),6.40 litres/100 km (15.6 km/l or 36.75 mpg),148.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,117 mm (4.6 inches),76 mm (3.0 inches),,,292 mm (11.5 inches),374.0 kg (824.5 pounds),43.3,"695 mm (27.4 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 650,1999,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,160.0 km/h (99.4 mph),Liquid,5-speed,Chain   (final drive),Single disc,Single disc,,,1490 mm (58.7 inches),14.00 litres (3.70 US gallons),47.0 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 5000 RPM,5.60 seconds,17.10 seconds,9.5:1,100.0 x 83.0 mm (3.9 x 3.3 inches),7.10 litres/100 km (14.1 km/l or 33.13 mpg),164.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,220 mm (8.7 inches),200 mm (7.9 inches),90/90-21 ,120/90-17 ,230 mm (9.1 inches),186.0 kg (410.1 pounds),47.8,"870 mm (34.3 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 800 Vulcan,1999,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 7000 RPM,170.0 km/h (105.6 mph),Liquid,5-speed,Chain   (final drive),,,232.0 kg (511.5 pounds),0.2414 HP/kg,1625 mm (64.0 inches),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883,1999,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,155.0 km/h (96.3 mph),Air,5-speed,Belt   (final drive),Single disc,Single disc,230.0 kg (507.1 pounds),0.2174 HP/kg,1524 mm (60.0 inches),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 800 Drifter,1999,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)),150.0 km/h (93.2 mph),Liquid,5-speed,Chain   (final drive),,,298.0 kg (657.0 pounds),0.1913 HP/kg,1615 mm (63.6 inches),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 535 DX Virago De Luxe,1999,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",535.0 ccm (32.65 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 7500 RPM,170.0 km/h (105.6 mph),Air,5-speed,Shaft drive (cardan)   (final drive),Single disc,Expanding brake,190.0 kg (418.9 pounds),0.2211 HP/kg,1445 mm (56.9 inches),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE 610 E,1999,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",577.0 ccm (35.21 cubic inches),"Single cylinder, four-stroke",46.0 HP (33.6  kW)) @ 7100 RPM,160.0 km/h (99.4 mph),Air,6-speed,Chain   (final drive),Single disc,Single disc,,,1500 mm (59.1 inches),9.10 litres (2.40 US gallons),,5.60 seconds,16.80 seconds,9.0:1,98.0 x 76.5 mm (3.9 x 3.0 inches),5.40 litres/100 km (18.5 km/l or 43.56 mpg),125.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,280 mm (11.0 inches),285 mm (11.2 inches),90/90-R21 ,140/80-R18 ,220 mm (8.7 inches),156.0 kg (343.9 pounds),47.0,"890 mm (35.0 inches) If adjustable, lowest setting.",Electric & kick,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 800 Classic,1999,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,170.0 km/h (105.6 mph),Liquid,5-speed,Chain   (final drive),,,234.0 kg (515.9 pounds),0.2350 HP/kg,1600 mm (63.0 inches),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVZ 13 T Royal Star Venture,1999,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1294.0 ccm (78.96 cubic inches),"V4, four-stroke",98.0 HP (71.5  kW)) @ 6000 RPM,,Liquid,5-speed,Shaft drive (cardan)   (final drive),Double disc,Single disc,,,1705 mm (67.1 inches),22.50 litres (5.94 US gallons),123.0 Nm (12.5 kgf-m or 90.7 ft.lbs) @ 4750 RPM,,,,,,,,,150/80-H16 ,150/80-H15 ,298 mm (11.7 inches),390.0 kg (859.8 pounds),,"720 mm (28.3 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHT Electra Glide Standard,1999,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 5400 RPM,150.0 km/h (93.2 mph),Air,5-speed,Belt   (final drive),,,344.0 kg (758.4 pounds),0.1977 HP/kg,1613 mm (63.5 inches),18.90 litres (4.99 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 RT,1999,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",90.0 HP (65.7  kW)) @ 7300 RPM,211.0 km/h (131.1 mph),Oil & air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,,,1485 mm (58.5 inches),26.00 litres (6.87 US gallons),95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 5500 RPM,3.90 seconds,13.70 seconds,10.7:1,99.0 x 70.5 mm (3.9 x 2.8 inches),6.80 litres/100 km (14.7 km/l or 34.59 mpg),157.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),135 mm (5.3 inches),120/70-ZR17 ,160/60-ZR18 ,276 mm (10.9 inches),290.0 kg (639.3 pounds),50.6,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,4,Injection,"820 mm (32.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 1100 XX Super Blackbird,1999,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1137.0 ccm (69.38 cubic inches),"In-line four, four-stroke",150.0 HP (109.5  kW)) @ 9500 RPM,275.0 km/h (170.9 mph),Liquid,6-speed,Chain   (final drive),"DCBS (Dual Combined Break System), dual disc","DCBS (Dual Combined Break System), single disc",,,1490 mm (58.7 inches),22.00 litres (5.81 US gallons),115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 7300 RPM,2.90 seconds,8.10 seconds,11.0:1,79.0 x 58.0 mm (3.1 x 2.3 inches),7.20 litres/100 km (13.9 km/l or 32.67 mpg),167.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),120 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,256 mm (10.1 inches),253.0 kg (557.8 pounds),48.2,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,4,Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZXR 400,1999,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"In-line four, four-stroke",65.0 HP (47.4  kW)) @ 13000 RPM,202.0 km/h (125.5 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1385 mm (54.5 inches),16.00 litres (4.23 US gallons),36.6 Nm (3.7 kgf-m or 27.0 ft.lbs) @ 12000 RPM,5.10 seconds,18.50 seconds,12.1:1,57.0 x 39.0 mm (2.2 x 1.5 inches),6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),120 mm (4.7 inches),120/60-17 ,160/60-17 ,240 mm (9.4 inches),188.5 kg (415.6 pounds),,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VZ 800 Marauder,1999,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",53.0 HP (38.7  kW)) @ 6500 RPM,158.0 km/h (98.2 mph),Liquid,5-speed,Chain   (final drive),Single disc,Expanding break,,,1645 mm (64.8 inches),13.00 litres (3.43 US gallons),65.0 Nm (6.6 kgf-m or 47.9 ft.lbs) @ 5000 RPM,5.30 seconds,12.70 seconds,10.0:1,83.0 x 74.4 mm (3.3 x 2.9 inches),5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,140 mm (5.5 inches),100 mm (3.9 inches),130/90-16 ,150/90-15 ,180 mm (7.1 inches),220.0 kg (485.0 pounds),44.8,"700 mm (27.6 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500,1999,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 6000 RPM,131.0 km/h (81.4 mph),Air,5-speed,Chain   (final drive),Single disc,Expanding brake,,,1405 mm (55.3 inches),14.00 litres (3.70 US gallons),37.0 Nm (3.8 kgf-m or 27.3 ft.lbs) @ 3500 RPM,10.00 seconds,25.00 seconds,8.3:1,87.0 x 84.0 mm (3.4 x 3.3 inches),4.80 litres/100 km (20.8 km/l or 49.00 mpg),111.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,150 mm (5.9 inches),105 mm (4.1 inches),,,,173.0 kg (381.4 pounds),46.1,"810 mm (31.9 inches) If adjustable, lowest setting.",Kick,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati ST4,1999,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",916.0 ccm (55.89 cubic inches),"V2, four-stroke",105.0 HP (76.6  kW)) @ 8500 RPM,243.0 km/h (151.0 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1430 mm (56.3 inches),21.00 litres (5.55 US gallons),83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 6500 RPM,3.20 seconds,11.10 seconds,11.0:1,94.0 x 66.0 mm (3.7 x 2.6 inches),5.90 litres/100 km (16.9 km/l or 39.87 mpg),136.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,130 mm (5.1 inches),148 mm (5.8 inches),120/70-ZR17 ,170/60-ZR17 ,245 mm (9.6 inches),236.5 kg (521.4 pounds),49.9,"820 mm (32.3 inches) If adjustable, lowest setting.",Electric,,4,Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell X1 Lightning,1999,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1199.0 ccm (73.16 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 6200 RPM,216.0 km/h (134.2 mph),Air,5-speed,Belt   (final drive),Single disc,Single disc,,,1410 mm (55.5 inches),17.00 litres (4.49 US gallons),108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 5600 RPM,4.20 seconds,18.50 seconds,10.0:1,88.8 x 96.8 mm (3.5 x 3.8 inches),5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,119 mm (4.7 inches),125 mm (4.9 inches),120/70-ZR17 ,170/60-ZR17 ,240 mm (9.4 inches),221.0 kg (487.2 pounds),50.0,"820 mm (32.3 inches) If adjustable, lowest setting.",Electric,,2,Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati ST2,1999,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",944.0 ccm (57.60 cubic inches),"V2, four-stroke",83.0 HP (60.6  kW)) @ 8500 RPM,217.0 km/h (134.8 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1430 mm (56.3 inches),21.00 litres (5.55 US gallons),83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 6700 RPM,4.20 seconds,11.80 seconds,10.2:1,94.0 x 68.0 mm (3.7 x 2.7 inches),6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,130 mm (5.1 inches),148 mm (5.8 inches),120/70-ZR17 ,170/60-ZR17 ,245 mm (9.6 inches),229.0 kg (504.9 pounds),48.9,"820 mm (32.3 inches) If adjustable, lowest setting.",Electric,,2,Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZH Planeta 5,1999,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",346.0 ccm (21.11 cubic inches),"Single cylinder, two-stroke",22.0 HP (16.1  kW)),120.0 km/h (74.6 mph),Air,4-speed,Chain   (final drive),,,162.0 kg (357.1 pounds),0.1358 HP/kg,,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Sport 1100 Injection,1999,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 7800 RPM,235.0 km/h (146.0 mph),Air,5-speed,Shaft drive (cardan)   (final drive),,,221.0 kg (487.2 pounds),0.4072 HP/kg,1495 mm (58.9 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Leonardo,1999,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,,Liquid,,Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Estrella,1999,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 6500 RPM,121.0 km/h (75.2 mph),Air,5-speed,Chain   (final drive),Single disc,,,,1400 mm (55.1 inches),14.00 litres (3.70 US gallons),21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 6000 RPM,13.90 seconds,18.30 seconds,9.0:1,66.0 x 73.0 mm (2.6 x 2.9 inches),3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),75 mm (3.0 inches),90/90-18 ,110/90-17 ,300 mm (11.8 inches),159.0 kg (350.5 pounds),46.0,"745 mm (29.3 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZR-7,1999,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",738.0 ccm (45.03 cubic inches),"In-line four, four-stroke",75.0 HP (54.7  kW)) @ 7500 RPM,200.0 km/h (124.3 mph),Air,5-speed,Chain   (final drive),,,210.0 kg (463.0 pounds),0.3571 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Moto 6.5,1999,Unspecified category," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 6250 RPM,160.0 km/h (99.4 mph),Liquid,5-speed,Chain   (final drive),Single disc,Single disc,,,1460 mm (57.5 inches),16.00 litres (4.23 US gallons),51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 4500 RPM,5.50 seconds,15.40 seconds,9.0:1,100.0 x 82.7 mm (3.9 x 3.3 inches),6.10 litres/100 km (16.4 km/l or 38.56 mpg),141.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,135 mm (5.3 inches),120 mm (4.7 inches),100/90-18 ,130/90-17 ,220 mm (8.7 inches),182.5 kg (402.3 pounds),46.0,"830 mm (32.7 inches) If adjustable, lowest setting.",Electric,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GZ 250 Marauder,1999,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)),110.0 km/h (68.4 mph),Air,5-speed,Chain   (final drive),Single disc,Expanding brake,135.0 kg (297.6 pounds),0.1481 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Road King,1999,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 5400 RPM,155.0 km/h (96.3 mph),Air,5-speed,Belt   (final drive),,,329.0 kg (725.3 pounds),0.2067 HP/kg,1592 mm (62.7 inches),18.90 litres (4.99 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Quota 1100 ES,1999,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1064.0 ccm (64.93 cubic inches),"V2, four-stroke",69.0 HP (50.4  kW)) @ 6200 RPM,190.0 km/h (118.1 mph),Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,,,1600 mm (63.0 inches),20.00 litres (5.28 US gallons),92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 3800 RPM,4.50 seconds,11.60 seconds,9.5:1,92.0 x 80.0 mm (3.6 x 3.1 inches),7.30 litres/100 km (13.7 km/l or 32.22 mpg),169.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,170 mm (6.7 inches),180 mm (7.1 inches),90/90-21 ,130/80-R17 ,260 mm (10.2 inches),264.0 kg (582.0 pounds),48.1,"820 mm (32.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XRV 750 Africa Twin,1999,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",742.0 ccm (45.28 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 7500 RPM,174.0 km/h (108.1 mph),Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,,,1565 mm (61.6 inches),23.00 litres (6.08 US gallons),62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 6000 RPM,4.60 seconds,12.90 seconds,9.0:1,81.0 x 72.0 mm (3.2 x 2.8 inches),6.10 litres/100 km (16.4 km/l or 38.56 mpg),141.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,220 mm (8.7 inches),210 mm (8.3 inches),90/90-21 ,140/80-17 ,256 mm (10.1 inches),235.5 kg (519.2 pounds),46.8,"870 mm (34.3 inches) If adjustable, lowest setting.",Electric,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPX 600 R,1999,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",593.0 ccm (36.18 cubic inches),"In-line four, four-stroke",73.0 HP (53.3  kW)) @ 10500 RPM,210.0 km/h (130.5 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1425 mm (56.1 inches),18.00 litres (4.76 US gallons),53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 8000 RPM,3.70 seconds,13.30 seconds,11.7:1,60.0 x 52.4 mm (2.4 x 2.1 inches),6.20 litres/100 km (16.1 km/l or 37.94 mpg),143.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,140 mm (5.5 inches),130 mm (5.1 inches),110/80-V16 ,130/90-V16 ,240 mm (9.4 inches),210.0 kg (463.0 pounds),48.6,"760 mm (29.9 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
