Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Seat height,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Color options,Starter,Engine details,Power,Torque,Driveline,Exhaust system,Frame type,Wheels,Dry weight,Power/weight ratio,Comments,Valves per cylinder,Clutch,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Diameter,Reserve fuel capacity,Fuel consumption,Greenhouse gases,"Weight incl. oil, gas, etc",Ground clearance,Factory warranty,Top speed,Seat,Light,Emission details,Electrical,Oil capacity,Instruments,Alternate seat height,Carrying capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Spark plugs,Max RPM,Engine oil,Brake fluid,Coolant,Fork tube size,Idle speed,Tire pressure front,Tire pressure rear,Front percentage of weight,Chain links,Sprockets,Battery
Suzuki Shogun Pro 125,2013,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.6:1,53.5 x 55.2 mm (2.1 x 2.2 inches),Carburettor,Single Overhead Cams (SOHC),CDI Digital,Wet sump,Air,4-speed,Chain   (final drive),Telescopic fork,Swing arm,70/90-17 ,80/90-17 ,Single disc,Single disc,,1220 mm (48.0 inches),1925 mm (75.8 inches),715 mm (28.1 inches),1220 mm (48.0 inches),4.30 litres (1.14 US gallons),"Red/black, grey/black",Electric & kick,,,,,,,,102.0 kg (224.9 pounds),,Sold in the Philippines.,2,Multilayer,,,,,220 mm (8.7 inches),,,,,135 mm (5.3 inches),,,,,,12V 5Ah,,,,,,,,,,,,,,,,,,,
Husqvarna TE250R,2013,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.5 ccm (15.22 cubic inches),"Single cylinder, four-stroke",,79.0 x 50.9 mm (3.1 x 2.0 inches),Injection. Keihin Digital Fuel Injection,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,,Chain   (final drive),48mm Kayaba USD,Kayaba Multi Adjustable Shock with Soft Damp Linkage,90/90-21 ,140/90-18 ,Single disc. Wave disc. ,Single disc. Wave disc. ,"909 mm (35.8 inches) If adjustable, lowest setting.",,2260 mm (89.0 inches),,1448 mm (57.0 inches),8.50 litres (2.25 US gallons),Red/White/Black,Electric & kick,,,,6 speed constant mesh,,Chromoly single tube frame cradle utilizes rounded-rectangle elliptical tubing.,,111.6 kg (246.0 pounds),,,,"Multi plate, hydraulic operation",26.9°,107 mm (4.2 inches),300 mm (11.8 inches),295 mm (11.6 inches),240 mm (9.4 inches),,,,,290 mm (11.4 inches),2 Years,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Maxxer 450i,2013,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,442.9 ccm (27.03 cubic inches),"Single cylinder, four-stroke",9.0:1,89.0 x 71.2 mm (3.5 x 2.8 inches),Injection. EFI,Overhead Cams (OHC),,,Oil & air,Automatic,Belt   (final drive),Independent Dual A­arm ,Independent Dual A­arm ,23/8-12 ,23/10-12 ,Double disc,Single disc,"855 mm (33.7 inches) If adjustable, lowest setting.",1210 mm (47.6 inches),1905 mm (75.0 inches),1230 mm (48.4 inches),,15.00 litres (3.96 US gallons),"Red, black, white",Electric,,33.0 HP (24.1  kW)) @ 7500 RPM,34.0 Nm (3.5 kgf-m or 25.1 ft.lbs) @ 5500 RPM,"Automatic CVT F¬N¬R, Shaft Drive with low/high gear  and  on demand 2WD/4WD ",,Pipe Under Bone,Aluminum Alloy Wheels,270.0 kg (595.2 pounds),0.1222 HP/kg,C.A.R.B. Certified with USFS-Approved Spark Arrestor. 985lb Towing Capacity with 2´ Receiver Hitch. Made in Taiwan.,,,,,,,202 mm (8.0 inches),,,,,,One-Year Limited Factory Warranty,,,,,,,Multi-function Digital Instrument Display,,,,,,,,,,,,,,,,,
Honda Gyro X,2013,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",12.0:1,38.0 x 44.0 mm (1.5 x 1.7 inches),Injection,Overhead Cams (OHC),,,Liquid,Automatic,Belt   (final drive),Bottom-link,Unit swing,90/100-10 ,130/80-8 ,Expanding brake (drum brake),Expanding brake (drum brake),"735 mm (28.9 inches) If adjustable, lowest setting.",1405 mm (55.3 inches),1805 mm (71.1 inches),660 mm (26.0 inches),1205 mm (47.4 inches),4.70 litres (1.24 US gallons),,Electric & kick,,4.6 HP (3.4  kW)) @ 7500 RPM,4.4 Nm (0.4 kgf-m or 3.2 ft.lbs) @ 6000 RPM,V-matic,,Underbone,,112.0 kg (246.9 pounds),0.0411 HP/kg,Sold in Japan.,4,Dry,25.3°,76 mm (3.0 inches),,,,,1.69 litres/100 km (59.2 km/l or 139.18 mpg),39.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,85 mm (3.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Road King Classic,2013,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1688.0 ccm (103.00 cubic inches),"V2, four-stroke",9.6:1,98.4 x 111.3 mm (3.9 x 4.4 inches),Injection. Electronic Sequential Port Fuel Injection,,,Dry sump,Air,6-speed,Belt   (final drive),,,130/90-B16 ,180/65-B16 ,Double disc. 4-piston,Single disc. 2-piston,"678 mm (26.7 inches) If adjustable, lowest setting.",,2393 mm (94.2 inches),,1613 mm (63.5 inches),22.71 litres (6.00 US gallons),"White Hot Pearl, Vivid Black, Big Blue Pearl/Vivid Black, Ember Red Sunglo/Merlot.",Electric,Twin Cam 103™ with Integrated Oil-Cooler,,135.6 Nm (13.8 kgf-m or 100.0 ft.lbs) @ 3250 RPM,"Chain, 34/46 ratio primary drive","Chrome, 2-1-2 dual exhaust with slash-up end caps",,Steel Laced,355.2 kg (783.0 pounds),,Windshield.,,Multi-plate with diaphragm spring in oil bath,26.0°,170 mm (6.7 inches),,,,,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,367.9 kg (811.0 pounds),130 mm (5.1 inches),,,,"High beam, running lights, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system, 6-speed, low fuel warnings, cruise control, ABS",,,3.80 litres (4.02 US quarts),Tank-mounted electronic speedometer with odometer; time-of-day clock on odometer; dual trip meter; low fuel indicator light and mileage countdown feature; low oil pressure indicator light; engine diagnostics readout; LED indicator lights; 6-speed indicator light; cruise control indicator light,,,,,,,,,,,,,,,,,
Hero Splendor NXG,2013,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,97.5 ccm (5.95 cubic inches),"Single cylinder, four-stroke",9.0:1,50.0 x 49.5 mm (2.0 x 1.9 inches),"Carburettor. Side Draft, Variable Venturi Type",Overhead Cams (OHC),Digital CDI,,Air,4-speed,Chain   (final drive),Telescopic hydraulic shock absorbers,Swing arm with hydraulic shock absorbers,2.75-18 ,2.75-18 ,Expanding brake (drum brake),Expanding brake (drum brake),"785 mm (30.9 inches) If adjustable, lowest setting.",1095 mm (43.1 inches),1965 mm (77.4 inches),720 mm (28.3 inches),,9.50 litres (2.51 US gallons),"Black, red, silver, blue. All with stripes.",Electric & kick,,7.4 HP (5.4  kW)) @ 8000 RPM,8.0 Nm (0.8 kgf-m or 5.9 ft.lbs) @ 4500 RPM,Constant mesh,,Tubular double cradle,Spoke wheel  or cast wheel,,,Sold in India. Brand previously called Hero Honda.,,"Wet, multidisc",,,,,110 mm (4.3 inches),1.80 litres (0.48 US gallons),,,112.0 kg (246.9 pounds),160 mm (6.3 inches),,,,12V 35W/35W halogen headlight,,12V 3Ah battery,,,,,,,,,,,,,,,,,,,
Aprilia SXV 4.5,2013,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,452.0 ccm (27.58 cubic inches),"V2, four-stroke",,,Injection. Electronic fuel injection with 38 mm throttle bodies,Single Overhead Cams (SOHC),,Dry sump with external oil tank. Separate gearbox lubrication.,Liquid,5-speed,Chain   (final drive),48 mm upside down fork with two adjustments.,Box section aluminium swingarm with cast body. Hydraulic monoshock with compression and rebound adjustment.,120/70-17 ,180/55-17 ,Single disc. Radial caliper.,Single disc,"918 mm (36.1 inches) If adjustable, lowest setting.",,2222 mm (87.5 inches),800 mm (31.5 inches),1495 mm (58.9 inches),7.80 litres (2.06 US gallons),Black,Electric,77° V twin. 4 valve heads with titanium valves. Titanium valve cover screws. Cylinders integrated in the crankcase with wet liners.,,,Primary drive: Spur gears. Transmission ratio: 22/56. ,,Steel perimeter frame with aluminium alloy vertical members. ,Light alloy rims.,,,,4,Cable operated multi-plate wet clutch.,,,,,240 mm (9.4 inches),,,,,318 mm (12.5 inches),,,,,,340W generator,,Digital,,,,,,12500,,,,,,,,,,,
Yamaha V Star Classic,2013,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,655.5 ccm (40.00 cubic inches),"V2, four-stroke",9.0:1,81.0 x 63.0 mm (3.2 x 2.5 inches),Carburettor. (2) 28mm Mikuni® CV carburetors,Single Overhead Cams (SOHC),TCI: Transistor Controlled Ignition,,Air,5-speed,Shaft drive (cardan)   (final drive),Telescopic fork,"Single shock, adjustable preload, 3.9-in travel",130/90-16 ,170/80-15 ,Single disc. Hydraulic. ,Expanding brake (drum brake),"709 mm (27.9 inches) If adjustable, lowest setting.",1105 mm (43.5 inches),2451 mm (96.5 inches),930 mm (36.6 inches),1626 mm (64.0 inches),15.90 litres (4.20 US gallons),"Deep Blue, Candy Red",Electric,,,,,,Steel; hidden shock,Spoke,,,,2,Multiplate wet clutch,32.0°,,140 mm (5.5 inches),,200 mm (7.9 inches),,4.80 litres/100 km (20.8 km/l or 49.00 mpg),111.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,246.8 kg (544.0 pounds),145 mm (5.7 inches),1 Year (Limited Factory Warranty),,,,,,,Tank-mounted speedometer,,,,,,,,,,,,,,,,,
Kymco MXU 450i LE,2013,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,443.0 ccm (27.03 cubic inches),"Single cylinder, four-stroke",9.0:1,89.0 x 71.2 mm (3.5 x 2.8 inches),Injection. EFI,Single Overhead Cams (SOHC),Electric,Wet sump,Liquid,Automatic,Shaft drive (cardan)   (final drive),Independent Dual A-Arm,Independent Dual A-Arm,24/8-12 ,24/10-12 ,Single disc,Single disc,"808 mm (31.8 inches) If adjustable, lowest setting.",,2123 mm (83.6 inches),1092 mm (43.0 inches),1217 mm (47.9 inches),17.79 litres (4.70 US gallons),Metallic silver,Electric,,33.0 HP (24.1  kW)) @ 7500 RPM,34.0 Nm (3.5 kgf-m or 25.1 ft.lbs) @ 5500 RPM,CVT Automatic H-L-N-R.,,Steel,,275.8 kg (608.0 pounds),0.1197 HP/kg,On Demand 2WD/4WD. C.A.R.B. Certified with USFS-Approved Spark Arrestor. Front Brush Guard.,4,,,,178 mm (7.0 inches),178 mm (7.0 inches),,,,,,267 mm (10.5 inches),One-Year Limited Factory Warranty,,,,,,,,,Heavy-Duty Front and Rear Equipment Racks,,,,,,,,,,,,,,,
Ural Solo sT,2013,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",8.6:1,78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor. Twin Keihin L22A A,,CDI,,Air,4-speed,Shaft drive (cardan)   (final drive),Marzocchi telescopic fork,Double sided swinging arm with hydraulic spring shock absorbers - 2 x adjustable,2.50-18 ,2.50-18 ,"Single disc. Bremo, 4-piston caliper, floating rotor",Single disc. Brembo caliper w/ fixed rotor,"770 mm (30.3 inches) If adjustable, lowest setting.",1080 mm (42.5 inches),2160 mm (85.0 inches),780 mm (30.7 inches),,19.00 litres (5.02 US gallons),Flat Black,Electric & kick,,40.0 HP (29.2  kW)) @ 5600 RPM,52.0 Nm (5.3 kgf-m or 38.4 ft.lbs) @ 4000 RPM,Final drive: Bevel gear with drive shaft.,,Double loop steel tube,Painted steel rims with steel spokes,215.0 kg (474.0 pounds),0.1860 HP/kg,"Made by Irbit Motorcycle Works (IMZ), Irbit, 250 km east of the Ural mountains in Siberia, Russia.",,"Dry, double disc",26.0°,65 mm (2.6 inches),110 mm (4.3 inches),100 mm (3.9 inches),245 mm (9.6 inches),,6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,170 mm (6.7 inches),"2 years parts and labor, unlimited mileage",130.0 km/h (80.8 mph),Solo seat,,,12V 20Ah battery,,,,Rear rack,,,,,,,,,,,,,,,
Ducati Monster 696 20th Anniversary,2013,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,696.0 ccm (42.47 cubic inches),"V2, four-stroke",10.7:1,88.0 x 57.2 mm (3.5 x 2.3 inches),"Injection. Siemens electronic fuel injection, 45mm throttle body",Desmodromic valve control,,,Air,6-speed,Chain   (final drive),43mm upside-down forks,Progressive linkage with preload and rebound Sachs adjustable monoshock,120/60-17 ,160/60-17 ,Double disc. Four-piston calipers. ,Single disc. Two-piston calipers. ,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,1450 mm (57.1 inches),15.00 litres (3.96 US gallons),Red/bronze,Electric,,78.9 HP (57.6  kW)) @ 9000 RPM,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 7750 RPM,Chain; Front sprocket 15; Rear sprocket 45. Primary drive: Straight cut gears; Ratio 1.85.,2 aluminum mufflers,Tubular steel Trellis frame,3-spoke light alloy,161.0 kg (354.9 pounds),0.4898 HP/kg,,4,APTC wet multiplate with hydraulic control,24.0°,87 mm (3.4 inches),,,245 mm (9.6 inches),,,,185.0 kg (407.9 pounds),,2 years unlimited mileage,,,Chrome plated headlamp support,Euro 3,,,"Digital unit displaying  Speedometer, rev counter, clock, scheduled maintenance warning, oil temperature, trip fuel, air temperature, lap time, warning light for low oil pressure, fuel level, fuel reserve, neutral, turn signals, overrev, immobilizer. Ready for DDA system.",,,,,,,,,,,,,,,,,
Aprilia Atlantic 300,2013,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",278.3 ccm (16.98 cubic inches),"Single cylinder, four-stroke",11.5:1,,Injection,Single Overhead Cams (SOHC),,,Liquid,Automatic,Belt   (final drive),Hydraulic telescopic fork,"Engine unit acting as swingarm, double hydraulic shock with adjustable 5-position preload, ",110/90-13 ,130/70-13 ,Single disc,Single disc,"790 mm (31.1 inches) If adjustable, lowest setting.",,2085 mm (82.1 inches),785 mm (30.9 inches),1480 mm (58.3 inches),9.50 litres (2.51 US gallons),"White, black, grey",Electric,,22.4 HP (16.4  kW)) @ 7500 RPM,23.8 Nm (2.4 kgf-m or 17.6 ft.lbs) @ 5750 RPM,,,Steel tubes twin cradle ,Aluminium alloy,,,,4,Automatic centrifugal dry clutch ,,,,105 mm (4.1 inches),190 mm (7.5 inches),,,,,,,,,,,180W generator,,,,,,,,,,,,,,,,,,,
Husaberg FE 350,2013,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.7 ccm (21.34 cubic inches),"Single cylinder, four-stroke",11.1:1,88.0 x 57.5 mm (3.5 x 2.3 inches),Injection. Keihin EFI,Overhead Cams (OHC),"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",Forced oil lubrication with 2 Eaton pumps,Liquid,6-speed,Chain   (final drive),WP-USD Ø 48 mm Closed Cartridqe,WP-PDS shock absorber,90/90-21 ,140/80-18 ,Single disc,Single disc,"970 mm (38.2 inches) If adjustable, lowest setting.",,,,1482 mm (58.3 inches),9.50 litres (2.51 US gallons),Blue/yellow,Electric & kick,OHC with rocker levers,,,5/8 x 1/4,,Central tube frame made of chrome molybdenum steel tubing,,108.5 kg (239.2 pounds),,Made in Sweden,4,Wet multi-disc clutch ; Brembo hydraulics,26.5°,,300 mm (11.8 inches),335 mm (13.2 inches),,,,,,345 mm (13.6 inches),,,,,,12V 7Ah battery,,,,,,,,,,,,,,,,,,,
Longjia Sharpy 50 2T,2013,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.5 ccm (3.02 cubic inches),"Single cylinder, two-stroke",,,,,CDI,,Air,Automatic,Belt   (final drive),Telecsopic fork,Swing arm,120/70-12 ,130/70-12 ,Single disc,Expanding brake (drum brake),,1140 mm (44.9 inches),1960 mm (77.2 inches),700 mm (27.6 inches),1355 mm (53.3 inches),6.50 litres (1.72 US gallons),Red/grey,Electric & kick,,3.8 HP (2.7  kW)) @ 6500 RPM,,,,Steel,,95.0 kg (209.4 pounds),0.0395 HP/kg,Chinese made scooter.,,,,,,,,,,,,,,45.0 km/h (28.0 mph),,,,12V7AH battery.,,,,,,,,,,,,,,,,,,,
Longjia Raptur 50 2T,2013,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.5 ccm (3.02 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,CDI,,,Automatic,Belt   (final drive),Telecsopic fork,Swing arm,120/70-12 ,120/70-12 ,Single disc,Expanding brake (drum brake),,1165 mm (45.9 inches),1870 mm (73.6 inches),700 mm (27.6 inches),1425 mm (56.1 inches),4.70 litres (1.24 US gallons),Red/grey/white,Electric & kick,,3.8 HP (2.7  kW)) @ 7500 RPM,,V-Belt,,Steel,,85.0 kg (187.4 pounds),0.0441 HP/kg,Made in China.,,,,,,,,,,,,,,45.0 km/h (28.0 mph),,,,12V7AH battery.,,,,,,,,,,,,,,,,,,,
Victory Cory Ness Cross Country Tour,2013,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1737.1 ccm (106.00 cubic inches),"V2, four-stroke",9.4:1,101.0 x 108.0 mm (4.0 x 4.3 inches),Injection. Electronic Fuel Injection with dual 45mm throttle body,Single Overhead Cams (SOHC),,,Oil & air,6-speed,Belt   (final drive),"Inverted cartridge telescopic fork, 43 mm diameter, 5.1 in / 130 mm travel","Single, mono-tube gas, cast aluminum with constant-rate linkage, 4.7 in / 120 mm travel, air adjustable",130/70-R18 ,180/60-R16 ,Double disc. Floating rotor with 4-piston calipers. ABS.,Single disc. Floating rotor with 2-piston caliper. ABS.,"667 mm (26.3 inches) If adjustable, lowest setting.",,2652 mm (104.4 inches),,1669 mm (65.7 inches),21.95 litres (5.80 US gallons),Gold Digger Pearl w/Ness Graphics,Electric,"Self-adjusting cam chains, hydraulic lifters",96.0 HP (70.1  kW)) @ 6500 RPM,146.5 Nm (14.9 kgf-m or 108.0 ft.lbs) @ 3200 RPM,Carbon Fiber Reinforced Belt. Primary drive: Gear drive with  torque compensator.,Split dual exhaust with crossover,,Dunlop Elite 3  tires,347.0 kg (765.0 pounds),0.2767 HP/kg,Small windscreen,4,"Wet, multi-plate",29.0°,142 mm (5.6 inches),,,300 mm (11.8 inches),,,,,147 mm (5.8 inches),,,,,,12 volts / 18 amp hours battery.,4.70 litres (4.97 US quarts),,,29 Gallons of trunc and saddle bags space,,,,,,,,,,,,,,,
Yamaha XJ6 Diversion,2013,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",12.2:1,65.5 x 44.5 mm (2.6 x 1.8 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),TCI,Wet sump,Liquid,6-speed,Chain   (final drive),Telescopic forks,Linked monoshock with spring preload adjustment,120/70-ZR17 ,160/60-ZR17 ,Double disc,Single disc,"785 mm (30.9 inches) If adjustable, lowest setting.",,2120 mm (83.5 inches),770 mm (30.3 inches),1440 mm (56.7 inches),17.00 litres (4.49 US gallons),"White, black",Electric,,76.4 HP (55.8  kW)) @ 10000 RPM,59.7 Nm (6.1 kgf-m or 44.0 ft.lbs) @ 6100 RPM,,,"Steel, Diamond Shaped",,,,,4,"Wet, Multiple Disc",26.0°,103 mm (4.1 inches),130 mm (5.1 inches),130 mm (5.1 inches),245 mm (9.6 inches),4.00 litres (1.06 US gallons),,,211.0 kg (465.2 pounds),140 mm (5.5 inches),,,,,Three-way catalyser with O2 sensor,,3.40 litres (3.59 US quarts),,,,,"New-style seat, and detail changes for 2013.",,,,,,,,,,,,,
Honda VT750C Shadow,2013,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"V2, four-stroke",9.6:1,79.0 x 79.0 mm (3.1 x 3.1 inches),Injection,,Fully transistorised electronic,,Liquid,5-speed,Shaft drive (cardan)   (final drive),"41mm telescopic fork, 116mm axle travel ","Dual conventional dampers with 5-step adjustable spring preload, 90mm axle travel",120/90-17 ,160/80-15 ,"Single disc. Hydraulic disc with combined three-piston caliper, ABS and sintered metal pads ","Single disc. Hydraulic disc with combined three-piston caliper, ABS and sintered metal pads ","658 mm (25.9 inches) If adjustable, lowest setting.",1125 mm (44.3 inches),2510 mm (98.8 inches),920 mm (36.2 inches),1640 mm (64.6 inches),14.60 litres (3.86 US gallons),Black,Electric,52° V-twin ,44.9 HP (32.8  kW)) @ 5500 RPM,64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 3500 RPM,Enclosed Shaft,,,,,,,,,,,,,276 mm (10.9 inches),,,,282.0 kg (621.7 pounds),131 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4 RR,2013,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",13.4:1,79.0 x 50.9 mm (3.1 x 2.0 inches),"Injection. Weber Marelli 5SM ignition - injection integrated system; induction discharge electronic ignition, “Multipoint” sequential timed electronic injection",Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),"Öhlins EC Nix hydraulic “UPSIDE DOWN” front forks with TiN superficial treatment. Completely adjustable electronically controlled compression and rebound damping with manual, spring preload","Progressive, single shock absorber Öhlins TTX. Fully adjustable hydraulic electronically controlled compression and rebound damping with manual, spring preload",120/70-ZR17 ,200/55-ZR17 ,"Double disc. Floating disc. Brembo GP radial-type, single-piece with 4 pistons.",Single disc,"830 mm (32.7 inches) If adjustable, lowest setting.",,2115 mm (83.3 inches),750 mm (29.5 inches),1430 mm (56.3 inches),17.00 litres (4.49 US gallons),"Pearl White/Black, Red/White",Electric,Titanium intake and exhaust valves,201.0 HP (146.7  kW)) @ 13600 RPM,111.0 Nm (11.3 kgf-m or 81.9 ft.lbs) @ 9600 RPM,6-speed constant mesh,4-2-1-4 exhaust,CrMo Steel Tubular Trellis. Aluminium alloy adjustable swingarm pivot height.,Forged aluminium alloy,190.0 kg (418.9 pounds),1.0579 HP/kg,,4,"Wet, multi-disc with back torque limiting device and Brembo radial pump/lever assembly",,104 mm (4.1 inches),120 mm (4.7 inches),120 mm (4.7 inches),210 mm (8.3 inches),,,,,115 mm (4.5 inches),,297.5 km/h (184.9 mph),,,,12 V 8.6 Ah battery,,,,,,,,,,,,,,,,,,,
Bimota DB10 R,2013,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1078.0 ccm (65.78 cubic inches),"V2, four-stroke",10.7:1,98.0 x 71.5 mm (3.9 x 2.8 inches),Injection. Magneti Marelli-45mm throttle body,Desmodromic valve control,Walbro,Wet sump,Oil & air,6-speed,Chain   (final drive),50mm upside-down fully adjustable forks,Preload-fully adjustable top and lower speed monoshock,120/70-17 ,180/55-17 ,"Single disc. Brembo, 4-pistons, 4-pads with radial Brembo calipers","Single disc. 2-pistons,","820 mm (32.3 inches) If adjustable, lowest setting.",,2045 mm (80.5 inches),850 mm (33.5 inches),1465 mm (57.7 inches),13.50 litres (3.57 US gallons),Red/white/green,Electric,Ducati’s 1078cc EVO L-twin  engine,98.0 HP (71.5  kW)) @ 7500 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 5500 RPM,,,Tubular chrome-molibdenum steel,Forged Alluminium,168.0 kg (370.4 pounds),0.5833 HP/kg,,2,Dry multidic,,,165 mm (6.5 inches),120 mm (4.7 inches),220 mm (8.7 inches),,,,,,,220.0 km/h (136.7 mph),,,,,,,,,,,,,,,,,,,,,,,
Honda PCX125,2013,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.9 ccm (7.62 cubic inches),"Single cylinder, four-stroke",11.0:1,52.4 x 57.9 mm (2.1 x 2.3 inches),Injection. PGM-FI with automatic enrichment,Single Overhead Cams (SOHC),Digital with electronic advance,,Liquid,Automatic,Belt   (final drive),31mm hydraulic fork,Twin suspension aluminium swingarm,90/90-14 ,100/90-14 ,Single disc. 3-piston caliper ,Expanding brake (drum brake),"761 mm (30.0 inches) If adjustable, lowest setting.",1094 mm (43.1 inches),1917 mm (75.5 inches),738 mm (29.1 inches),1306 mm (51.4 inches),6.20 litres (1.64 US gallons),"Grey, silver, black, green, red",Electric,,11.2 HP (8.2  kW)) @ 8000 RPM,11.6 Nm (1.2 kgf-m or 8.5 ft.lbs) @ 6000 RPM,V-matic,,Steel,5-spoke cast aluminium,,,Model ID: PCX125,2,,27.0°,86 mm (3.4 inches),100 mm (3.9 inches),75 mm (3.0 inches),130 mm (5.1 inches),,,,124.4 kg (274.3 pounds),135 mm (5.3 inches),"Year. Transferable, unlimited-mileage limited warranty",,,,Meets current EPA standards.,,,,,,,,,,,,,,,,,,,,
Loncin LX200ZH,2013,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,193.3 ccm (11.80 cubic inches),"Single cylinder, four-stroke",9.2:1,63.0 x 58.0 mm (2.5 x 2.3 inches),Carburettor,,C.D.I,,Air,5-speed,Shaft drive (cardan)   (final drive),,,110/70-17 ,130/70-17 ,Single disc,Expanding brake (drum brake),"860 mm (33.9 inches) If adjustable, lowest setting.",,3200 mm (126.0 inches),810 mm (31.9 inches),1400 mm (55.1 inches),13.00 litres (3.43 US gallons),,Electric & kick,,14.7 HP (10.7  kW)) @ 8500 RPM,14.0 Nm (1.4 kgf-m or 10.3 ft.lbs) @ 6000 RPM,,,Steel,,138.0 kg (304.2 pounds),0.1065 HP/kg,Chinese made cargo bike. ,,,,,,,,,,,,240 mm (9.4 inches),,,,,,12V 9AH battery.,,,,Large cargo plane.,,,,,,,,,,,,,,,
Peugeot Metropolis,2013,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",,,,,,,Liquid,Automatic,Belt   (final drive),37mm front forks,,,,Single disc,Single disc,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,"Black, White, Red",Electric,,,,,,Steel,Dual front wheels,258.0 kg (568.8 pounds),,,,,,,,,,,,,,,,,,2x55W halogen bulbs headlight and LEDs,,,,,,,,,,,,,,,,,,,,,
