Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Cooling system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Fuel system,Lubrication system,Front tire,Rear tire,Dry weight,Engine details,Valves per cylinder,Fuel control,Ignition,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Exhaust system,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Seat,Power/weight ratio,Alternate seat height,Instruments,Factory warranty,Electrical,Light,Carrying capacity,Reserve fuel capacity,Oil capacity,Top speed,0-100 km/h (0-62 mph),Max RPM,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,1/4 mile (0.4 km),Modifications compared to previous model,Belt teeth,Belt width,Pulley teeth
Adly GTA-150,2018,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.5 ccm (9.12 cubic inches),"Single cylinder, four-stroke",,,,,Air,Automatic,Belt   (final drive),Steel,Grease Shock Absorber,Hydraulic Shock Absorber,Single disc,,Single disc,,,"780 mm (30.7 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),1930 mm (76.0 inches),710 mm (28.0 inches),,,6.00 litres (1.59 US gallons),"White, black",Electric & kick,,Carburettor,Wet sump,120/70-12 ,120/70-12 ,98.0 kg (216.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Street Bob,2018,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1745.0 ccm (106.48 cubic inches),"V2, four-stroke",86.0 HP (62.8  kW)) @ 5020 RPM,145.0 Nm (14.8 kgf-m or 107.0 ft.lbs) @ 3000 RPM,10.0:1,100.0 x 111.1 mm (3.9 x 4.4 inches),Air,6-speed,Belt   (final drive),,Telescopic fork,Twin shocks,Single disc. Optional ABS. 4-piston,,Single disc. Optional ABS. 2-piston,Wire spoked,297.0 kg (654.8 pounds),"680 mm (26.8 inches) If adjustable, lowest setting.",,2320 mm (91.3 inches),,125 mm (4.9 inches),1630 mm (64.2 inches),13.20 litres (3.49 US gallons),"Vivid Black, Olive Gold, Red Iron Denim, Wicked Red/Twisted Cherry, Industrial Gray Denim/Black Denim",Electric,,Injection. Electronic Sequential Port Fuel Injection (ESPFI),,100/90-B19 ,150/80-b16 ,286.0 kg (630.5 pounds),Milwaukee-Eight® 107 ,,Double Overhead Cams/Twin Cam (DOHC),,Multi-plate with diaphragm spring in oil bath,Chain 34/46 ratio primary drive,5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,2-into-2 offset shotgun; catalyst in muffler,30.0°,157 mm (6.2 inches),,,,0.3007 HP/kg,,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/gear display, low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, security system (optional), 6-speed, low fuel warnings",,,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville T100 Black,2018,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,900.0 ccm (54.92 cubic inches),"Twin, four-stroke",55.0 HP (40.1  kW)) @ 5900 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 3230 RPM,10.5:1,84.6 x 80.0 mm (3.3 x 3.1 inches),Air,5-speed,Chain   (final drive),"Tubular steel twin cradle. Twin-sided, tubular steel swing arm.",KYB 41mm forks,KYB chromed spring twin shocks with adjustable preload,Single disc. Nissin 2-piston floating caliper. ABS.,255 mm (10.0 inches),Single disc. Nissin 2-piston floating caliper. ABS.,32-spoke. Steel rims. Black.,,"790 mm (31.1 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2230 mm (87.8 inches),715 mm (28.1 inches),,1450 mm (57.1 inches),14.38 litres (3.80 US gallons),"Jet Black, Matt Black",Electric,,Injection. Multipoint sequential electronic fuel injection,,100/90-18 ,150/70-R17 ,213.0 kg (469.6 pounds),360 degree firing interval. Black.,4,Double Overhead Cams/Twin Cam (DOHC),Digital-inductive type via engine management system,"Wet, multi-plate assist clutch",,3.83 litres/100 km (26.1 km/l or 61.42 mpg),88.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Black,25.5°,104 mm (4.1 inches),120 mm (4.7 inches),120 mm (4.7 inches),,0.2582 HP/kg,,Analogue speedometer and tachometer with odometer and trip information ,24 months unlimited milage,,,,,4.50 litres (4.76 US quarts),,,,,,,,,,,,,,,,,,,,,
Mash Roadstar 50,2018,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, four-stroke",,,,,Air,4-speed,Chain   (final drive),,Telescopic fork,Twin shock absorbers,Single disc,,Expanding brake (drum brake),,,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,12.00 litres (3.17 US gallons),Black ,Electric,French brand. Bike made in China. Sold in Europe.,Carburettor,,120/70-18 ,120/70-18 ,99.0 kg (218.3 pounds),,,,CDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 701 Enduro,2018,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",693.0 ccm (42.29 cubic inches),"Single cylinder, four-stroke",67.0 HP (48.9  kW)) @ 7000 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 6500 RPM,,105.0 x 80.0 mm (4.1 x 3.1 inches),Liquid,6-speed,Chain   (final drive),Trellis made of high-grade chromium-molybdenum steel,WP USD Ø 48 mm 4CS closed cartridge,WP shock absorber with Pro-Lever linkage,Single disc. ABS,240 mm (9.4 inches),Single disc. ABS,,,"900 mm (35.4 inches) If adjustable, lowest setting.",,2280 mm (89.8 inches),,280 mm (11.0 inches),1504 mm (59.2 inches),13.00 litres (3.43 US gallons),White/blue/yellow,Electric,,Carburettor,Forced oil lubrication with 2 oil pumps,90/90-21 ,140/90-18 ,,,,Single Overhead Cams (SOHC),"Keihin EMS with RBW, twin ignition","APTC(TM) slipper clutch, hydraulically actuated",,,,,,25.8°,101 mm (4.0 inches),275 mm (10.8 inches),275 mm (10.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR500R ABS,2018,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,471.0 ccm (28.74 cubic inches),"Twin, four-stroke",46.9 HP (34.3  kW)) @ 8500 RPM,43.0 Nm (4.4 kgf-m or 31.7 ft.lbs) @ 7000 RPM,10.7:1,67.0 x 66.8 mm (2.6 x 2.6 inches),Liquid,6-speed,Chain   (final drive),Steel tube frame,41mm fork,Pro-Link single shock with nine-position spring preload adjustability,Double disc. ABS. Wave disc. Two-piston calipers. ,240 mm (9.4 inches),Single disc. ABS. Wave disc. Single-piston caliper. ,,194.6 kg (429.0 pounds),"785 mm (30.9 inches) If adjustable, lowest setting.",1060 mm (41.7 inches),2080 mm (81.9 inches),790 mm (31.1 inches),,1410 mm (55.5 inches),15.52 litres (4.10 US gallons),"Pearl White, Grand Prix Red",Electric,Model ID: CBR500RA,Injection. PGM-FI with 34mm throttle bodies,,120/70-17 ,160/60-17 ,,,4,Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital transistorized with electronic advance,,O-ring-sealed chain,2.93 litres/100 km (34.1 km/l or 80.28 mpg),68.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,25.5°,103 mm (4.1 inches),122 mm (4.8 inches),104 mm (4.1 inches),,,,,One year. Unlimited milage. Transferable.,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli Leoncino Trail,2018,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.6 ccm (30.49 cubic inches),"Twin, four-stroke",47.6 HP (34.7  kW)) @ 8500 RPM,46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 6000 RPM,11.5:1,69.0 x 66.8 mm (2.7 x 2.6 inches),Liquid,6-speed,Chain   (final drive),Steel tubes,Upside down 50mm fork,Rear swing arm with lateral shock absorber with spring preload adjustment and hydraulic rebound brake adjustable,Double disc. ABS,260 mm (10.2 inches),Single disc. ABS,Aluminum alloy,210.0 kg (463.0 pounds),"825 mm (32.5 inches) If adjustable, lowest setting.",1160 mm (45.7 inches),2174 mm (85.6 inches),825 mm (32.5 inches),185 mm (7.3 inches),1465 mm (57.7 inches),12.70 litres (3.36 US gallons),Silver,Electric,,Injection,Wet sump,110/80-R19 ,150/70-R17 ,,,4,Double Overhead Cams/Twin Cam (DOHC),TLI,Wet,,,,Euro 4. Catalytic converter and oxygen sensors.,,,,135 mm (5.3 inches),138 mm (5.4 inches),,,,,,,,,2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,
Aprilia Scarabeo 50 Street,2018,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,,10.5:1,41.0 x 37.4 mm (1.6 x 1.5 inches),Air,Automatic,Belt   (final drive),Mono cradle tubular steel high yield point,Telescopic hydraulic fork,Single hydraulic shock absorber pivoting on engine-transmission assembly,Single disc. Floating disc,140 mm (5.5 inches),Expanding brake (drum brake),Five spoke wheels,,"775 mm (30.5 inches) If adjustable, lowest setting.",,1875 mm (73.8 inches),,,1245 mm (49.0 inches),7.50 litres (1.98 US gallons),,Electric & kick,,Carburettor. Dell’Orto,Separate oil petrol pump mixer,80/80-16 ,90/80-16 ,,,,Overhead Cams (OHC),CDI with variable advance,Automatic dry centifuge with damper buffers,,,,,,,,74 mm (2.9 inches),78 mm (3.1 inches),,,,,,,,,1.00 litres (0.26 US gallons),,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard S40,2018,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",,,9.4:1,94.0 x 94.0 mm (3.7 x 3.7 inches),Air,5-speed,Belt   (final drive),Steel frame with tubular backbone,"Telescopic, coil spring, oil damped","Swing arm type, coil spring, oil damped",Single disc,,Expanding brake (drum brake),Polished wire spoked wheels,173.0 kg (381.4 pounds),"700 mm (27.6 inches) If adjustable, lowest setting.",,2180 mm (85.8 inches),720 mm (28.3 inches),135 mm (5.3 inches),1480 mm (58.3 inches),10.60 litres (2.80 US gallons),"Metallic Mystic Silver, Pearl Splendor Violet",Electric,,"Carburettor. Mikuni BS40, single",Wet sump,100/90-M19 ,140/80-M15 ,,,,Overhead Cams (OHC),Electronic ignition (transistorized),,Constant mesh,,,,,,,,,One-piece saddle,,,,12 month unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z900 ABS,2018,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",948.0 ccm (57.85 cubic inches),"In-line four, four-stroke",,,11.8:1,73.4 x 56.0 mm (2.9 x 2.2 inches),Liquid,6-speed,Chain   (final drive),"Trellis, high tensile steel",41mm inverted fork with rebound damping and spring preload adjustability,"Horizontal back-link, stepless rebound damping, adjustable spring preload",Double disc. ABS. Four-piston calipers. ,250 mm (9.8 inches),Single disc. ABS. Single-piston caliper. ,Dunlop Sportmax tires,210.1 kg (463.1 pounds),"795 mm (31.3 inches) If adjustable, lowest setting.",1064 mm (41.9 inches),2070 mm (81.5 inches),820 mm (32.3 inches),130 mm (5.1 inches),1450 mm (57.1 inches),17.03 litres (4.50 US gallons),"Pearl Mystic Gray/Metallic Flat Spark Black, Flat Ebony/Metallic Spark Black, Candy Persimmon Red/Metallic Spark Black",Electric,,Injection. DFI  with 36mm Keihin throttle bodies,"Forced lubrication, wet sump",120/70-ZR17 ,180/55-ZR17 ,,,4,Double Overhead Cams/Twin Cam (DOHC),TCBI with electronic advance,"Wet multi-disc, manual",Sealed chain,,,,,25.0°,104 mm (4.1 inches),119 mm (4.7 inches),140 mm (5.5 inches),,,,,12 Month Limited Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW Concept Link,2018,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,,,,,,,,,,,,,,,,,,Liquid Metal Titanium/Black,Electric,Flat battery pack running along the bottom of the scooter body.,,,,,,Rear wheel drive,,,,,,,,,,,,,,Long bench seat,,,"LCD, touch, speed, navigation and battery information is projected onto the windshield",,,Two LEC front lights,Luggage compartment,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SV650X,2018,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",645.0 ccm (39.36 cubic inches),"V2, four-stroke",75.0 HP (54.7  kW)) @ 8400 RPM,64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 6400 RPM,11.2:1,81.0 x 62.6 mm (3.2 x 2.5 inches),Liquid,6-speed,Chain   (final drive),"Trellis, steel","Telescopic, coil spring, oil damped","Link type, single shock, coil spring, oil damped",Double disc. 2-piston calipers,240 mm (9.4 inches),Single disc. 1-piston caliper,,198.0 kg (436.5 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",1190 mm (46.9 inches),2140 mm (84.3 inches),730 mm (28.7 inches),155 mm (6.1 inches),1445 mm (56.9 inches),13.80 litres (3.65 US gallons),Metallic Oort Grey/Glass Sparkle Black,Electric,,Injection,Wet sump,120/70-ZR17 ,160/60-ZR17 ,,90-degree V-Twin,2,Double Overhead Cams/Twin Cam (DOHC),Transistorised,"Wet, multi-plate",,3.22 litres/100 km (31.1 km/l or 73.05 mpg),74.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,25.0°,104 mm (4.1 inches),,,,,,,12 month unlimited mileage limited warranty,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha E-Vino,2018,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,Air,Automatic,Belt   (final drive),Steel-tube frame,Telescopic fork,Overall rocker type,Expanding brake (drum brake),110 mm (4.3 inches),Expanding brake (drum brake),,,"720 mm (28.3 inches) If adjustable, lowest setting.",1030 mm (40.6 inches),1666 mm (65.6 inches),670 mm (26.4 inches),,1161 mm (45.7 inches),4.54 litres (1.20 US gallons),"White/brown, white/red",Electric,"Lithium ion battery, 50V-12Ah. 30 km range. 3 hour charging.",,,90/90-10 ,90/90-10 ,66.0 kg (145.5 pounds),,3,,,,,,,,,,,,,Plush saddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM Spitfire,2018,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,600.0 ccm (36.61 cubic inches),"Single cylinder, four-stroke",55.0 HP (40.1  kW)),58.0 Nm (5.9 kgf-m or 42.8 ft.lbs) @ 5500 RPM,12.0:1,,Liquid,6-speed,Chain   (final drive),"High strength steel, Hand Tig welded",Telescopic fork,Single shock,Single disc,240 mm (9.4 inches),Single disc,Maxxis DTR1 Tubed Flat Track Race tyre,,"830 mm (32.7 inches) If adjustable, lowest setting.",,2117 mm (83.3 inches),,250 mm (9.8 inches),1423 mm (56.0 inches),14.00 litres (3.70 US gallons),Silver/gold,Electric,,Injection. Mikuni D45,,130/70-19 ,130/70-19 ,135.0 kg (297.6 pounds),,,,,"Multiple-disc, wet, Hydraulic control",,4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,26.0°,118 mm (4.6 inches),,,,0.4074 HP/kg,,,,,,,,1.80 litres (1.9 US quarts),,,,,,,,,,,,,,,,,,,,,
Suzuki Burgman 400 ABS,2018,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",,,12.5:1,81.0 x 77.6 mm (3.2 x 3.1 inches),Liquid,Automatic,Belt   (final drive),High-tensile steel-tube,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",Double disc. ABS ,210 mm (8.3 inches),Single disc. ABS,,222.0 kg (489.4 pounds),"710 mm (28.0 inches) If adjustable, lowest setting.",,2270 mm (89.4 inches),825 mm (32.5 inches),125 mm (4.9 inches),1585 mm (62.4 inches),13.25 litres (3.50 US gallons),	Pearl Glacier White,Electric,Windscreen,Injection,Wet sump,120/80-M14 ,150/70-M13 ,,,4,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),,V-belt Drive,,,,,,,109 mm (4.3 inches),99 mm (3.9 inches),Stepped dual seat ,,,,12 month unlimited mileage limited warranty.,,LED headlight,62-liter under-seat storage compartment and a smaller compartment for personal items.,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZ450FX,2018,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,449.7 ccm (27.44 cubic inches),"Single cylinder, four-stroke",,,12.5:1,97.0 x 60.8 mm (3.8 x 2.4 inches),Liquid,5-speed,Chain   (final drive),Aluminum Bilateral Beam frame,KYB® spring-type fork with speed sensitive damping; fully adjustable,KYB® single shock; full adjustable,Single disc. Hydraulic,245 mm (9.6 inches),Single disc. Hydraulic,Dunlop® AT81F tyres,118.8 kg (262.0 pounds),"965 mm (38.0 inches) If adjustable, lowest setting.",1290 mm (50.8 inches),2174 mm (85.6 inches),826 mm (32.5 inches),335 mm (13.2 inches),,7.57 litres (2.00 US gallons),Team Yamaha Blue,Electric,,Injection. Keihin  44mm,Wet sump,90/90-21 ,120/90-18 ,,Titanium valves,4,Double Overhead Cams/Twin Cam (DOHC),TCI,Wet multi-disc,O-ring chain,,,,,28.0°,,310 mm (12.2 inches),318 mm (12.5 inches),,,,,30 Day Limited Factory Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,
Boss Hoss Standard,2018,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,6200.0 ccm (378.32 cubic inches),"V8, four-stroke",445.0 HP (324.8  kW)),603.4 Nm (61.5 kgf-m or 445.1 ft.lbs) @ 4750 RPM,,,,2-speed,,,63mm inverted forks,Dual 13.0 coil over shocks,Double disc,,Single disc,,,"673 mm (26.5 inches) If adjustable, lowest setting.",,2692 mm (106.0 inches),,,2032 mm (80.0 inches),32.17 litres (8.50 US gallons),,Electric,,,,130/90-16 ,300/35-18 ,,LS445 engine. Optional 383 Stroler engine.,,,,,Semi-automatic,8.71 litres/100 km (11.5 km/l or 27.01 mpg),202.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 115th Anniversary Breakout 114,2018,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1868.0 ccm (113.99 cubic inches),"V2, four-stroke",94.0 HP (68.6  kW)) @ 5000 RPM,155.0 Nm (15.8 kgf-m or 114.3 ft.lbs) @ 3000 RPM,15.0:1,102.0 x 114.3 mm (4.0 x 4.5 inches),Air,6-speed,Belt   (final drive),,Telescopic fork,Twin shocks,Single disc. ABS. 4-piston,,Single disc. ABS. 2-piston,"Gloss black, Gasser II cast aluminum",305.0 kg (672.4 pounds),"665 mm (26.2 inches) If adjustable, lowest setting.",,2370 mm (93.3 inches),,115 mm (4.5 inches),1695 mm (66.7 inches),13.20 litres (3.49 US gallons),"Blue
",Electric,,Injection. Electronic Sequential Port Fuel Injection,,130/60-B21 ,240/40-R18 ,294.0 kg (648.2 pounds),Milwaukee-Eight 114 Big Twin,,Double Overhead Cams/Twin Cam (DOHC),,Multi-plate with diaphragm spring in oil bath,"Chain, 34/46 ratio primary drive",5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,2-into-2 staggered; catalyst in muffler,34.0°,145 mm (5.7 inches),,,,0.3197 HP/kg,,,,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, security system (optional), 6-speed, low fuel warnings",,,3.30 litres (3.49 US quarts),,,,,,,,,,,,,,,,,,,,,
Hyosung GT 650i Naked,2018,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,647.0 ccm (39.48 cubic inches),"V2, four-stroke",74.0 HP (54.0  kW)) @ 9000 RPM,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 7250 RPM,11.5:1,81.5 x 62.0 mm (3.2 x 2.4 inches),Liquid,6-speed,Chain   (final drive),,Upsidedown telescopic,Hydraulic Mono shock absorber (Preload adjustable),"Double disc. Semi floating discs, 4 pistons calipers",230 mm (9.1 inches),Single disc. 2 pistons caliper,,208.0 kg (458.6 pounds),"830 mm (32.7 inches) If adjustable, lowest setting.",1155 mm (45.5 inches),2090 mm (82.3 inches),785 mm (30.9 inches),165 mm (6.5 inches),1435 mm (56.5 inches),17.03 litres (4.50 US gallons),Black,Electric,,Injection,Wet sump,120/60-ZR17 ,160/60-ZR17 ,,90° V-twin,4,Double Overhead Cams/Twin Cam (DOHC),Electronic,"Wet, Multiplate",Chain 525. Constant mesh,,,,,25.0°,,120 mm (4.7 inches),110 mm (4.3 inches),,,,Digital and analogue,,,,,,,210.0 km/h (130.5 mph),,,,,,,,,,,,,,,,,,,,
Honda CRF125F,2018,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.9 ccm (7.62 cubic inches),"Single cylinder, four-stroke",8.9 HP (6.5  kW)) @ 7500 RPM,10.2 Nm (1.0 kgf-m or 7.5 ft.lbs) @ 4500 RPM,9.5:1,52.4 x 57.9 mm (2.1 x 2.3 inches),Air,4-speed,Chain   (final drive),"Diamond, steel",31mm telescopic fork,Pro-Link single-shock,Single disc. Hydraulic. ,125 mm (4.9 inches),Expanding brake (drum brake),,88.0 kg (194.0 pounds),"735 mm (28.9 inches) If adjustable, lowest setting.",1010 mm (39.8 inches),1770 mm (69.7 inches),740 mm (29.1 inches),219 mm (8.6 inches),1219 mm (48.0 inches),4.30 litres (1.14 US gallons),Red,Kick,Model ID: CRF125F,Carburettor. 20mm piston-valve carburetor,,70/100-17 ,90/100-14 ,,,2,Single Overhead Cams (SOHC),DC-CDI,,13T/49T,,,Meets current California Air Resource Board (CARB) and EPA off-road emissions standards.,,25.3°,81 mm (3.2 inches),140 mm (5.5 inches),114 mm (4.5 inches),,,,,Six Months transferable limited warranty; extended warranty available with a Honda Protection Plan.,Maintenance-free sealed battery,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX250R GP,2018,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Twin, four-stroke",25.0 HP (18.2  kW)) @ 8500 RPM,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 6500 RPM,11.5:1,53.5 x 55.2 mm (2.1 x 2.2 inches),Liquid,6-speed,Chain   (final drive),Semi double-cradle ,"Telescopic, coil spring, oil damped","Swingarm, coil spring, oil damped",Single disc. Nissin 2-piston,,Single disc. Nissin 1-piston,,181.0 kg (399.0 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",1110 mm (43.7 inches),2085 mm (82.1 inches),740 mm (29.1 inches),160 mm (6.3 inches),1430 mm (56.3 inches),15.00 litres (3.96 US gallons),Blue,Electric,,Injection,Wet sump,110/80-17 ,140/55-17 ,,,2,Single Overhead Cams (SOHC),"Electronic ignition, fully transistorized","Wet, multi-plate type","Chain, Sealed O-ring typ",2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,26.0°,105 mm (4.1 inches),,,,,,,,,,,,2.40 litres (2.54 US quarts),,,,,,,,,,,,,,,,,,,,,
KTM 85 SX 19-16,2018,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",84.9 ccm (5.18 cubic inches),"Single cylinder, two-stroke",,,,47.0 x 49.0 mm (1.9 x 1.9 inches),Liquid,6-speed,Chain   (final drive),Central-tube frame with double-cradle,WP upside-down Ø 43 mm,WP PDS shock absorber,Single disc. Four-piston calipers. ,210 mm (8.3 inches),Single disc. Two-piston calipers. ,,,"890 mm (35.0 inches) If adjustable, lowest setting.",,,,377 mm (14.8 inches),1290 mm (50.8 inches),5.00 litres (1.32 US gallons),Orange/white/black,Kick,Large wheel version of the SX 85. 19 and 16 inch wheels.,Carburettor. Mikuni TMX,Mixture oil lubrication,,,68.5 kg (151.0 pounds),Reed intake. ,,,Moric Digital 2M1,"Wet, multi-disc clutch, Formula hydraulics",1/2  x  5/16,,,,,24.0°,,270 mm (10.6 inches),300 mm (11.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access Shade Sport 650,2018,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,608.0 ccm (37.10 cubic inches),"Single cylinder, four-stroke",45.6 HP (33.3  kW)),,,,Liquid,Automatic,Chain   (final drive),,,,Single disc,,Single disc,,,,1252 mm (49.3 inches),2070 mm (81.5 inches),1200 mm (47.2 inches),,,21.00 litres (5.55 US gallons),"White, black",Electric,,,,26/8-14 ,26/10-14 ,334.0 kg (736.3 pounds),,,Overhead Cams (OHC),,,"CVT, 4WD",,,,,,,,,,0.1365 HP/kg,,,,,,Front and rear rack,,,,,,,,,,,,,,,,,,,,,,,
Benelli BN 251,2018,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.2 ccm (15.21 cubic inches),"Single cylinder, four-stroke",25.0 HP (18.2  kW)) @ 9250 RPM,21.2 Nm (2.2 kgf-m or 15.6 ft.lbs) @ 8000 RPM,11.2:1,72.0 x 61.5 mm (2.8 x 2.4 inches),Liquid,6-speed,Chain   (final drive),Trestle in steel tubes,Upside-down forks,Rear swing arm with central rear shock absorber,Single disc. ABS,240 mm (9.4 inches),Single disc. ABS,,,"795 mm (31.3 inches) If adjustable, lowest setting.",1125 mm (44.3 inches),2080 mm (81.9 inches),810 mm (31.9 inches),140 mm (5.5 inches),1400 mm (55.1 inches),17.00 litres (4.49 US gallons),"White, black, red",Electric,,Injection,Wet sump,110/70-ZR17 ,150/60-ZR17 ,145.0 kg (319.7 pounds),,4,Double Overhead Cams/Twin Cam (DOHC),CDI,Wet clutch,,,,"Euro 3, catalytic converter and oxygen sensors.",,,,120 mm (4.7 inches),51 mm (2.0 inches),,0.1724 HP/kg,,,,,,,3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,
