Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Transmission type,Driveline,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Factory warranty,Engine details,Power,Torque,Top speed,Max RPM,Gearbox,Clutch,Fuel consumption,Greenhouse gases,Emission details,Frame type,Rake (fork angle),Diameter,Wheels,Seat,Dry weight,Power/weight ratio,Instruments,Electrical,Comments,Lubrication system,Trail,Alternate seat height,Oil capacity,Light,Carrying capacity,Engine oil,Brake fluid,Coolant,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Exhaust system,Ignition,Reserve fuel capacity,Service interval,Modifications compared to previous model,Sprockets,Spark plugs,Chain size,Chain links,0-100 km/h (0-62 mph),Battery,Oil filter,Pulley teeth,"60-140 km/h (37-87 mph), highest gear",Belt teeth,1/4 mile (0.4 km)
MV Agusta Lucky Explorer 5.5,2022,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,554.0 ccm (33.81 cubic inches),"Twin, four-stroke",,70.5 x 71.0 mm (2.8 x 2.8 inches),4,Injection,,Liquid,Chain   (final drive),,KYB “UPSIDE DOWN” telescopic hydraulic fork with rebound and spring preload adjustment,135 mm (5.3 inches),"Progressive, KYB single shock absorber with rebound and compression damping and spring preload adjustment",,100/80-ZR19 ,150/70-ZR17 ,Double disc. ABS,Single disc. ABS,,"860 mm (33.9 inches) If adjustable, lowest setting.",,2220 mm (87.4 inches),915 mm (36.0 inches),210 mm (8.3 inches),1505 mm (59.3 inches),20.00 litres (5.28 US gallons),White/red,Electric,,,46.9 HP (34.3  kW)) @ 7500 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 5500 RPM,160.0 km/h (99.4 mph),,6-speed,"Wet, multi-disc",3.80 litres/100 km (26.3 km/l or 61.90 mpg),88.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,Tubular high-tensile steel trellis,,220 mm (8.7 inches),,,220.0 kg (485.0 pounds),0.2134 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Mask 50,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,39.0 x 41.4 mm (1.5 x 1.6 inches),,Injection,,Air,Belt   (final drive),CVT,Telescopic fork,,Unit swing ,,110/70-12 ,120/70-12 ,Single disc,Expanding brake (drum brake),,"770 mm (30.3 inches) If adjustable, lowest setting.",1125 mm (44.3 inches),1915 mm (75.4 inches),680 mm (26.8 inches),,1290 mm (50.8 inches),5.20 litres (1.37 US gallons),"Blue, black, white, yellow, grey",Electric & kick,,,3.5 HP (2.5  kW)) @ 7500 RPM,,,,Automatic,"Automatic, centrifugal",,,Euro 5,Pipe Under Bone,,190 mm (7.5 inches),Cast aluminium,,107.0 kg (235.9 pounds),0.0326 HP/kg,,,Made in Taiwan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brixton Crossfire 125 XS,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,Injection,,Air,Chain   (final drive),,Teleskopic fork upside-down,,Swingarm with single shock absorber,,120/70-12 ,130/70-12 ,Single disc,Single disc,111.0 kg (244.7 pounds),"760 mm (29.9 inches) If adjustable, lowest setting.",990 mm (39.0 inches),1690 mm (66.5 inches),780 mm (30.7 inches),,,,"Clockwork Orange, Cargo Green, Backstage Black


",Electric,,,11.0 HP (8.0  kW)) @ 8500 RPM,9.6 Nm (1.0 kgf-m or 7.1 ft.lbs) @ 6500 RPM,95.0 km/h (59.0 mph),,,,2.70 litres/100 km (37.0 km/l or 87.12 mpg),62.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,190 mm (7.5 inches),,,,,,,,,,,,,,,,,,,,,,ECU,2.40 litres (0.63 US gallons),,,,,,,,,,,,,
Honda CRF450R,2022,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,449.7 ccm (27.44 cubic inches),"Single cylinder, four-stroke",13.5:1,96.0 x 62.1 mm (3.8 x 2.4 inches),4,"Injection. Programmed Fuel Injection (PGM-FI), 46mm downdraft throttle body Read ",Single Overhead Cams (SOHC),Liquid,Chain   (final drive),#520 Chain; 13T/49T,49mm inverted Showa fork with rebound and compression damping adjustability.,310 mm (12.2 inches),"Pro-Link® Showa single shock with adjustable spring preload, rebound and compression damping adjustability.",315 mm (12.4 inches),80/100-21 ,120/80-19 ,Single disc. Hydraulic. Two-piston calipers. ,Single disc. Hydraulic. Single-piston caliper. ,110.7 kg (244.0 pounds),"965 mm (38.0 inches) If adjustable, lowest setting.",1267 mm (49.9 inches),2182 mm (85.9 inches),827 mm (32.6 inches),336 mm (13.2 inches),1481 mm (58.3 inches),6.30 litres (1.66 US gallons),Red,Electric,,"38mm intake valve, 31mm exhaust",53.0 HP (38.7  kW)) @ 9000 RPM,48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 7000 RPM,170.0 km/h (105.6 mph),,5-speed,Multi plate wet,,,,Aluminium twin tube,27.1°,240 mm (9.4 inches),Dunlop MX3S tires,,105.8 kg (233.2 pounds),0.5007 HP/kg,,12V 6Ah (10HR) battery.,Model id: CRF450R. 3 riding modes. Launch Control with 3 start options.,,114 mm (4.5 inches),,1.80 litres (1.9 US quarts),,,,,,,,,,,Digital CDI,,,,,,,,,,,,,,
Motowell Darox 50 EFI,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.3 ccm (3.01 cubic inches),"Single cylinder, four-stroke",,,,Injection,,Air,Belt   (final drive),CVT,Telescopic fork,,Single shock,,130/60-13 ,130/60-13 ,Single disc,Single disc,100.0 kg (220.5 pounds),,1105 mm (43.5 inches),1845 mm (72.6 inches),675 mm (26.6 inches),,1290 mm (50.8 inches),5.90 litres (1.56 US gallons),"Orange, red, grey",Electric & kick,1 years,,,,45.0 km/h (28.0 mph),,Automatic,,,,,,,190 mm (7.5 inches),Aluminium rims,,,,,,,,,,1.00 litres (1.06 US quarts),LED headlight,,,,,,,,,,CDI,,,,,,,,,,,,,,
Kawasaki W175,2022,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,Air,Chain   (final drive),,Telescopic fork,,Twin shock absorbers,,80/100-17 ,100/90-17 ,Single disc,Expanding brake (drum brake),,,1030 mm (40.6 inches),1930 mm (76.0 inches),765 mm (30.1 inches),,1275 mm (50.2 inches),13.50 litres (3.57 US gallons),Black,,,,13.0 HP (9.5  kW)) @ 7500 RPM,13.2 Nm (1.3 kgf-m or 9.7 ft.lbs) @ 6000 RPM,,,5-speed,,,,,,,,Wire spoked,Dual seat,126.0 kg (277.8 pounds),0.1032 HP/kg,Analogue,,Sold in Asia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factory Bike S25 250,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,Air,Chain   (final drive),,Inverted,,Monoshock,,70/100-19 ,80/100-16 ,Single disc,Single disc,,"840 mm (33.1 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),1850 mm (72.8 inches),790 mm (31.1 inches),,1260 mm (49.6 inches),6.30 litres (1.66 US gallons),Red/Black,Electric & kick,,,16.1 HP (11.7  kW)),,,,6-speed,Multidisc in oil cath,,,,,,190 mm (7.5 inches),,,85.0 kg (187.4 pounds),0.1893 HP/kg,,,Spanish Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Scout Bobber Twenty,2022,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1133.0 ccm (69.14 cubic inches),"V2, four-stroke",10.7:1,99.0 x 73.6 mm (3.9 x 2.9 inches),,"Injection. Closed Loop Fuel Injection, 60 mm Bore",,Liquid,Belt   (final drive),,Telescopic fork,120 mm (4.7 inches),Dual shock,51 mm (2.0 inches),130/90-16 ,150/80-16 ,Single disc. Optional ABS. Two-piston calipers. ,Single disc. Optional ABS. Single-piston caliper. ,257.0 kg (566.6 pounds),"649 mm (25.6 inches) If adjustable, lowest setting.",1181 mm (46.5 inches),2223 mm (87.5 inches),995 mm (39.2 inches),130 mm (5.1 inches),1576 mm (62.0 inches),12.50 litres (3.30 US gallons),"Black Metallic, Silver Quartz Smoke, Stealth Gray, Spirit Blue Metallic",Electric,"2 Years, Unlimited Miles",,100.0 HP (73.0  kW)),97.7 Nm (10.0 kgf-m or 72.1 ft.lbs) @ 5900 RPM,,,6-speed,Wet multiplate. Gear Drive Wet Clutch.,,,,,29.0°,298 mm (11.7 inches),Pirelli MT60RS tires. Black Wired.wheels.,Low Profile Two Tone Solo Seat,248.0 kg (546.7 pounds),0.4032 HP/kg,"Digital tachometer, odometer, trip meter, engine temp, and low fuel lamp",,Mini Apes. USB Charging Port.,,120 mm (4.7 inches),,,"Headlight, tail/brake light, turn signals, license plate light, and speedometer and indicator lights",,,,,,,,,Split dual exhaust with crossover,,,,,,,,,,,,,,,
Indian Scout Sixty,2022,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.0 ccm (60.96 cubic inches),"V2, four-stroke",11.0:1,93.0 x 73.6 mm (3.7 x 2.9 inches),,"Injection. Closed loop fuel injection, 54 mm bore",,Liquid,Belt   (final drive),,Telescopic fork,120 mm (4.7 inches),Dual shock,76 mm (3.0 inches),130/90-16 ,150/80-16 ,Single disc. Optional ABS. Two-piston calipers. ,Single disc. Optional ABS. Single-piston caliper. ,246.0 kg (542.3 pounds),"650 mm (25.6 inches) If adjustable, lowest setting.",1068 mm (42.0 inches),2321 mm (91.4 inches),916 mm (36.1 inches),145 mm (5.7 inches),1576 mm (62.0 inches),12.50 litres (3.30 US gallons),"Black Metallic, Storm Blue ",Electric,"2 Years, Unlimited Miles",,78.0 HP (56.9  kW)),88.8 Nm (9.1 kgf-m or 65.5 ft.lbs) @ 5800 RPM,,,6-speed,"Wet, Multi-Plate",,,,,29.0°,298 mm (11.7 inches),Cast Black. Pirelli Night Dragon tires. ,,237.0 kg (522.5 pounds),0.3291 HP/kg,"Digital tachometer, odometer, trip meter, engine temp, and low fuel lamp",,,,120 mm (4.7 inches),,,"Headlight, tail/brake light, turn signals, license plate light, speedometer and indicator lights",,,,,,,,,Split dual exhaust with crossover,,,,,,,,,,,,,,,
Honda CB500X,2022,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",471.0 ccm (28.74 cubic inches),"Twin, four-stroke",10.7:1,67.0 x 66.8 mm (2.6 x 2.6 inches),4,Injection. PGM-FI with 34mm throttle bodies,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),520 O-ring-sealed chain; 15T/41T,"Showa 41mm SFF-BP USD forks, pre-load adjustable",150 mm (5.9 inches),"Prolink mono with 5 stage preload adjuster, steel hollow cross swingarm",135 mm (5.3 inches),110/80-19 ,160/60-17 ,Double disc. ABS. Wave disc. Two-piston calipers. ,Single disc. ABS. Wave disc. ,199.0 kg (438.7 pounds),"830 mm (32.7 inches) If adjustable, lowest setting.",1358 mm (53.5 inches),2155 mm (84.8 inches),826 mm (32.5 inches),180 mm (7.1 inches),1445 mm (56.9 inches),17.50 litres (4.62 US gallons),"Grand Prix Red, Matt Gunpowder Black Metallic, Pearl Organic Green",Electric,One year. Transferable. Unlimited-mileage.,,46.9 HP (34.3  kW)) @ 8600 RPM,43.0 Nm (4.4 kgf-m or 31.7 ft.lbs) @ 6500 RPM,,,6-speed,Wet multiplate,3.60 litres/100 km (27.8 km/l or 65.34 mpg),83.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5. Meets current EPA standards. Models sold in California meet current CARB standards and may differ slightly due to emissions equipment.,"Diamond, steel.",27.5°,240 mm (9.4 inches),Multi-spoke cast aluminium,,,,"LCD Meter with Speedometer, Bar Graph Tachometer, Dual Trip Meters, Fuel Level and Consumption Gauge, Clock, Water Temp, Gear position, Shift UP Indicator",,Model ID: CB500XA. Windscreen. Honda Intelligent Security System.,,108 mm (4.3 inches),,3.20 litres (3.38 US quarts),LED lights,,,,,,,,,,Computer-controlled digital transistorized with electronic advance,,,,,,520,112,,YTZ10S,,15/41 (front/rear),,,
Kawasaki Brute Force 300,2022,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,271.0 ccm (16.54 cubic inches),"Single cylinder, four-stroke",11.0:1,72.7 x 65.2 mm (2.9 x 2.6 inches),,Carburettor. Keihin CVK32,Single Overhead Cams (SOHC),Liquid,Shaft drive (cardan)   (final drive),2WD,Double wishbone with 5-way adjustable spring preload,131 mm (5.2 inches),Swingarm,141 mm (5.6 inches),22/7-10 ,22/10-10 ,Double disc,Single disc,243.0 kg (535.7 pounds),"845 mm (33.3 inches) If adjustable, lowest setting.",1170 mm (46.1 inches),1915 mm (75.4 inches),1080 mm (42.5 inches),155 mm (6.1 inches),1165 mm (45.9 inches),12.00 litres (3.17 US gallons),"Super Black, Bright White",Electric,12 Month Limited Warranty,,21.5 HP (15.7  kW)) @ 7500 RPM,21.6 Nm (2.2 kgf-m or 15.9 ft.lbs) @ 6500 RPM,,,Automatic,Centrifugal clutch,,,,"Double cradle, steel",,180 mm (7.1 inches),Maxxis tubeless tyres,,,,"Speedometer, odometer, clock, fuel gauge and coolant temp light",,,,,,,"(2) 35W headlights, 5W taillight and 21W stoplight",,,,,,,,,,DC-CDI,,,,,,,,,,,,,,
Yamaha Tenere 700 Raid Prototype,2022,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,689.0 ccm (42.04 cubic inches),"Twin, four-stroke",11.5:1,80.0 x 68.6 mm (3.1 x 2.7 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),,48mm long travel front forks ,270 mm (10.6 inches),"Swingarm, link",260 mm (10.2 inches),90/90-R21 ,150/70-R18 ,Double disc. Hydraulic. Selectable ABS:,Single disc. Hydraulic. Selectable ABS:..,,,,2370 mm (93.3 inches),905 mm (35.6 inches),,1595 mm (62.8 inches),15.90 litres (4.20 US gallons),Sky Blue,Electric,,,72.4 HP (52.9  kW)) @ 9000 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 6500 RPM,,,6-speed,Rekluse heavy duty clutch,4.30 litres/100 km (23.3 km/l or 54.70 mpg),99.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Steel tube backbone, double cradle",27.0°,267 mm (10.5 inches),Spoked wheels. Pirelli Scorpion Rally STR tires,,,,"Multi-function LCD display with gear position, fuel level, two trip meters and estimated fuel range, average and instant fuel consumption",,,Wet sump,105 mm (4.1 inches),,2.60 litres (2.75 US quarts),LED headlight,,,,,,,,,Titanium Akrapovič race,GYTR ECU,,,,,,,,,,,,,,
Harley-Davidson Heritage Classic,2022,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1868.2 ccm (114.00 cubic inches),"V2, four-stroke",10.5:1,102.0 x 116.8 mm (4.0 x 4.6 inches),,Injection. Electronic Sequential Port Fuel Injection,Double Overhead Cams/Twin Cam (DOHC),Air,Belt   (final drive),,Dual-bending valve 49 mm telescopic with aluminum fork triple clamps; dual rate spring; ´beer can´ covers,,"Hidden, free piston, coil-over monoshock; 56mm stroke; hydraulic preload adjustment",,130/90-B16 ,150/80-B16 ,Single disc. ABS. 4-piston,Single disc. ABS. 2-piston floating.,330.2 kg (728.0 pounds),"668 mm (26.3 inches) If adjustable, lowest setting.",,2415 mm (95.1 inches),,120 mm (4.7 inches),1630 mm (64.2 inches),18.90 litres (4.99 US gallons),"Vivid Black, Reef Blue/Vivid Black, White Sand Pearl, Redline Red/Vivid Black, Midnight Crimson Red",Electric,,Milwaukee-Eight® 114 ,,161.4 Nm (16.5 kgf-m or 119.0 ft.lbs) @ 3000 RPM,,,6-speed,Multi-plate with diaphragm spring in oil bath,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,30.0°,,"Gloss black, 9-spoke cast aluminum wheels as standard. Dunlop® Harley-Davidson Series, bias blackwall tires.",,316.2 kg (697.0 pounds),,"5-inch analog speedometer with digital gear, odometer, fuel level, clock, trip, range and tachometer indication",,Windscreen,,140 mm (5.5 inches),,4.70 litres (4.97 US quarts),"All LED, low beam, high beam and signature position lamp, Incandescent Zeppelin tail lamp, Incandescent bullets, Incandescent bullet light bar",Saddle bags 1.5 cu ft,,,,,,,,2-into-2 shorty dual; catalyst in muffler,,,,,34/46 (front/rear),,,,,,,,,,
Kawasaki Ninja H2 SX Tourer,2022,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",8.5:1,76.0 x 55.0 mm (3.0 x 2.2 inches),4,Injection. DFI® with 40mm throttle bodies (4) with dual injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),Sealed chain,"43mm inverted fork with KECS-controlled rebound and compression damping, manual spring preload adjustability and top-out springs",119 mm (4.7 inches),"Uni Trak, BFRC lite gas-charged shock with piggyback reservoir, KECS-controlled compression and rebound damping, and electronically adjustable spring preload",140 mm (5.5 inches),120/70-ZR17 ,190/55-ZR17 ,Double disc. Floating discs. ABS.,Single disc. ABS.,267.0 kg (588.6 pounds),"835 mm (32.9 inches) If adjustable, lowest setting.",1260 mm (49.6 inches),2175 mm (85.6 inches),790 mm (31.1 inches),130 mm (5.1 inches),1481 mm (58.3 inches),19.00 litres (5.02 US gallons),Emerald Blazed Green/Metallic Diablo Black/Metallic Graphite Grey,Electric,12 month Limited Warranty,Supercharger,200.0 HP (146.0  kW)) @ 11000 RPM,137.3 Nm (14.0 kgf-m or 101.3 ft.lbs) @ 8500 RPM,,,6-speed,"Wet multi-disc, manual",5.40 litres/100 km (18.5 km/l or 43.56 mpg),125.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Trellis, high-tensile steel with Swingarm Mounting Plate",24.7°,250 mm (9.8 inches),,,,,6.5” full-colour TFT instrumentation,,"Kawasaki Cornering Management Function (KCMF), Kawasaki Traction Control (KTRC), Kawasaki Launch Control Mode (KLCM), Kawasaki Intelligent anti-lock Brake System (KIBS). Windscreen. Smartphone-based infotainment.","Forced lubrication, wet sump with oil cooler",103 mm (4.1 inches),,,All LED lighting,Panniers,,,,,,,,,Digital,,,,,,,,,,,,,,
Macbor Eight Mile 500 Scrambler,2022,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,471.0 ccm (28.74 cubic inches),"Twin, four-stroke",10.7:1,67.0 x 66.8 mm (2.6 x 2.6 inches),4,,,,,,"41 mm KYB upside down fork. Multi-adjustable (preload, compression and extension)",195 mm (7.7 inches),"Multi-adjustable KYB monoshock (preload, compression and extension). Separate tank and progressive suspension through a linkage system.",200 mm (7.9 inches),100/80-19 ,150/70-17 ,Double disc. Floating discs. Wave disc. Two-piston calipers. ABS.,Single disc. Wave disc. ABS.,195.0 kg (429.9 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",1145 mm (45.1 inches),2110 mm (83.1 inches),895 mm (35.2 inches),210 mm (8.3 inches),,18.00 litres (4.76 US gallons),"Grey, red",Electric,,,46.9 HP (34.3  kW)) @ 8500 RPM,43.0 Nm (4.4 kgf-m or 31.7 ft.lbs) @ 6500 RPM,175.0 km/h (108.7 mph),,,,3.90 litres/100 km (25.6 km/l or 60.31 mpg),90.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,,,240 mm (9.4 inches),Spoked aluminium,,175.0 kg (385.8 pounds),0.2682 HP/kg,Digital  ,,Spanish brand.,,,,,LED lighting,,,,,,,,,,ECU,,,,,,,,,,,,,,
Harley-Davidson Road Glide Limited,2022,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1868.0 ccm (113.99 cubic inches),"V2, four-stroke",10.5:1,102.0 x 114.3 mm (4.0 x 4.5 inches),,Injection. ESPFI,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Belt   (final drive),"Chain, 34/46 ratio primary drive","Telescopic fork, 49 mm dual bending valve",,"Twin shocks,  premium low hand-adjustable",,130/70-B18 ,180/55-B18 ,Double disc. ABS. 4-piston,Single disc. ABS. 4-piston,422.8 kg (932.0 pounds),"691 mm (27.2 inches) If adjustable, lowest setting.",,2596 mm (102.2 inches),,130 mm (5.1 inches),1625 mm (64.0 inches),22.71 litres (6.00 US gallons),"Vivid Black, Mineral Green Metallic, Gauntlet Gray Metallic/Vivid Black, Gunship Gray, Reef Blue/Vivid Black",Electric,,Twin-Cooled™ Milwaukee-Eight® 114,89.0 HP (65.0  kW)) @ 5450 RPM,165.4 Nm (16.9 kgf-m or 122.0 ft.lbs) @ 3000 RPM,,,6-speed,Multi-plate with diaphragm spring in oil bath,5.47 litres/100 km (18.3 km/l or 43.00 mpg),126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,26.0°,,Slicer II cast aluminum with clear coat.  Dunlop® Harley-Davidson Series tires.,,406.9 kg (897.0 pounds),0.2187 HP/kg,"Display features odometer, trip A, trip B, range to empty and gear indicator; and larger tell-tale indicators.",,Small windshield. Cruise control. Alarm. Infotainment. Bluetooth. USB.,Dry sump,170 mm (6.7 inches),,4.70 litres (4.97 US quarts),LED headlight,Saddle bags. Top box. 4.7 cu ft luggage volume.,,,,,,,,2:1:2 dual exhaust with 4 in. tapered mufflers,,,,,,,,,,,,,,,
Sym Fiddle III 125,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",,,,Injection,,Air,Belt   (final drive),CVT,Telescopic Fork,,Unit Swing Arm,,110/70-12 ,120/70-12 ,Single disc,Expanding brake (drum brake),,,1130 mm (44.5 inches),1900 mm (74.8 inches),690 mm (27.2 inches),,1330 mm (52.4 inches),6.50 litres (1.72 US gallons),"Blue, Grey, Black, White, Bronze",Electric,,,9.5 HP (7.0  kW)) @ 8500 RPM,8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 6500 RPM,95.0 km/h (59.0 mph),,Automatic,Centrifugal,,,Euro 5,Pipe under bone,,130 mm (5.1 inches),Cast aluminium,,117.0 kg (257.9 pounds),0.0815 HP/kg,,12 V 6Ah battery.,Made in Taiwan.,,,,,LED lights,Top box,,,,,,,,,CDI,,,,,,,,,,,,,,
Husqvarna TC 125,2022,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",,54.0 x 54.5 mm (2.1 x 2.1 inches),,Carburettor. 38 mm flat slide MIKUNI TMX,,Liquid,Chain   (final drive),5/8 x 1/4´ chain,"WP XACT-USD, Ø 48 mm",300 mm (11.8 inches),WP XACT Monoshock with linkage,300 mm (11.8 inches),80/100-21 ,120/90-18 ,Single disc. Brembo twin-piston floating calliper,Single disc. Brembo single-piston floating calliper,,"940 mm (37.0 inches) If adjustable, lowest setting.",,,,375 mm (14.8 inches),1485 mm (58.5 inches),8.00 litres (2.11 US gallons),White/yellow/blue,Kick,,,40.0 HP (29.2  kW)),,,,6-speed,"Wet, multi-disc clutch, Magura hydraulics",,,,Central double-cradle-type 25CrMo4 steel,26.1°,220 mm (8.7 inches),,,87.5 kg (192.9 pounds),0.4571 HP/kg,,,,Mixture oil lubrication,,,0.90 litres (0.95 US quarts),,,,,,,,,,,Kokusan EMS,,,,,,,,,,,,,,
Vespa GTS 125 ,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,4,Injection. EFI,Single Overhead Cams (SOHC),Liquid,Belt   (final drive),CVT automatic with torque server,"Single arm, dual chamber hydraulic shock absorber with coaxial spring",,Double hydraulic shock absorber with helical spring with preload adjustable in 4 positions,,120/70-12 ,130/70-12 ,Single disc. Hydraulic. ABS.,Single disc. Hydraulic. ABS.,,"790 mm (31.1 inches) If adjustable, lowest setting.",,1950 mm (76.8 inches),755 mm (29.7 inches),,1380 mm (54.3 inches),7.00 litres (1.85 US gallons),"Grey, orange, green, blue
",Electric,,Catalysed i-get engine,14.0 HP (10.2  kW)) @ 8750 RPM,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 6750 RPM,101.0 km/h (62.8 mph),,Automatic,Automatic dry centrifugal with shock absorbers,2.40 litres/100 km (41.7 km/l or 98.01 mpg),55.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,Sheet steel shell with welded structural reinforcements,,220 mm (8.7 inches),,,160.0 kg (352.7 pounds),0.0875 HP/kg,,,Electric Start and Stop system.,,,,,LED lights,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Avenger Cruise 220,2022,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,220.0 ccm (13.42 cubic inches),"Single cylinder, four-stroke",,,2,Injection. DTS-i,Single Overhead Cams (SOHC),Oil & air,Chain   (final drive),,Telescopic with double anti friction bush,,5 step adjustable Twin shock absorber,,90/90-17 ,130/90-15 ,Single disc. ABS,Expanding brake (drum brake),163.0 kg (359.4 pounds),"737 mm (29.0 inches) If adjustable, lowest setting.",1321 mm (52.0 inches),2210 mm (87.0 inches),806 mm (31.7 inches),169 mm (6.7 inches),1490 mm (58.7 inches),13.00 litres (3.43 US gallons),"Auburn Black, Moon White",Electric,,,18.8 HP (13.7  kW)) @ 8500 RPM,17.6 Nm (1.8 kgf-m or 12.9 ft.lbs) @ 7000 RPM,,,5-speed,,,,,,,130 mm (5.1 inches),Classic Spoke,,,,,,Windscreen. Sold in India.,,,,,55/60W headlamp,,,,,,,,,,,3.80 litres (1.00 US gallons),,,,,,,,,,,,,
Vento Screamer 250,2022,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,Oil & air,Chain   (final drive),,Hydraulic telescopic fork,,Monoshock,,100/80-R17 ,130/80-R17 ,Single disc. Hydraulic,Single disc. Hydraulic,135.0 kg (297.6 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",1150 mm (45.3 inches),2000 mm (78.7 inches),760 mm (29.9 inches),,,20.00 litres (5.28 US gallons),"Grey/silver, olive/grey",Electric,,,18.0 HP (13.1  kW)),,130.0 km/h (80.8 mph),,6-speed,,3.33 litres/100 km (30.0 km/l or 70.64 mpg),77.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Steel,,,Wire spoked,"Dual seat, silk touch polyuretane",,,Digital  ,,,,,,,LED headlight,,,,,,,,,,,,,,,,,,,,,,,,
