Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Transmission type,Frame type,Rake (fork angle),Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Seat height,Wheelbase,Compression,Gearbox,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Trail,Front wheel travel,Rear wheel travel,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Ground clearance,Fuel capacity,Color options,Starter,Comments,Diameter,Reserve fuel capacity,Valves per cylinder,Alternate seat height,"Weight incl. oil, gas, etc",Top speed,Engine details,Driveline,Engine oil,Oil filter,Battery,Spark plugs,Chain size,Chain links,Sprockets,Max RPM,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Oil capacity,Brake fluid,Coolant,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Wheels,Electrical,Belt width,Pulley teeth,1/4 mile (0.4 km),Belt teeth
Yamaha BWs Next Generation,2006,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",3.6 HP (2.6  kW)) @ 6800 RPM,4.0 Nm (0.4 kgf-m or 3.0 ft.lbs) @ 5000 RPM,40.0 x 39.2 mm (1.6 x 1.5 inches),,,Electronic (C.D.I.),Seperate lubrification,Air,Chain   (final drive),Front suspension system,,Hydraulic and telescopic fork,Hydraulic unit swing,120/70-12 ,130/70-12 ,Single disc,Expanding brake (drum brake),"803 mm (31.6 inches) If adjustable, lowest setting.",1206 mm (47.5 inches),11.2:1,5-speed,Automatic centrifugal,,,,,,,77.0 kg (169.8 pounds),0.0470 HP/kg,1120 mm (44.1 inches),1746 mm (68.7 inches),675 mm (26.6 inches),153 mm (6.0 inches),6.50 litres (1.72 US gallons),,Electric & kick,,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJP Pr4 125 Supermotard,2006,Super motard," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.7 HP (9.3  kW)) @ 8500 RPM,,56.5 x 49.5 mm (2.2 x 1.9 inches),,Single Overhead Cams (SOHC),CDI,,Air,,"Steel double-cradle, detachable rear frame",,"Hidraulic fork, d.41, stroke 260mm","Single shock absorber progressive action, stroke   260mm","100/80-,21 ",130/70-17 ,Single disc,Single disc,"905 mm (35.6 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),,5-speed,,,,,,,,101.0 kg (222.7 pounds),0.1260 HP/kg,,2135 mm (84.1 inches),820 mm (32.3 inches),,8.00 litres (2.11 US gallons),,Electric & kick,,210 mm (8.3 inches),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard C90,2006,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1474.9 ccm (90.00 cubic inches),"V2, four-stroke",,,96.0 x 101.0 mm (3.8 x 4.0 inches),,Single Overhead Cams (SOHC),Digital,Wet Sump,Oil & air,Shaft drive (cardan)   (final drive),,,"Telescopic, coil spring, oil damped","Link-type, oil damped, 5-way adjustable spring preload",150/80-16 ,180/70-M15 ,Double disc,Single disc,"700 mm (27.6 inches) If adjustable, lowest setting.",1700 mm (66.9 inches),8.5:1,5-speed,,,,,,,,302.0 kg (665.8 pounds),,1125 mm (44.3 inches),2525 mm (99.4 inches),1020 mm (40.2 inches),140 mm (5.5 inches),14.00 litres (3.70 US gallons),"Blue/Gray, Silver/Gray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 2.9,2006,Trial," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",272.0 ccm (16.60 cubic inches),"Single cylinder, two-stroke",,,76.0 x 60.0 mm (3.0 x 2.4 inches),Carburettor.  Dellorto PHBL 26,,,,Liquid,Chain   (final drive),"Triangulated cross section Chrome-moly,              painted flat black",,"Paioli 38mm dia hydraulic telescope              fork, 185mm travel, fully adjustable for preload and dampening.",Progressive link system with single              Ollé,,,Expanding brake (drum brake),Expanding brake (drum brake),"625 mm (24.6 inches) If adjustable, lowest setting.",1322 mm (52.0 inches),,5-speed,Hydraulically activated multidisc              in oil bath,,,Steel header pipe with an integrated              aluminum muffler,,,175 mm (6.9 inches),69.5 kg (153.2 pounds),,,,,305 mm (12.0 inches),2.30 litres (0.61 US gallons),,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 1000,2006,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.6 ccm (60.93 cubic inches),"In-line four, four-stroke",,,73.4 x 59.0 mm (2.9 x 2.3 inches),Injection.  Fuel Injection,Double Overhead Cams/Twin Cam (DOHC),Digital/transistorized,Wet Sump,Liquid,Chain   (final drive),,,"Inverted telescopic, coil spring, fully adjustable spring preload, compression and rebound damping","Link-type, gas/oil-damped, fully adjustable spring preload, compression and rebound damping",120/70-ZR17 ,190/50-ZR17 ,Double disc,Single disc,"810 mm (31.9 inches) If adjustable, lowest setting.",1405 mm (55.3 inches),12.5:1,6-speed,Wet multiple plate coil springs,,,,,,,166.0 kg (366.0 pounds),,1130 mm (44.5 inches),2030 mm (79.9 inches),710 mm (28.0 inches),130 mm (5.1 inches),18.00 litres (4.76 US gallons),"Blue/White, Silver/Gray, Red/Black",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco People S 50,2006,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",3.7 HP (2.7  kW)) @ 7000 RPM,4.2 Nm (0.4 kgf-m or 3.1 ft.lbs) @ 5500 RPM,,Carburettor,,,,Air,,,,,,100/80-16 ,110/80-16 ,Single disc,Expanding brake (drum brake),,,,Automatic,,,,,,,,102.0 kg (224.9 pounds),0.0365 HP/kg,1300 mm (51.2 inches),2050 mm (80.7 inches),720 mm (28.3 inches),,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Sports Mini Customs 50,2006,Custom / cruiser," 2.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, four-stroke",2.0 HP (1.5  kW)),,,,,CDI,,Liquid,,,,Twin,Twin,,,Single disc,Expanding brake (drum brake),"610 mm (24.0 inches) If adjustable, lowest setting.",1346 mm (53.0 inches),,5-speed,,,,,,,,79.4 kg (175.0 pounds),0.0252 HP/kg,,1626 mm (64.0 inches),457 mm (18.0 inches),,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos Flexer,2006,Sport," 2.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",2.3 HP (1.7  kW)),,,,,,2% fuel mix,Air,,Tubular steel,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,Automatic,,,,,,,,47.0 kg (103.6 pounds),0.0483 HP/kg,,,,,3.50 litres (0.92 US gallons),,Kick,In countries where the legislation encourages if Flexer is available with 25 km/h maximum speed. When more comfort is required electric starter can be mounted,,0.50 litres (0.13 US gallons),,,,45.0 km/h (28.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson VRSCA V-Rod,2006,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1130.8 ccm (69.00 cubic inches),"V2, four-stroke",,100.3 Nm (10.2 kgf-m or 74.0 ft.lbs) @ 7000 RPM,100.1 x 72.1 mm (3.9 x 2.8 inches),Injection.  Electronic Sequential Port Fuel Injection (ESPFI),Double Overhead Cams/Twin Cam (DOHC),,,Air,Belt   (final drive),,34.0°,,,MT90-B16 ,150/80-B16 ,Single disc,Single disc,"648 mm (25.5 inches) If adjustable, lowest setting.",1715 mm (67.5 inches),11.3:1,5-speed,Multi-plate with diaphragm spring in oil bath,5.22 litres/100 km (19.2 km/l or 45.06 mpg),121.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Chrome, slash-cut duals",147 mm (5.8 inches),,,272.2 kg (600.0 pounds),,,2377 mm (93.6 inches),,127 mm (5.0 inches),14.00 litres (3.70 US gallons),"Vivid black, brilliant silver, black cherry, deep cobalt, glacier white pearl, rich sunglo blue, brandy wine sunglo, two-tone rich sunglo blue and chopper blue, two-tone black cherry and black pearl, two-tone fire red pearl and vivid black, two-tone deep",,"Detachable, king-size touring windshield. Leather studded saddlebags with hidden quick detach buckles. Passenger backrest. Touring handlebar. Full front fender with chrome accents.
",,,2,"696 mm (27.4 inches) If adjustable, highest setting.",282.1 kg (622.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TC 450,2006,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,,97.0 x 60.8 mm (3.8 x 2.4 inches),Carburettor.  41 mm Keihin FCR,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,Chain   (final drive),,,Marzoochi,Ohlins,,,Single disc,Single disc,,,,5-speed,Wet / Multiplate,,,,,,,100.8 kg (222.2 pounds),,,,,,,,,,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja ZX-14,2006,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1352.0 ccm (82.50 cubic inches),"In-line four, four-stroke",187.0 HP (136.5  kW)),,84.0 x 61.0 mm (3.3 x 2.4 inches),Injection.  DFI with Mikuni 44mm Throttle Bodies (4),Double Overhead Cams/Twin Cam (DOHC),TCBI with Digital Advance,,Liquid,Chain   (final drive),,,43mm Inverted Cartridge Fork with Adjustable,"Uni-Trak with Adjustable Preload, Stepless",120/70-VR18 ,150/80-VR16 ,Double disc,Single disc,,,12.7:1,6-speed,,,,,,,,,,,,,,,"Passion Red, Ebony, Candy Thunder Blue",Electric,ZX-14 is the same bike as the ZZR 1400. Kawasaki has chosen different names for different geographic markets. Note that the bike has 197 horse powers with the ram-air system in effect!,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jincheng SJ 125 T,2006,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.5 ccm (7.60 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)),,,,,DC-CDI,,Liquid,,,,,,,,,,,,,,,2.40 litres/100 km (41.7 km/l or 98.01 mpg),55.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,124.0 kg (273.4 pounds),0.1129 HP/kg,1070 mm (42.1 inches),1990 mm (78.3 inches),685 mm (27.0 inches),,,,Electric & kick,,,,,,,110.0 km/h (68.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Road Star Silverado,2006,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1670.0 ccm (101.90 cubic inches),"V2, four-stroke",85.0 HP (62.0  kW)) @ 4500 RPM,,97.0 x 113.0 mm (3.8 x 4.4 inches),Carburettor. 40mm Mikuni CV w/throttle position sensor,Overhead Valves (OHV),Digital TCI,Dry sump,Air,Belt   (final drive),Wet plate,,43 mm telescopic fork. Adjustable preload,"Single shock, link-type",130/90-16 ,150/80-16 ,Double disc. Four-piston calipers. ,Single disc. Four-piston calipers. ,"709 mm (27.9 inches) If adjustable, lowest setting.",1689 mm (66.5 inches),8.3:1,5-speed,,,,,,140 mm (5.5 inches),109 mm (4.3 inches),323.0 kg (712.0 pounds),0.2632 HP/kg,1501 mm (59.1 inches),2499 mm (98.4 inches),980 mm (38.6 inches),145 mm (5.7 inches),20.06 litres (5.30 US gallons),White pearl,Electric,,320 mm (12.6 inches),,4,,,,,,SAE 10W-40,,,"NGK DPR7EA-9, NGK DPR7EIX-9",,,,,,,,4.10 litres (4.33 US quarts),DOT 4,,900  +/- 50  RPM,36 PSI (2.5 Bar or 250 kPa),36 PSI (2.5 Bar or 250 kPa),41 mm (1.6 inches),,,,,,
KTM 65 SX,2006,"Minibike, cross"," 3.7  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",64.9 ccm (3.96 cubic inches),"Single cylinder, two-stroke",,,45.0 x 40.8 mm (1.8 x 1.6 inches),Carburettor.  Mikuni VM 24,,Moric digital 2M1,"0,3 l Motorex Topspeed 15W50",Liquid,,Chromium molybdenum central-type frame,25.5°,Marzocchi USD   35 mm (1.38 inches),WP monoshock,,,Single disc,Single disc,"750 mm (29.5 inches) If adjustable, lowest setting.",1137 mm (44.8 inches),,,"Wet multi-disc clutch, operated hydraulically",,,Aluminum,,,,55.6 kg (122.6 pounds),,,,,290 mm (11.4 inches),3.30 litres (0.87 US gallons),,Kick,,160 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 250,2006,Cross / motocross," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor.  Keihin PWK38S with Power Jet,,Digital CDI,,Liquid,,,26.0°,48mm inverted cartridge-type telescopic fork with 16-way compression and rebound damping / 11.8 in.,"UNI-TRAK® linkage system with 18-way low-speed compression and 2-turn high-speed compression damping, plus 16-way rebound damping and fully adjustable spring preload / 12.2 in.",80/90-M21 ,110/90-M19 ,Double disc,Single disc,"965 mm (38.0 inches) If adjustable, lowest setting.",1481 mm (58.3 inches),10.5:1,5-speed,,,,,,,,97.0 kg (213.9 pounds),,1265 mm (49.8 inches),2184 mm (86.0 inches),815 mm (32.1 inches),340 mm (13.4 inches),8.32 litres (2.20 US gallons),Kawasaki Lime Green / Black,,,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Avenger,2006,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",180.0 ccm (10.98 cubic inches),"Single cylinder, four-stroke",16.5 HP (12.0  kW)) @ 8000 RPM,15.2 Nm (1.6 kgf-m or 11.2 ft.lbs),,,,,,,,,,"Telescopic longest stroke, 140mm","Triple rate Spring, 5-way adjustable, Hydraulic shock Absorbers, Vertical travel 90mm",,,Single disc,Expanding brake (drum brake),,1475 mm (58.1 inches),,,,,,,,,,,,,,,,,,,,130 mm (5.1 inches),,,,154.0 kg (339.5 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Piaggio X8 125,2006,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 10000 RPM,11.7 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 8500 RPM,57.0 x 48.6 mm (2.2 x 1.9 inches),,,Inductive,Separate with automatic mixer,Liquid,Belt   (final drive),Double cradle of steel tubes,,Ø 35 mm tele-hydraulic fork,Two dual-effect shock absorbers and four-position spring preload,120/70-14 ,130/70-12 ,Single disc,Single disc,,1490 mm (58.7 inches),,Automatic,Automatic centrifuge type,,,,,,,81.0 kg (178.6 pounds),0.1852 HP/kg,,2050 mm (80.7 inches),700 mm (27.6 inches),,12.00 litres (3.17 US gallons),,Electric,,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway Matrix 50,2006,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",4.6 HP (3.3  kW)) @ 7500 RPM,2.6 Nm (0.3 kgf-m or 1.9 ft.lbs) @ 5300 RPM,40.0 x 39.2 mm (1.6 x 1.5 inches),,,CDI,,Air,,,,,,,,,,,1270 mm (50.0 inches),7.2:1,,Dry centrifugal CVT system,,,,,,,86.0 kg (189.6 pounds),0.0529 HP/kg,,1800 mm (70.9 inches),,90 mm (3.5 inches),4.80 litres (1.27 US gallons),,Electric & kick,Chinese bike also sold under the name Qian Jiang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 250 Twister,2006,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 8000 RPM,,,Carburettor,Double Overhead Cams/Twin Cam (DOHC),CDI,,Oil & air,Chain   (final drive),,25.5°,,,100/80-17 M/C 52S ,130/70-17 M/C 62S ,Single disc. 2-piston caliper,Expanding brake (drum brake),"782 mm (30.8 inches) If adjustable, lowest setting.",,9.3:1,6-speed,,4.00 litres/100 km (25.0 km/l or 58.81 mpg),92.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,100 mm (3.9 inches),,,139.7 kg (308.0 pounds),0.1718 HP/kg,1057 mm (41.6 inches),2031 mm (80.0 inches),746 mm (29.4 inches),162 mm (6.4 inches),16.50 litres (4.36 US gallons),"Black, Silver, Red",Electric,"Oficial website: http://www.honda.com.br/web/index.asp¿pp=motos and ps=especif and id=60

PT-BR",130 mm (5.1 inches),2.50 litres (0.66 US gallons),4,,,,,,,,,,,,,10500,,,,1.80 litres (1.9 US quarts),,,,,,,,,,,,
Honda CR 85 R,2006,Cross / motocross," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",84.7 ccm (5.17 cubic inches),"Single cylinder, two-stroke",,,47.5 x 47.8 mm (1.9 x 1.9 inches),Carburettor. 38 mm Mikuni TMX with throttle position sensor (TPS),,CD with electronic advance,,Liquid,Chain   (final drive),,26.5°,37mm fully adjustable leading-axle inverted Showa cartridge fork,Pro-Link fully adjustable Showa single-shock,70/70-17 ,90/90-14 ,Single disc,Single disc,"823 mm (32.4 inches) If adjustable, lowest setting.",1247 mm (49.1 inches),8.4:1,6-speed,,,,,77 mm (3.0 inches),274 mm (10.8 inches),274 mm (10.8 inches),65.3 kg (144.0 pounds),,,,,310 mm (12.2 inches),5.10 litres (1.35 US gallons),Red,,Model ID: CR85R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 125 Chopper,2006,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.6 HP (9.2  kW)) @ 8200 RPM,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 7000 RPM,56.5 x 49.5 mm (2.2 x 1.9 inches),,,,,Air,,,,Telescopic forks 150mm,Telescopic units 80mm,-. ,,Single disc,Expanding brake (drum brake),"760 mm (29.9 inches) If adjustable, lowest setting.",1370 mm (53.9 inches),9.0:1,5-speed,,,,,,,,125.0 kg (275.6 pounds),0.1008 HP/kg,,,,,13.50 litres (3.57 US gallons),,Kick,,160 mm (6.3 inches),,,,,95.0 km/h (59.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco ZX 50,2006,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.5 ccm (3.02 cubic inches),"Single cylinder, two-stroke",5.0 HP (3.6  kW)),4.9 Nm (0.5 kgf-m or 3.6 ft.lbs),,Carburettor,,,,Air,Shaft drive (cardan)   (final drive),,,,,120/70-J12 ,120/70-J12 ,Single disc,Expanding brake (drum brake),,,,Automatic,,,,,,,,87.0 kg (191.8 pounds),0.0570 HP/kg,1085 mm (42.7 inches),1883 mm (74.1 inches),690 mm (27.2 inches),,,Light blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Venox 250,2006,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",252.0 ccm (15.38 cubic inches),"Single cylinder, four-stroke",26.8 HP (19.6  kW)) @ 10500 RPM,19.0 Nm (1.9 kgf-m or 14.0 ft.lbs) @ 8000 RPM,,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,,,,,,120/80-S17 ,150/80-S15 ,Single disc,Expanding brake (drum brake),,,,5-speed,,,,,,,,190.0 kg (418.9 pounds),0.1412 HP/kg,1080 mm (42.5 inches),2325 mm (91.5 inches),840 mm (33.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daelim S-Five,2006,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.5 ccm (3.02 cubic inches),"Single cylinder, two-stroke",,,39.0 x 41.4 mm (1.5 x 1.6 inches),Carburettor. CV type,,,,Air,Belt   (final drive),Under bone,,Telescopic,Swingarm,120/70-12 ,130/70-12 ,Single disc,Single disc,"765 mm (30.1 inches) If adjustable, lowest setting.",1260 mm (49.6 inches),6.8:1,Automatic,,2.31 litres/100 km (43.3 km/l or 101.83 mpg),53.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,87.0 kg (191.8 pounds),,1114 mm (43.9 inches),1795 mm (70.7 inches),697 mm (27.4 inches),131 mm (5.2 inches),8.00 litres (2.11 US gallons),,Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 F,2006,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",91.3 HP (66.7  kW)) @ 10500 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 9500 RPM,70.0 x 48.7 mm (2.8 x 1.9 inches),Carburettor.  Mikuni BSR36 x 4,Double Overhead Cams/Twin Cam (DOHC),Electronic,Wet sump,Air,Chain   (final drive),,25.3°,"Telescopic, 4-way adjustable rebound damping","Link type, preload and rebound damping adjustable",,,Double disc,Single disc,"790 mm (31.1 inches) If adjustable, lowest setting.",1465 mm (57.7 inches),10.7:1,6-speed,Wet multi plate,,,,,,,187.0 kg (412.3 pounds),0.4883 HP/kg,1190 mm (46.9 inches),2140 mm (84.3 inches),760 mm (29.9 inches),120 mm (4.7 inches),20.00 litres (5.28 US gallons),,Electric,,240 mm (9.4 inches),,4,"805 mm (31.7 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha V Max,2006,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1198.0 ccm (73.10 cubic inches),"V4, four-stroke",,,76.0 x 66.0 mm (3.0 x 2.6 inches),Carburettor. 4 x35mm Mikuni downdraft-type w/V-Boost,Double Overhead Cams/Twin Cam (DOHC),Digital TCI,,Liquid,Shaft drive (cardan)   (final drive),,,43mm Telescopic fork w/air-assist,Dual shocks w/adjustable spring preload and rebound damping,110/90-V18 ,150/90-V15 ,Double disc,Single disc,"765 mm (30.1 inches) If adjustable, lowest setting.",1590 mm (62.6 inches),10.5:1,5-speed,,,,,,140 mm (5.5 inches),100 mm (3.9 inches),263.1 kg (580.0 pounds),,1161 mm (45.7 inches),2301 mm (90.6 inches),795 mm (31.3 inches),,15.14 litres (4.00 US gallons),Onyx w/Shift Red Flames,,,282 mm (11.1 inches),,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic Racy XOR 125,2006,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, two-stroke",7.9 HP (5.8  kW)) @ 7500 RPM,8.3 Nm (0.8 kgf-m or 6.1 ft.lbs) @ 6500 RPM,,Carburettor,,,,Air,Belt   (final drive),,,,,120/70-12 ,130/70-12 ,,,,1275 mm (50.2 inches),,Automatic,,,,,,,,105.0 kg (231.5 pounds),0.0753 HP/kg,1085 mm (42.7 inches),1770 mm (69.7 inches),702 mm (27.6 inches),,4.20 litres (1.11 US gallons),,Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecosse Heretic Ti,2006,Naked bike," 2.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1966.6 ccm (120.00 cubic inches),"V2, four-stroke",135.0 HP (98.5  kW)),192.6 Nm (19.6 kgf-m or 142.0 ft.lbs),108.0 x 108.0 mm (4.3 x 4.3 inches),Carburettor.  Mikuni 45mm flat slide,,,,Liquid,Chain   (final drive),Grade 9 Titanium,25.0°,"Öhlins Superbike Gas, fully adjustable.",Öhlins TT X40 Racing Shock,120/70-ZR17 ,190/55-ZR17 ,Double disc,Single disc,"698 mm (27.5 inches) If adjustable, lowest setting.",1537 mm (60.5 inches),10.5:1,6-speed,,,,Handcrafted by Ecosse. 2 into 1into 2. Stainless steel head pipes with dual titanium mufflers.,,,,,,,,,165 mm (6.5 inches),,Titanium. Natural or brushed finish.,,,,,,"775 mm (30.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Trials Scrambler,2006,Classic," 2.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 5400 RPM,25.8 Nm (2.6 kgf-m or 19.0 ft.lbs) @ 3000 RPM,84.0 x 90.0 mm (3.3 x 3.5 inches),,Overhead Valves (OHV),,Dry sump,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,5-speed,Mulitiplate,,,,,,,,,,,,,14.50 litres (3.83 US gallons),,Electric & kick,,,,,,,125.0 km/h (77.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Marauder 125,2006,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",11.5 HP (8.4  kW)) @ 9000 RPM,9.6 Nm (1.0 kgf-m or 7.1 ft.lbs) @ 7000 RPM,57.0 x 48.8 mm (2.2 x 1.9 inches),Carburettor.  Mikuni BS26 SS,Single Overhead Cams (SOHC),Electronic,Wet sump,Air,Chain   (final drive),,32.5°,Telescopic,"Twin shock absorber, adjustable spring preload",,,Single disc,Expanding brake (drum brake),"680 mm (26.8 inches) If adjustable, lowest setting.",1450 mm (57.1 inches),9.5:1,5-speed,Wet multi plate,,,,,,,241.0 kg (531.3 pounds),0.0478 HP/kg,1090 mm (42.9 inches),2160 mm (85.0 inches),815 mm (32.1 inches),140 mm (5.5 inches),13.00 litres (3.43 US gallons),,Electric,,130 mm (5.1 inches),,,"805 mm (31.7 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Helix,2006,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",244.0 ccm (14.89 cubic inches),"Single cylinder, four-stroke",,,72.7 x 60.0 mm (2.9 x 2.4 inches),Carburettor.  30 mm CV with automatic choke,,CDI,,Liquid,Belt   (final drive),,25.0°,Bottom link,Swingarm with dual hydraulic shocks,110/90-12 ,120/90-10 ,Single disc,Expanding brake (drum brake),"665 mm (26.2 inches) If adjustable, lowest setting.",1621 mm (63.8 inches),10.5:1,Automatic,,,,,,81 mm (3.2 inches),99 mm (3.9 inches),158.5 kg (349.4 pounds),,,,,,12.11 litres (3.20 US gallons),Red,,Model ID: CN250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
